level,hour_bucket,n,p_beyond,p_behind,p_last,p_ambig,avg_min_to_beyond,med_min_to_beyond,avg_min_to_behind,med_min_to_behind
-2.00,ALL,123,0.3170731707317073,0.6097560975609756,0.04878048780487805,0.024390243902439025,13.846153846153847,9.0,11.16,6.0
-1.786,ALL,208,0.2980769230769231,0.6394230769230769,0.04326923076923077,0.019230769230769232,20.419354838709676,9.0,8.75187969924812,3.0
-1.618,ALL,290,0.2206896551724138,0.6896551724137931,0.041379310344827586,0.04827586206896552,9.703125,3.0,4.47,0.0
-1.50,ALL,361,0.29916897506925205,0.6094182825484764,0.01662049861495845,0.07479224376731301,7.555555555555555,3.0,3.9954545454545456,0.0
-1.382,ALL,460,0.41304347826086957,0.5108695652173914,0.02826086956521739,0.04782608695652174,10.563157894736841,6.0,6.051063829787234,0.0
-1.236,ALL,637,0.5007849293563579,0.3893249607535322,0.08791208791208792,0.02197802197802198,18.780564263322884,6.0,24.120967741935484,12.0
-1.00,ALL,1057,0.4153263954588458,0.45695364238410596,0.11352885525070956,0.014191106906338695,34.804100227790435,18.0,28.888198757763973,15.0
-0.786,ALL,1580,0.41455696202531644,0.5151898734177215,0.05506329113924051,0.015189873417721518,24.39389312977099,12.0,22.691646191646193,12.0
-0.618,ALL,2116,0.3672022684310019,0.5916824196597353,0.01984877126654064,0.021266540642722116,13.328185328185327,6.0,9.711661341853036,0.0
-0.50,ALL,2576,0.4472049689440994,0.5089285714285714,0.010093167701863354,0.03377329192546584,7.502604166666667,3.0,7.913043478260869,0.0
-0.382,ALL,3231,0.5450324976787372,0.4175177963478799,0.013927576601671309,0.023522129371711543,8.81771720613288,3.0,14.108228317272053,6.0
-0.236,ALL,4090,0.6669926650366749,0.30073349633251834,0.02371638141809291,0.008557457212713936,17.103739002932553,3.0,44.17560975609756,27.0
+0.236,ALL,4400,0.68,0.27,0.04340909090909091,0.006590909090909091,20.31417112299465,3.0,45.68939393939394,27.0
+0.382,ALL,3454,0.5906195715112913,0.36537348002316156,0.028662420382165606,0.015344528083381586,15.18235294117647,3.0,20.491283676703645,9.0
+0.50,ALL,2745,0.507832422586521,0.44371584699453553,0.023679417122040074,0.02477231329690346,16.56025824964132,3.0,15.177339901477833,6.0
+0.618,ALL,2165,0.4106235565819861,0.5214780600461894,0.04988452655889145,0.018013856812933025,27.020247469066366,12.0,21.140832595217006,9.0
+0.786,ALL,1492,0.42828418230563003,0.4517426273458445,0.11058981233243968,0.00938337801608579,55.25352112676056,33.0,38.86646884272997,18.0
+1.00,ALL,908,0.42400881057268724,0.3535242290748899,0.20814977973568283,0.014317180616740088,67.07532467532468,42.0,61.89719626168224,42.0
+1.236,ALL,488,0.514344262295082,0.26434426229508196,0.19262295081967212,0.028688524590163935,45.537848605577686,27.0,55.76744186046512,36.0
+1.382,ALL,311,0.42765273311897106,0.4180064308681672,0.10289389067524116,0.05144694533762058,23.481203007518797,12.0,26.79230769230769,15.0
+1.50,ALL,205,0.32195121951219513,0.5560975609756098,0.07317073170731707,0.04878048780487805,19.772727272727273,9.0,17.473684210526315,7.5
+1.618,ALL,139,0.28776978417266186,0.539568345323741,0.1223021582733813,0.050359712230215826,24.225,15.0,18.96,3.0
