month_end,trig_date,swing_open_dom,days_open_to_trigger,remaining_month_at_trigger,remaining_week_at_trigger,clock_trunc_month,same_day_swing_open,same_day_swing_close,same_day_swing_retrace,swing_closes,swing_retraces,weekly_closes,weekly_invalidates,winner,days_trig_to_swing_close,days_trig_to_weekly_close,close_atr_m,atr_m,atr_w
2002-08-31,2002-08-02,2,0,21,1,False,True,False,False,True,True,False,False,swing_down,1.0,,0.044,100.61,51.6
2004-08-31,2004-08-10,6,2,16,4,False,False,False,False,True,True,False,True,swing_down,3.0,,0.038,66.31,26.01
2004-10-31,2004-10-26,25,1,4,4,True,False,False,True,False,True,True,False,weekly_up,,0.0,0.249,62.74,23.95
2006-02-28,2006-02-09,7,2,13,2,False,False,False,True,False,True,False,True,neither,,,0.011,53.9,24.37
2007-08-31,2007-08-06,6,0,20,5,False,True,False,True,True,True,True,True,weekly_up,7.0,0.0,0.31,60.3,37.93
2009-07-31,2009-07-13,8,3,15,5,False,False,False,True,False,True,True,False,weekly_up,,2.0,0.584,116.62,50.56
2011-09-30,2011-09-02,2,0,20,1,False,True,False,True,True,True,False,False,swing_down,1.0,,-0.947,92.33,53.28
2012-06-30,2012-06-06,4,2,18,3,False,False,False,True,False,True,True,False,weekly_up,,0.0,0.541,95.72,41.18
2013-12-31,2013-12-16,12,2,11,5,False,False,False,True,False,True,True,True,weekly_up,,2.0,0.491,86.75,33.39
2015-08-31,2015-08-10,7,1,16,5,False,False,False,True,True,True,False,True,swing_down,8.0,,-1.494,88.12,45.46
2015-11-30,2015-11-16,13,1,10,5,False,False,False,False,False,True,True,False,weekly_up,,1.0,0.01,109.89,59.75
2017-08-31,2017-08-17,17,0,11,2,False,True,False,True,False,True,True,True,weekly_up,,0.0,0.015,90.93,34.69
2017-12-31,2017-12-01,1,0,20,1,False,True,False,True,False,True,True,False,weekly_up,,0.0,0.297,87.68,32.05
2018-11-30,2018-11-26,20,3,5,5,False,False,False,False,False,True,True,False,weekly_up,,1.0,0.358,135.41,80.32
2023-08-31,2023-08-10,8,2,16,2,False,False,False,True,True,True,False,True,swing_down,5.0,,-0.261,311.75,114.34
2023-10-31,2023-10-30,26,2,2,2,True,False,False,False,False,False,True,False,weekly_up,,1.0,-0.307,307.24,118.15
2025-11-30,2025-11-10,7,1,14,5,False,False,False,True,True,True,True,True,weekly_up,6.0,0.0,0.025,352.45,166.2
