tf,side,entry,filter,exit,stop,n_trades,trades_per_day,win_rate,avg_risk_pts,avg_bars_held,avg_r_gross,avg_r_net,total_r_net,pf_net,t_stat,max_dd_r,pos_years_pct,n_years,r_net_2008_2019,r_net_2020_2026
3m,long,close_confirm,none,cbc_trail,candle_low,72171,15.5,23.3,2.99,1.6,-0.0949,-0.2684,-19372.8,0.435,-81.97,19373.6,0.0,19,-15624.4,-3748.4
3m,long,close_confirm,none,cbc_trail,atr_0.5,75895,16.3,20.0,1.48,1.2,-0.1639,-0.506,-38399.2,0.395,-100.8,38402.2,0.0,19,-32084.8,-6314.4
3m,long,close_confirm,none,cbc_trail,atr_1.0,71514,15.36,23.9,2.94,1.7,-0.0982,-0.2709,-19369.7,0.422,-89.7,19372.4,0.0,19,-16216.7,-3153.0
3m,long,close_confirm,none,cbc_trail,atr_1.5,70864,15.22,24.4,4.4,1.8,-0.0689,-0.1841,-13047.9,0.422,-87.94,13049.8,0.0,19,-10932.5,-2115.5
3m,long,close_confirm,none,cbc_after_1r,candle_low,48892,10.5,38.9,3.15,5.5,-0.0735,-0.239,-11685.6,0.65,-41.92,11685.2,0.0,19,-9171.7,-2514.0
3m,long,close_confirm,none,cbc_after_1r,atr_0.5,70697,15.18,25.9,1.48,1.7,-0.1318,-0.4728,-33427.8,0.482,-79.77,33426.4,0.0,19,-28034.6,-5393.2
3m,long,close_confirm,none,cbc_after_1r,atr_1.0,50947,10.94,40.1,3.01,4.9,-0.0628,-0.2314,-11790.6,0.66,-42.13,11796.4,0.0,19,-9774.0,-2016.6
3m,long,close_confirm,none,cbc_after_1r,atr_1.5,36227,7.78,43.7,4.64,9.7,-0.0467,-0.1562,-5656.9,0.745,-26.18,5656.6,0.0,19,-4570.8,-1086.1
3m,long,close_confirm,none,close_against,candle_low,53163,11.42,29.0,3.14,4.3,-0.0569,-0.2236,-11886.2,0.638,-38.18,11905.3,5.0,19,-9546.2,-2340.1
3m,long,close_confirm,none,close_against,atr_0.5,62490,13.42,20.9,1.5,2.7,-0.0946,-0.4318,-26981.9,0.562,-53.07,26989.5,0.0,19,-22934.0,-4047.9
3m,long,close_confirm,none,close_against,atr_1.0,52279,11.23,30.0,3.04,4.5,-0.0459,-0.213,-11134.6,0.652,-37.66,11144.9,0.0,19,-9328.5,-1806.2
3m,long,close_confirm,none,close_against,atr_1.5,49532,10.64,32.5,4.57,5.1,-0.0339,-0.1448,-7173.3,0.666,-34.6,7180.4,0.0,19,-5963.1,-1210.2
3m,long,close_confirm,none,target2r_trail,candle_low,74135,15.92,23.8,3.0,1.4,-0.0834,-0.2559,-18973.0,0.46,-85.79,18977.1,0.0,19,-15210.8,-3762.3
3m,long,close_confirm,none,target2r_trail,atr_0.5,81267,17.45,23.7,1.5,0.7,-0.1239,-0.4616,-37514.2,0.437,-111.02,37524.8,0.0,19,-30749.2,-6765.0
3m,long,close_confirm,none,target2r_trail,atr_1.0,73014,15.68,24.0,2.95,1.5,-0.0906,-0.2625,-19164.5,0.439,-90.97,19168.0,0.0,19,-16023.3,-3141.2
3m,long,close_confirm,none,target2r_trail,atr_1.5,71298,15.31,24.4,4.41,1.8,-0.0673,-0.1823,-12999.8,0.428,-88.66,13002.2,0.0,19,-10887.2,-2112.6
3m,long,close_confirm,ribbon,cbc_trail,candle_low,43620,9.37,22.9,2.81,1.6,-0.0936,-0.2751,-11998.3,0.432,-64.36,12005.4,0.0,19,-9552.4,-2446.0
3m,long,close_confirm,ribbon,cbc_trail,atr_0.5,45711,9.82,19.8,1.4,1.2,-0.1579,-0.5159,-23582.4,0.395,-78.54,23600.5,0.0,19,-19428.7,-4153.7
3m,long,close_confirm,ribbon,cbc_trail,atr_1.0,43207,9.28,23.5,2.79,1.7,-0.095,-0.2758,-11917.3,0.42,-70.08,11926.3,0.0,19,-9943.2,-1974.0
3m,long,close_confirm,ribbon,cbc_trail,atr_1.5,42840,9.2,23.9,4.18,1.8,-0.0665,-0.1871,-8016.2,0.421,-68.29,8021.7,0.0,19,-6699.8,-1316.4
3m,long,close_confirm,ribbon,cbc_after_1r,candle_low,29448,6.32,38.6,2.96,5.7,-0.07,-0.2429,-7154.3,0.647,-32.66,7158.5,0.0,19,-5471.4,-1682.9
3m,long,close_confirm,ribbon,cbc_after_1r,atr_0.5,42514,9.13,25.7,1.4,1.7,-0.1234,-0.4813,-20460.9,0.481,-61.99,20477.3,0.0,19,-17012.8,-3448.1
3m,long,close_confirm,ribbon,cbc_after_1r,atr_1.0,30426,6.53,40.0,2.85,5.2,-0.0511,-0.2292,-6975.0,0.665,-31.76,6982.7,0.0,19,-5904.4,-1070.6
3m,long,close_confirm,ribbon,cbc_after_1r,atr_1.5,21828,4.69,43.9,4.39,10.4,-0.03,-0.1456,-3178.9,0.762,-18.68,3179.5,0.0,19,-2714.1,-464.8
3m,long,close_confirm,ribbon,close_against,candle_low,32170,6.91,28.4,2.94,4.4,-0.05,-0.2257,-7260.3,0.64,-29.43,7280.6,5.0,19,-5859.9,-1400.4
3m,long,close_confirm,ribbon,close_against,atr_0.5,37570,8.07,20.7,1.42,2.8,-0.081,-0.436,-16381.1,0.564,-40.95,16396.9,5.0,19,-13912.7,-2468.4
3m,long,close_confirm,ribbon,close_against,atr_1.0,31566,6.78,29.6,2.87,4.6,-0.0371,-0.2134,-6735.7,0.654,-28.97,6746.1,5.0,19,-5753.2,-982.5
3m,long,close_confirm,ribbon,close_against,atr_1.5,29942,6.43,31.9,4.33,5.2,-0.0267,-0.1436,-4299.1,0.67,-26.35,4307.7,5.0,19,-3661.5,-637.6
3m,long,close_confirm,ribbon,target2r_trail,candle_low,44834,9.63,23.4,2.82,1.4,-0.0817,-0.262,-11746.2,0.457,-67.52,11756.8,0.0,19,-9267.8,-2478.4
3m,long,close_confirm,ribbon,target2r_trail,atr_0.5,48981,10.52,23.7,1.42,0.7,-0.1231,-0.4764,-23335.8,0.428,-88.52,23348.0,0.0,19,-18851.4,-4484.4
3m,long,close_confirm,ribbon,target2r_trail,atr_1.0,44167,9.48,23.6,2.8,1.5,-0.0873,-0.2673,-11805.3,0.437,-71.25,11812.7,0.0,19,-9816.8,-1988.5
3m,long,close_confirm,ribbon,target2r_trail,atr_1.5,43127,9.26,23.9,4.18,1.8,-0.0645,-0.185,-7978.2,0.428,-68.8,7981.4,0.0,19,-6656.2,-1322.0
3m,long,break_stop,none,cbc_trail,candle_low,123879,26.6,22.7,3.1,1.9,-0.1761,-0.3263,-40424.4,0.358,-143.53,40425.5,0.0,19,-29914.0,-10510.4
3m,long,break_stop,none,cbc_trail,atr_0.5,180258,38.71,9.1,1.44,0.6,-0.6621,-1.0141,-182792.4,0.128,-417.1,182791.7,0.0,19,-139530.4,-43262.0
3m,long,break_stop,none,cbc_trail,atr_1.0,127019,27.27,21.7,2.88,1.7,-0.2331,-0.4108,-52182.3,0.305,-174.86,52181.9,0.0,19,-42063.3,-10119.0
3m,long,break_stop,none,cbc_trail,atr_1.5,117604,25.25,24.6,4.34,2.1,-0.1033,-0.2208,-25971.8,0.384,-129.92,25972.9,0.0,19,-21491.7,-4480.1
3m,long,break_stop,none,cbc_after_1r,candle_low,67810,14.56,36.5,3.43,5.7,-0.1616,-0.2981,-20214.3,0.579,-64.79,20214.5,0.0,19,-14197.4,-6016.9
3m,long,break_stop,none,cbc_after_1r,atr_0.5,169532,36.4,10.9,1.43,0.7,-0.6532,-1.008,-170896.2,0.156,-367.62,170895.6,0.0,19,-131125.9,-39770.4
3m,long,break_stop,none,cbc_after_1r,atr_1.0,80472,17.28,33.4,2.95,4.3,-0.215,-0.3888,-31286.2,0.495,-91.52,31286.1,0.0,19,-24850.5,-6435.8
3m,long,break_stop,none,cbc_after_1r,atr_1.5,47157,10.13,41.8,4.6,9.4,-0.0848,-0.1957,-9227.2,0.693,-37.39,9226.9,0.0,19,-7522.3,-1704.9
3m,long,break_stop,none,close_against,candle_low,76979,16.53,27.3,3.35,4.5,-0.1512,-0.2909,-22394.5,0.54,-66.74,22400.7,0.0,19,-15630.7,-6763.8
3m,long,break_stop,none,close_against,atr_0.5,152279,32.7,8.2,1.42,1.1,-0.6525,-1.0124,-154174.5,0.177,-290.85,154176.9,0.0,19,-119544.2,-34630.4
3m,long,break_stop,none,close_against,atr_1.0,81799,17.56,25.3,2.99,4.0,-0.207,-0.3784,-30955.9,0.474,-85.96,30957.5,0.0,19,-24322.6,-6633.3
3m,long,break_stop,none,close_against,atr_1.5,68384,14.68,31.5,4.59,5.3,-0.0726,-0.1836,-12556.9,0.61,-50.36,12561.7,0.0,19,-10150.6,-2406.3
3m,long,break_stop,none,target2r_trail,candle_low,128275,27.54,22.8,3.17,1.7,-0.1708,-0.319,-40919.7,0.368,-149.96,40920.7,0.0,19,-29962.3,-10957.4
3m,long,break_stop,none,target2r_trail,atr_0.5,191777,41.18,10.0,1.47,0.4,-0.6542,-0.9989,-191574.9,0.131,-480.0,191575.4,0.0,19,-143975.7,-47599.3
3m,long,break_stop,none,target2r_trail,atr_1.0,131745,28.29,21.8,2.91,1.6,-0.2268,-0.403,-53094.2,0.316,-180.2,53093.8,0.0,19,-42506.9,-10587.3
3m,long,break_stop,none,target2r_trail,atr_1.5,119073,25.57,24.6,4.36,2.0,-0.1019,-0.2191,-26088.9,0.389,-131.43,26090.0,0.0,19,-21531.3,-4557.6
3m,long,break_stop,ribbon,cbc_trail,candle_low,69168,14.85,22.0,2.9,1.9,-0.1752,-0.3344,-23131.0,0.354,-109.3,23131.3,0.0,19,-17296.9,-5834.1
3m,long,break_stop,ribbon,cbc_trail,atr_0.5,98976,21.25,9.3,1.35,0.6,-0.6515,-1.0218,-101131.6,0.131,-304.25,101132.0,0.0,19,-77686.9,-23444.6
3m,long,break_stop,ribbon,cbc_trail,atr_1.0,70285,15.09,21.3,2.72,1.8,-0.2222,-0.4085,-28711.3,0.308,-128.86,28711.5,0.0,19,-23384.8,-5326.4
3m,long,break_stop,ribbon,cbc_trail,atr_1.5,66061,14.19,23.6,4.12,2.1,-0.1054,-0.2284,-15087.8,0.373,-100.8,15089.4,0.0,19,-12539.2,-2548.6
3m,long,break_stop,ribbon,cbc_after_1r,candle_low,37852,8.13,36.6,3.2,6.0,-0.1498,-0.2961,-11208.3,0.584,-47.55,11208.6,0.0,19,-8113.8,-3094.4
3m,long,break_stop,ribbon,cbc_after_1r,atr_0.5,92622,19.89,11.1,1.34,0.8,-0.6427,-1.0174,-94230.9,0.16,-268.07,94231.4,0.0,19,-73061.5,-21169.4
3m,long,break_stop,ribbon,cbc_after_1r,atr_1.0,43264,9.29,34.0,2.79,4.7,-0.1905,-0.3742,-16189.0,0.514,-63.39,16189.3,0.0,19,-13247.2,-2941.8
3m,long,break_stop,ribbon,cbc_after_1r,atr_1.5,26212,5.63,42.1,4.39,10.3,-0.0681,-0.1843,-4831.4,0.709,-26.02,4832.4,0.0,19,-4087.6,-743.9
3m,long,break_stop,ribbon,close_against,candle_low,42680,9.16,27.0,3.13,4.6,-0.1413,-0.2911,-12424.6,0.544,-49.13,12429.3,0.0,19,-9028.3,-3396.4
3m,long,break_stop,ribbon,close_against,atr_0.5,82936,17.81,8.5,1.33,1.1,-0.6379,-1.019,-84513.3,0.182,-210.65,84513.2,0.0,19,-66681.5,-17831.8
3m,long,break_stop,ribbon,close_against,atr_1.0,44494,9.55,25.5,2.83,4.2,-0.1825,-0.3632,-16158.2,0.492,-59.94,16160.4,0.0,19,-13046.3,-3111.9
3m,long,break_stop,ribbon,close_against,atr_1.5,38158,8.19,30.9,4.36,5.4,-0.0666,-0.183,-6982.5,0.61,-37.47,6987.7,0.0,19,-5786.3,-1196.2
3m,long,break_stop,ribbon,target2r_trail,candle_low,71720,15.4,22.2,2.96,1.7,-0.169,-0.326,-23382.3,0.365,-113.74,23382.6,0.0,19,-17343.1,-6039.2
3m,long,break_stop,ribbon,target2r_trail,atr_0.5,105387,22.63,10.2,1.39,0.4,-0.6474,-1.0098,-106417.7,0.131,-354.97,106419.3,0.0,19,-80465.5,-25952.2
3m,long,break_stop,ribbon,target2r_trail,atr_1.0,73023,15.68,21.4,2.75,1.6,-0.2166,-0.4015,-29316.6,0.319,-133.14,29316.8,0.0,19,-23714.9,-5601.7
3m,long,break_stop,ribbon,target2r_trail,atr_1.5,66935,14.37,23.6,4.13,2.0,-0.1034,-0.226,-15130.1,0.38,-101.28,15130.2,0.0,19,-12540.6,-2589.4
3m,short,close_confirm,none,cbc_trail,candle_low,69294,14.88,22.7,3.03,1.6,-0.0901,-0.2619,-18150.1,0.466,-70.78,18168.5,0.0,19,-14659.1,-3491.0
3m,short,close_confirm,none,cbc_trail,atr_0.5,73155,15.71,19.3,1.49,1.1,-0.1562,-0.4957,-36261.8,0.425,-86.61,36268.9,0.0,19,-30335.3,-5926.6
3m,short,close_confirm,none,cbc_trail,atr_1.0,68708,14.75,23.2,2.96,1.7,-0.0922,-0.2638,-18127.3,0.457,-76.46,18138.7,0.0,19,-15226.9,-2900.4
3m,short,close_confirm,none,cbc_trail,atr_1.5,68052,14.61,23.7,4.44,1.8,-0.0645,-0.179,-12181.3,0.458,-75.07,12187.4,0.0,19,-10211.2,-1970.1
3m,short,close_confirm,none,cbc_after_1r,candle_low,48574,10.43,36.8,3.12,5.1,-0.0861,-0.2534,-12308.7,0.641,-41.15,12320.6,0.0,19,-9793.5,-2515.2
3m,short,close_confirm,none,cbc_after_1r,atr_0.5,68913,14.8,24.4,1.5,1.6,-0.1288,-0.4675,-32215.4,0.499,-70.97,32226.0,0.0,19,-26921.6,-5293.8
3m,short,close_confirm,none,cbc_after_1r,atr_1.0,50560,10.86,38.0,3.01,4.6,-0.0741,-0.2434,-12305.2,0.654,-41.39,12333.3,5.0,19,-10231.0,-2074.2
3m,short,close_confirm,none,cbc_after_1r,atr_1.5,36262,7.79,42.0,4.59,9.2,-0.0627,-0.1732,-6282.1,0.725,-27.9,6300.1,5.0,19,-5273.7,-1008.4
3m,short,close_confirm,none,close_against,candle_low,53031,11.39,26.9,3.08,3.9,-0.0687,-0.2386,-12654.2,0.629,-37.46,12693.3,0.0,19,-9977.4,-2676.7
3m,short,close_confirm,none,close_against,atr_0.5,62037,13.32,19.3,1.5,2.4,-0.1037,-0.442,-27419.5,0.562,-49.75,27457.0,0.0,19,-22876.0,-4543.5
3m,short,close_confirm,none,close_against,atr_1.0,52057,11.18,27.9,3.01,4.1,-0.0561,-0.225,-11713.8,0.645,-36.75,11747.1,0.0,19,-9732.5,-1981.4
3m,short,close_confirm,none,close_against,atr_1.5,49388,10.61,30.1,4.53,4.7,-0.0436,-0.1557,-7689.5,0.654,-34.62,7703.5,0.0,19,-6374.6,-1314.9
3m,short,close_confirm,none,target2r_trail,candle_low,71519,15.36,23.4,3.06,1.4,-0.0798,-0.25,-17881.5,0.488,-78.46,17887.7,0.0,19,-14330.8,-3550.8
3m,short,close_confirm,none,target2r_trail,atr_0.5,78978,16.96,24.2,1.51,0.6,-0.1247,-0.4594,-36281.6,0.454,-105.81,36287.7,0.0,19,-29686.8,-6594.8
3m,short,close_confirm,none,target2r_trail,atr_1.0,70694,15.18,23.5,2.98,1.4,-0.084,-0.2547,-18002.8,0.476,-80.96,18012.7,0.0,19,-15071.0,-2931.8
3m,short,close_confirm,none,target2r_trail,atr_1.5,68793,14.77,23.8,4.45,1.7,-0.0623,-0.1766,-12146.3,0.466,-77.4,12150.0,0.0,19,-10104.1,-2042.1
3m,short,close_confirm,ribbon,cbc_trail,candle_low,37080,7.96,24.6,3.32,1.6,-0.07,-0.2278,-8446.0,0.523,-43.77,8466.3,0.0,19,-6904.4,-1541.6
3m,short,close_confirm,ribbon,cbc_trail,atr_0.5,39418,8.46,20.5,1.57,1.1,-0.12,-0.445,-17540.1,0.481,-53.67,17550.9,0.0,19,-14743.0,-2797.0
3m,short,close_confirm,ribbon,cbc_trail,atr_1.0,36827,7.91,25.0,3.12,1.7,-0.0734,-0.2377,-8755.2,0.515,-47.18,8767.1,5.0,19,-7452.6,-1302.5
3m,short,close_confirm,ribbon,cbc_trail,atr_1.5,36411,7.82,25.6,4.67,1.8,-0.0522,-0.1619,-5894.2,0.516,-46.3,5902.6,0.0,19,-4995.3,-898.9
3m,short,close_confirm,ribbon,cbc_after_1r,candle_low,26206,5.63,37.5,3.43,5.2,-0.0658,-0.22,-5764.6,0.682,-25.99,5777.0,0.0,19,-4707.6,-1057.0
3m,short,close_confirm,ribbon,cbc_after_1r,atr_0.5,37491,8.05,24.8,1.57,1.5,-0.0932,-0.4179,-15666.1,0.547,-44.75,15678.2,0.0,19,-13128.1,-2538.0
3m,short,close_confirm,ribbon,cbc_after_1r,atr_1.0,28275,6.07,37.8,3.12,4.2,-0.0596,-0.2237,-6324.4,0.681,-27.8,6341.4,5.0,19,-5360.3,-964.1
3m,short,close_confirm,ribbon,cbc_after_1r,atr_1.5,21125,4.54,42.1,4.7,8.3,-0.0473,-0.1565,-3305.5,0.751,-18.86,3325.9,5.0,19,-2849.7,-455.8
3m,short,close_confirm,ribbon,close_against,candle_low,28650,6.15,28.2,3.38,3.8,-0.0464,-0.2026,-5803.7,0.676,-22.99,5843.3,0.0,19,-4793.8,-1009.9
3m,short,close_confirm,ribbon,close_against,atr_0.5,33844,7.27,19.8,1.57,2.2,-0.0663,-0.392,-13267.7,0.608,-31.25,13314.9,0.0,19,-11292.6,-1975.0
3m,short,close_confirm,ribbon,close_against,atr_1.0,28435,6.11,28.8,3.14,3.9,-0.0367,-0.2002,-5693.3,0.687,-23.17,5729.6,0.0,19,-4860.0,-833.3
3m,short,close_confirm,ribbon,close_against,atr_1.5,26890,5.77,31.3,4.72,4.5,-0.0299,-0.1384,-3721.3,0.698,-21.69,3748.6,0.0,19,-3161.4,-559.9
3m,short,close_confirm,ribbon,target2r_trail,candle_low,38392,8.24,25.2,3.35,1.4,-0.058,-0.2144,-8233.0,0.549,-47.81,8249.1,5.0,19,-6675.1,-1557.9
3m,short,close_confirm,ribbon,target2r_trail,atr_0.5,42892,9.21,26.0,1.59,0.5,-0.0927,-0.4133,-17725.9,0.503,-67.93,17734.6,0.0,19,-14489.5,-3236.4
3m,short,close_confirm,ribbon,target2r_trail,atr_1.0,38097,8.18,25.2,3.13,1.4,-0.0632,-0.2267,-8637.9,0.539,-49.85,8657.6,5.0,19,-7337.6,-1300.3
3m,short,close_confirm,ribbon,target2r_trail,atr_1.5,36887,7.92,25.7,4.68,1.7,-0.0484,-0.1577,-5818.5,0.529,-47.31,5828.9,0.0,19,-4876.5,-942.0
3m,short,break_stop,none,cbc_trail,candle_low,122440,26.29,21.4,3.03,1.8,-0.1824,-0.3347,-40979.0,0.37,-132.24,40984.2,0.0,19,-29750.4,-11228.6
3m,short,break_stop,none,cbc_trail,atr_0.5,177627,38.14,8.3,1.44,0.5,-0.672,-1.0211,-181375.8,0.131,-389.77,181374.5,0.0,19,-137265.7,-44110.1
