tf,side,entry,exit,stop,htf,tod,n_trades,win_rate,avg_r_gross,avg_r_net,total_r_net,pf_net,t_stat,pos_years_pct,r_2008_2019,r_2020_2026
3m,long,confirm,cbc_after_1r,candle_low,none,all,29056,38.5,-0.0699,-0.2441,-7092.8,0.646,-32.54,0.0,-5425.3,-1667.5
3m,long,confirm,cbc_after_1r,candle_low,none,0930-1100,6882,39.8,-0.0646,-0.2092,-1439.4,0.689,-13.97,0.0,-1093.8,-345.6
3m,long,confirm,cbc_after_1r,candle_low,none,1100-1400,13275,38.5,-0.0696,-0.2583,-3428.9,0.632,-23.29,0.0,-2686.1,-742.8
3m,long,confirm,cbc_after_1r,candle_low,none,1400-1530,6859,37.4,-0.086,-0.2678,-1837.2,0.619,-17.26,5.0,-1396.0,-441.2
3m,long,confirm,cbc_after_1r,candle_low,10m_ribbon,all,20899,38.4,-0.0719,-0.2532,-5291.4,0.636,-28.67,0.0,-4067.5,-1223.9
3m,long,confirm,cbc_after_1r,candle_low,10m_ribbon,0930-1100,5340,40.4,-0.0551,-0.2034,-1086.1,0.696,-11.95,0.0,-834.6,-251.6
3m,long,confirm,cbc_after_1r,candle_low,10m_ribbon,1100-1400,9110,38.1,-0.0827,-0.2812,-2561.7,0.605,-21.26,0.0,-1978.5,-583.2
3m,long,confirm,cbc_after_1r,candle_low,10m_ribbon,1400-1530,5010,37.1,-0.0768,-0.2677,-1341.1,0.623,-14.55,5.0,-1040.2,-300.9
3m,long,confirm,cbc_after_1r,atr_1.0,none,all,29905,40.1,-0.0496,-0.2284,-6829.3,0.666,-31.4,0.0,-5800.6,-1028.7
3m,long,confirm,cbc_after_1r,atr_1.0,none,0930-1100,6699,42.6,-0.0341,-0.1662,-1113.2,0.741,-11.33,5.0,-888.7,-224.5
3m,long,confirm,cbc_after_1r,atr_1.0,none,1100-1400,13266,40.9,-0.0455,-0.2312,-3067.5,0.662,-21.45,0.0,-2637.9,-429.7
3m,long,confirm,cbc_after_1r,atr_1.0,none,1400-1530,7648,37.4,-0.0782,-0.2837,-2170.1,0.609,-19.05,11.0,-1898.3,-271.8
3m,long,confirm,cbc_after_1r,atr_1.0,10m_ribbon,all,21347,39.9,-0.0539,-0.2405,-5134.1,0.652,-27.94,0.0,-4339.3,-794.8
