side,entry,stop,exit,n_signals,n_trades,fill_pct,win_rate,avg_risk_pts,avg_pnl_pts,avg_r_gross,avg_r_net,total_r_net,pf_net,t_stat,pos_years_pct,r_2008_2019,r_2020_2026
long,baseline,candle_low,cbc_after_1r,9340,9340,100.0,40.9,4.84,0.077,-0.0176,-0.1301,-1214.9,0.792,-9.6,5.0,-1076.7,-138.3
long,baseline,candle_low,close_against,9977,9977,100.0,33.2,4.78,0.181,0.0147,-0.0997,-995.1,0.823,-7.0,16.0,-988.6,-6.4
long,baseline,atr_1.5,cbc_after_1r,6615,6615,100.0,47.5,8.12,0.468,0.0321,-0.029,-191.7,0.942,-2.2,42.0,-237.9,46.2
long,baseline,atr_1.5,close_against,9278,9278,100.0,37.7,7.87,0.262,0.0183,-0.0448,-415.7,0.869,-5.08,26.0,-467.1,51.4
long,limit_2pt,candle_low,cbc_after_1r,17616,5536,31.4,32.9,4.59,0.221,0.0252,-0.1596,-883.4,0.794,-6.07,11.0,-635.2,-248.1
long,limit_2pt,candle_low,close_against,17372,5452,31.4,27.3,4.68,0.337,0.0953,-0.0884,-481.8,0.887,-2.59,37.0,-405.0,-76.8
long,limit_2pt,atr_1.5,cbc_after_1r,12713,4320,34.0,49.0,10.13,0.745,0.0608,0.0152,65.5,1.031,0.92,53.0,2.6,62.9
long,limit_2pt,atr_1.5,close_against,15602,5519,35.4,38.6,10.35,0.535,0.0415,-0.0026,-14.5,0.992,-0.24,42.0,-101.6,87.1
long,limit_0.15atr,candle_low,cbc_after_1r,11741,9675,82.4,39.0,3.91,0.147,0.0132,-0.1349,-1305.0,0.797,-8.92,5.0,-1142.6,-162.4
long,limit_0.15atr,candle_low,close_against,11836,9805,82.8,31.5,3.9,0.236,0.0532,-0.0956,-937.3,0.85,-5.45,21.0,-969.6,32.4
long,limit_0.15atr,atr_1.5,cbc_after_1r,7674,6352,82.8,48.6,8.09,0.526,0.0428,-0.0185,-117.4,0.962,-1.39,47.0,-172.7,55.3
long,limit_0.15atr,atr_1.5,close_against,10773,8957,83.1,38.3,7.88,0.362,0.0349,-0.0282,-252.7,0.912,-3.24,32.0,-336.9,84.3
long,limit_0.30atr,candle_low,cbc_after_1r,14669,9370,63.9,34.7,3.08,0.075,0.0197,-0.1883,-1764.6,0.749,-10.48,5.0,-1506.0,-258.6
long,limit_0.30atr,candle_low,close_against,14337,9179,64.0,27.8,3.11,0.129,0.0662,-0.1402,-1286.8,0.816,-6.3,16.0,-1216.6,-70.2
long,limit_0.30atr,atr_1.5,cbc_after_1r,9069,6012,66.3,49.2,8.03,0.598,0.0606,-0.0009,-5.3,0.998,-0.06,53.0,-76.8,71.5
long,limit_0.30atr,atr_1.5,close_against,12594,8276,65.7,37.9,7.83,0.417,0.0428,-0.0204,-169.2,0.935,-2.28,21.0,-271.6,102.4
long,ema9,candle_low,cbc_after_1r,9369,9339,99.7,42.2,4.53,0.393,0.052,-0.0769,-717.9,0.875,-5.32,21.0,-738.3,20.4
long,ema9,candle_low,close_against,10000,9972,99.7,34.3,4.5,0.445,0.0811,-0.0495,-493.9,0.913,-3.17,32.0,-624.4,130.4
long,ema9,atr_1.5,cbc_after_1r,6504,6483,99.7,49.7,8.11,0.697,0.0672,0.0061,39.6,1.013,0.46,53.0,-65.0,104.6
long,ema9,atr_1.5,close_against,9263,9236,99.7,39.6,7.88,0.52,0.0591,-0.004,-36.6,0.987,-0.46,37.0,-173.6,136.9
long,ema13,candle_low,cbc_after_1r,9517,9191,96.6,41.3,4.47,0.312,0.0425,-0.0925,-850.2,0.853,-6.22,16.0,-804.7,-45.5
long,ema13,candle_low,close_against,10260,9933,96.8,33.0,4.43,0.363,0.0743,-0.0624,-619.9,0.892,-3.81,26.0,-710.5,90.6
long,ema13,atr_1.5,cbc_after_1r,6642,6404,96.4,49.4,8.09,0.635,0.0603,-0.0008,-5.1,0.998,-0.06,42.0,-76.4,71.3
long,ema13,atr_1.5,close_against,9481,9182,96.8,38.7,7.88,0.437,0.0525,-0.0105,-96.5,0.966,-1.23,26.0,-197.7,101.2
long,ema21,candle_low,cbc_after_1r,11266,9385,83.3,39.5,3.79,0.224,0.0325,-0.1241,-1164.5,0.814,-7.88,16.0,-1014.0,-150.6
long,ema21,candle_low,close_against,11596,9695,83.6,30.7,3.79,0.242,0.0531,-0.1041,-1009.6,0.837,-5.85,21.0,-966.4,-43.2
long,ema21,atr_1.5,cbc_after_1r,7563,6218,82.2,49.3,8.09,0.637,0.0586,-0.0026,-16.0,0.995,-0.19,42.0,-90.5,74.5
long,ema21,atr_1.5,close_against,10595,8871,83.7,37.5,7.87,0.332,0.0422,-0.0209,-185.3,0.932,-2.45,37.0,-247.5,62.2
short,baseline,candle_low,cbc_after_1r,7676,7676,100.0,37.9,6.08,-0.184,-0.0534,-0.1451,-1113.6,0.775,-9.3,16.0,-976.7,-136.8
short,baseline,candle_low,close_against,8386,8386,100.0,30.8,5.99,-0.067,-0.0288,-0.1219,-1022.2,0.786,-7.78,16.0,-862.3,-159.8
short,baseline,atr_1.5,cbc_after_1r,6044,6044,100.0,43.0,8.99,-0.184,-0.0285,-0.0843,-509.6,0.849,-5.65,16.0,-444.3,-65.3
short,baseline,atr_1.5,close_against,7926,7926,100.0,34.2,8.91,-0.162,-0.0204,-0.0765,-606.4,0.804,-7.16,11.0,-524.4,-81.9
short,limit_2pt,candle_low,cbc_after_1r,12654,5726,45.3,33.1,5.54,0.012,0.0218,-0.1433,-820.8,0.811,-5.62,16.0,-655.8,-165.0
short,limit_2pt,candle_low,close_against,12756,5782,45.3,27.0,5.55,0.09,0.0224,-0.1422,-822.5,0.811,-4.94,11.0,-585.7,-236.7
short,limit_2pt,atr_1.5,cbc_after_1r,9326,4609,49.4,44.7,10.39,-0.078,-0.0014,-0.0473,-217.9,0.911,-2.8,32.0,-162.2,-55.7
short,limit_2pt,atr_1.5,close_against,11591,5778,49.8,35.0,10.58,0.043,0.0157,-0.0288,-166.4,0.916,-2.39,32.0,-124.9,-41.6
short,limit_0.15atr,candle_low,cbc_after_1r,9160,7918,86.4,36.9,5.15,-0.085,-0.0176,-0.134,-1060.7,0.801,-7.32,5.0,-962.5,-98.2
short,limit_0.15atr,candle_low,close_against,9578,8260,86.2,29.6,5.07,0.013,0.0017,-0.1161,-959.1,0.815,-5.96,21.0,-841.9,-117.2
short,limit_0.15atr,atr_1.5,cbc_after_1r,6768,5846,86.4,43.5,8.97,-0.144,-0.0207,-0.0765,-447.2,0.862,-5.09,16.0,-383.4,-63.8
short,limit_0.15atr,atr_1.5,close_against,8932,7714,86.4,34.6,8.91,-0.057,-0.0101,-0.0662,-510.5,0.822,-6.31,16.0,-451.6,-58.9
short,limit_0.30atr,candle_low,cbc_after_1r,10901,7826,71.8,33.7,4.24,-0.009,-0.0194,-0.1749,-1369.1,0.761,-8.77,21.0,-1210.6,-158.5
short,limit_0.30atr,candle_low,close_against,11100,7945,71.6,26.7,4.19,0.051,0.0084,-0.149,-1183.5,0.793,-6.21,16.0,-984.4,-199.1
short,limit_0.30atr,atr_1.5,cbc_after_1r,7604,5610,73.8,44.5,8.96,-0.012,-0.0061,-0.0617,-346.1,0.886,-4.04,16.0,-301.2,-44.9
short,limit_0.30atr,atr_1.5,close_against,10084,7329,72.7,34.2,8.86,0.052,0.0037,-0.0523,-383.4,0.852,-4.95,16.0,-368.4,-15.0
short,ema9,candle_low,cbc_after_1r,7700,7682,99.8,39.6,5.71,0.19,0.008,-0.0965,-741.7,0.848,-5.9,37.0,-678.4,-63.2
short,ema9,candle_low,close_against,8400,8380,99.8,31.8,5.64,0.263,0.0202,-0.0861,-721.4,0.849,-5.1,26.0,-632.4,-89.0
short,ema9,atr_1.5,cbc_after_1r,5949,5935,99.8,44.9,8.95,0.124,0.0104,-0.0455,-269.9,0.916,-3.03,26.0,-254.3,-15.6
short,ema9,atr_1.5,close_against,7896,7879,99.8,35.8,8.89,0.167,0.0206,-0.0355,-279.7,0.899,-3.41,32.0,-276.3,-3.4
short,ema13,candle_low,cbc_after_1r,7782,7588,97.5,38.7,5.64,0.08,-0.0164,-0.126,-955.9,0.805,-7.68,21.0,-796.0,-159.8
short,ema13,candle_low,close_against,8568,8350,97.5,30.5,5.53,0.209,0.0104,-0.101,-843.5,0.827,-5.54,21.0,-767.2,-76.3
short,ema13,atr_1.5,cbc_after_1r,5991,5836,97.4,45.1,8.95,0.046,0.0025,-0.0533,-311.3,0.901,-3.56,26.0,-282.4,-28.9
short,ema13,atr_1.5,close_against,8032,7830,97.5,34.9,8.88,0.134,0.0116,-0.0445,-348.4,0.872,-4.37,21.0,-357.7,9.3
short,ema21,candle_low,cbc_after_1r,8944,7676,85.8,36.8,4.89,0.056,-0.0199,-0.1476,-1133.2,0.783,-8.52,26.0,-932.0,-201.2
short,ema21,candle_low,close_against,9475,8153,86.0,28.8,4.84,0.093,-0.0061,-0.1342,-1094.3,0.787,-7.0,16.0,-854.1,-240.2
short,ema21,atr_1.5,cbc_after_1r,6572,5617,85.5,44.3,8.93,-0.006,-0.0074,-0.0631,-354.5,0.883,-4.16,21.0,-308.5,-46.0
short,ema21,atr_1.5,close_against,8794,7593,86.3,34.1,8.91,0.043,0.0069,-0.049,-372.3,0.857,-4.87,21.0,-330.9,-41.5
