entry,stop,exit,n_signals,n_trades,fill_pct,trades_per_wk,win_rate,avg_risk_pts,avg_net_pts,avg_r_net,total_r_net,pf_net,t_stat,max_dd_r,ann_usd_1lot,r2021,r2022,r2023,r2024,r2025,r2026
ema9_touch,candle_low,trail_0.5r,857,854,99.6,3.25,47.2,9.34,0.362,0.0568,48.5,1.114,1.21,28.6,3062,30.5,17.6,9.2,15.5,-26.0,1.7
ema9_touch,candle_low,trail_1r,835,832,99.6,3.17,43.4,9.38,0.726,0.0772,64.3,1.133,1.48,27.1,5977,32.1,27.5,10.6,9.8,-17.9,2.1
ema9_touch,candle_low,trail_1.5r,826,823,99.6,3.13,40.1,9.4,1.131,0.1122,92.3,1.181,2.01,24.9,9213,37.5,32.4,10.9,14.3,-7.6,4.8
ema9_touch,candle_low,trail_1r_tgt2r,874,871,99.7,3.32,44.9,9.27,0.569,0.0424,36.9,1.074,0.99,28.7,4903,24.6,13.0,19.7,-2.2,-20.7,2.6
ema9_touch,candle_low,trail_1r_tgt3r,849,846,99.6,3.22,43.4,9.33,0.584,0.0398,33.7,1.068,0.86,29.8,4888,27.1,15.8,11.9,-4.9,-18.3,2.1
ema9_touch,candle_low,be_1r_closeagainst,850,847,99.6,3.23,37.2,9.45,1.066,0.1329,112.6,1.278,2.47,17.1,8936,57.6,19.4,27.5,13.0,-6.2,1.3
ema9_touch,atr_1.0,trail_0.5r,839,836,99.6,3.18,52.0,10.04,0.406,0.0582,48.6,1.132,1.48,14.2,3360,35.4,2.5,-3.9,14.5,-2.6,2.7
ema9_touch,atr_1.0,trail_1r,807,804,99.6,3.06,47.0,10.05,0.736,0.0871,70.0,1.161,1.9,18.2,5859,37.6,11.8,14.4,3.5,-1.5,4.1
ema9_touch,atr_1.0,trail_1.5r,795,792,99.6,3.02,42.0,10.05,1.525,0.1389,110.0,1.233,2.66,19.3,11959,43.8,23.2,25.2,4.8,9.3,3.7
ema9_touch,atr_1.0,trail_1r_tgt2r,831,828,99.6,3.15,47.1,10.01,0.605,0.0689,57.1,1.128,1.62,20.1,4962,37.3,8.1,10.2,-6.6,3.3,4.8
ema9_touch,atr_1.0,trail_1r_tgt3r,815,812,99.6,3.09,46.9,10.03,0.741,0.085,69.0,1.157,1.89,17.6,5960,35.5,12.7,14.4,0.3,2.0,4.1
ema9_touch,atr_1.0,be_1r_closeagainst,828,825,99.6,3.14,40.6,10.11,1.014,0.1235,101.9,1.293,2.79,14.8,8286,50.1,4.0,24.8,16.8,4.5,1.7
ema9_touch,atr_1.5,trail_0.5r,784,781,99.6,2.97,58.0,14.97,0.564,0.0416,32.5,1.102,1.19,12.7,4361,27.9,5.7,0.1,1.5,-5.8,3.1
ema9_touch,atr_1.5,trail_1r,755,752,99.6,2.86,51.1,14.97,1.684,0.1044,78.5,1.214,2.46,15.8,12538,35.1,10.5,16.8,2.1,10.5,3.5
ema9_touch,atr_1.5,trail_1.5r,750,747,99.6,2.84,45.4,15.0,1.806,0.115,85.9,1.214,2.42,16.6,13359,30.7,13.3,28.1,10.1,5.8,-2.0
ema9_touch,atr_1.5,trail_1r_tgt2r,763,760,99.6,2.89,51.1,14.94,1.572,0.0931,70.7,1.19,2.28,15.2,11828,31.1,8.4,15.1,1.6,10.9,3.5
ema9_touch,atr_1.5,trail_1r_tgt3r,755,752,99.6,2.86,51.1,14.97,1.657,0.1026,77.2,1.21,2.44,15.8,12337,35.5,9.3,15.0,3.3,10.7,3.5
