config,n,win_pct,avg_pts,tot_pts,pf,t_day,max_dd_usd,n_6m,pnl_6m_pts
fixed s3/t6,2391,38.0,-0.257,-614.4,0.871,-2.53,-32173.0,57,2.7
fixed s3/t8,2348,34.2,-0.253,-594.8,0.88,-2.29,-32252.0,56,-3.4
fixed s3/t10,2311,32.6,-0.166,-382.5,0.923,-1.38,-21904.0,55,-9.1
fixed s3/t12,2288,31.4,-0.15,-343.0,0.932,-1.18,-20577.0,54,-20.7
fixed s3/t16,2260,29.9,-0.114,-258.0,0.949,-0.83,-19798.0,54,-7.7
fixed s4/t6,2367,43.7,-0.252,-595.7,0.887,-2.28,-30942.0,57,-22.3
fixed s4/t8,2320,39.5,-0.265,-616.0,0.889,-2.2,-32909.0,56,-41.4
fixed s4/t10,2277,37.5,-0.219,-499.5,0.912,-1.68,-26918.0,55,-41.2
fixed s4/t12,2248,36.2,-0.184,-414.0,0.928,-1.33,-23952.0,54,-53.8
fixed s4/t16,2214,34.6,-0.161,-357.5,0.938,-1.08,-23188.0,54,-41.8
fixed s5/t6,2344,48.0,-0.244,-572.9,0.899,-2.07,-30462.0,57,-8.0
fixed s5/t8,2291,43.9,-0.237,-541.9,0.91,-1.81,-27785.0,56,-40.4
fixed s5/t10,2245,41.7,-0.19,-425.6,0.931,-1.34,-23083.0,55,-38.5
fixed s5/t12,2215,40.0,-0.206,-455.8,0.928,-1.37,-24319.0,54,-63.9
fixed s5/t16,2177,38.0,-0.218,-474.8,0.926,-1.35,-25434.0,54,-48.9
fixed s6/t6,2333,50.9,-0.241,-561.7,0.906,-1.92,-32010.0,57,26.1
fixed s6/t8,2279,47.0,-0.213,-484.9,0.924,-1.53,-27668.0,56,-13.0
fixed s6/t10,2231,44.6,-0.175,-391.3,0.941,-1.17,-24220.0,55,-16.1
fixed s6/t12,2202,42.8,-0.185,-406.5,0.94,-1.16,-21281.0,54,-36.4
fixed s6/t16,2158,40.6,-0.207,-446.2,0.935,-1.19,-22608.0,53,-48.1
fixed s8/t6,2310,55.1,-0.242,-559.8,0.913,-1.77,-30356.0,57,10.2
fixed s8/t8,2255,51.0,-0.231,-521.2,0.925,-1.52,-28504.0,56,-36.9
fixed s8/t10,2200,49.0,-0.121,-266.4,0.963,-0.73,-21447.0,55,-37.9
fixed s8/t12,2166,47.1,-0.136,-295.2,0.96,-0.77,-20317.0,54,-76.3
fixed s8/t16,2119,45.1,-0.105,-222.2,0.97,-0.54,-18222.0,53,-88.4
be4 s5/t8,2307,36.3,-0.192,-443.8,0.91,-1.61,-26159.0,56,8.6
trail a4d4 s5/no-tgt,2284,51.6,-0.166,-378.3,0.921,-1.34,-24347.0,56,11.6
trail a4d4 s5/t12,2293,51.7,-0.186,-426.2,0.911,-1.55,-25930.0,56,-5.3
trail a3d3 s5/t8,2369,55.7,-0.291,-689.2,0.841,-2.77,-37168.0,57,-28.1
trail a6d6 s5/no-tgt,2198,45.9,-0.083,-181.4,0.967,-0.56,-18489.0,55,-20.9
MES x3 scaleout s5 (pts/contract-sum),2259,54.3,-1.181,-2667.1,0.82,-3.4,-137115.0,56,7.8
fixed s5/t8 + day_put filter,2165,43.8,-0.192,-415.6,0.925,-1.64,-20634.0,54,-42.7
fixed s5/t8 + wk_put filter,2090,44.3,-0.128,-267.8,0.949,-1.08,-14492.0,55,-35.1
fixed s5/t8 + both filter,2004,44.1,-0.145,-291.3,0.943,-1.19,-14699.0,54,-42.7
