config,n,win_pct,avg_pts,tot_pts,pf,t_day,max_dd_usd,avg_0819,avg_2026,t_day_2026,entry,window,exit
pullback|both|s5/t8,2291,43.9,-0.237,-541.9,0.91,-1.81,-27785.0,-0.133,-0.419,-1.5,pullback,both,s5/t8
pullback|both|s5/eod,2110,36.3,-0.076,-159.8,0.975,-0.37,-22543.0,0.005,-0.223,-0.47,pullback,both,s5/eod
pullback|both|s8/eod,2033,42.6,-0.036,-72.5,0.99,-0.15,-19749.0,-0.044,-0.02,-0.03,pullback,both,s8/eod
pullback|both|s10/eod,2008,45.1,-0.082,-164.0,0.98,-0.31,-21870.0,-0.19,0.122,0.19,pullback,both,s10/eod
pullback|both|trail a6d6 s5,2198,45.9,-0.083,-181.4,0.967,-0.56,-18489.0,-0.045,-0.147,-0.46,pullback,both,trail a6d6 s5
pullback|both|trail a8d8 s8,2107,50.1,-0.092,-193.2,0.971,-0.5,-18731.0,-0.078,-0.116,-0.3,pullback,both,trail a8d8 s8
pullback|both|be6 s5/eod,2137,32.4,-0.086,-184.6,0.966,-0.49,-21230.0,0.009,-0.257,-0.65,pullback,both,be6 s5/eod
pullback|am|s5/t8,1695,43.7,-0.186,-316.0,0.935,-1.12,-16410.0,-0.064,-0.404,-1.14,pullback,am,s5/t8
pullback|am|s5/eod,1609,34.4,-0.049,-79.3,0.985,-0.19,-18106.0,-0.027,-0.091,-0.15,pullback,am,s5/eod
pullback|am|s8/eod,1563,41.5,-0.023,-35.5,0.995,-0.07,-15230.0,-0.093,0.112,0.15,pullback,am,s8/eod
pullback|am|s10/eod,1549,44.5,-0.066,-101.9,0.986,-0.2,-23428.0,-0.256,0.302,0.37,pullback,am,s10/eod
pullback|am|trail a6d6 s5,1646,46.0,-0.035,-56.9,0.987,-0.19,-15215.0,-0.018,-0.064,-0.16,pullback,am,trail a6d6 s5
pullback|am|trail a8d8 s8,1593,51.0,-0.037,-58.8,0.989,-0.16,-16552.0,-0.04,-0.032,-0.06,pullback,am,trail a8d8 s8
pullback|am|be6 s5/eod,1620,29.8,-0.085,-137.4,0.969,-0.39,-17792.0,-0.02,-0.204,-0.41,pullback,am,be6 s5/eod
pullback|fh|s5/t8,906,41.9,-0.512,-464.1,0.833,-2.03,-25571.0,-0.427,-0.688,-1.11,pullback,fh,s5/t8
pullback|fh|s5/eod,902,32.3,-0.517,-466.3,0.855,-1.48,-30796.0,-0.551,-0.447,-0.5,pullback,fh,s5/eod
pullback|fh|s8/eod,901,40.0,-0.488,-440.1,0.89,-1.21,-28462.0,-0.429,-0.612,-0.6,pullback,fh,s8/eod
pullback|fh|s10/eod,899,43.2,-0.437,-392.9,0.91,-0.98,-26823.0,-0.513,-0.279,-0.25,pullback,fh,s10/eod
pullback|fh|trail a6d6 s5,905,45.3,-0.31,-280.2,0.89,-1.15,-22152.0,-0.397,-0.132,-0.2,pullback,fh,trail a6d6 s5
pullback|fh|trail a8d8 s8,901,50.3,-0.264,-238.2,0.926,-0.82,-15839.0,-0.2,-0.397,-0.51,pullback,fh,trail a8d8 s8
pullback|fh|be6 s5/eod,904,29.0,-0.354,-320.3,0.877,-1.14,-24055.0,-0.407,-0.247,-0.31,pullback,fh,be6 s5/eod
market|both|s5/t8,2698,43.4,-0.064,-173.9,0.975,-0.52,-19007.0,0.0,-0.176,-0.69,market,both,s5/t8
