config,n,win_pct,avg_pts,tot_pts,pf,t_day,avg_0819,avg_2026,pos_years_pct,side,window,exit,stop,filt
long|both|r9|s1.5atr|none,2953,33.5,-0.111,-329.1,0.937,-0.95,-0.2,0.064,26.0,long,both,r9,1.5,none
long|both|r9|s1.5atr|atr2,1464,37.6,0.043,62.5,1.016,0.19,0.084,0.019,47.0,long,both,r9,1.5,atr2
long|both|r9|s2.5atr|none,2945,34.7,-0.104,-306.0,0.943,-0.86,-0.189,0.066,37.0,long,both,r9,2.5,none
long|both|r9|s2.5atr|atr2,1460,39.0,0.059,85.9,1.022,0.25,0.16,0.001,53.0,long,both,r9,2.5,atr2
long|both|r21|s1.5atr|none,2810,33.4,0.08,224.9,1.037,0.54,-0.102,0.442,47.0,long,both,r21,1.5,none
long|both|r21|s1.5atr|atr2,1402,36.9,0.372,521.9,1.115,1.3,0.306,0.411,63.0,long,both,r21,1.5,atr2
long|both|r21|s2.5atr|none,2757,36.3,0.105,288.2,1.045,0.67,-0.125,0.565,47.0,long,both,r21,2.5,none
long|both|r21|s2.5atr|atr2,1380,40.3,0.437,602.5,1.128,1.44,0.308,0.513,63.0,long,both,r21,2.5,atr2
long|both|r10m21|s1.5atr|none,2624,31.8,0.217,570.0,1.081,1.16,0.066,0.521,47.0,long,both,r10m21,1.5,none
long|both|r10m21|s1.5atr|atr2,1328,32.8,0.506,671.7,1.125,1.41,0.555,0.476,58.0,long,both,r10m21,1.5,atr2
long|both|r10m21|s2.5atr|none,2501,38.6,0.311,778.2,1.101,1.46,0.056,0.836,58.0,long,both,r10m21,2.5,none
long|both|r10m21|s2.5atr|atr2,1271,40.1,0.7,889.3,1.151,1.73,0.587,0.771,74.0,long,both,r10m21,2.5,atr2
long|all|r9|s1.5atr|none,5124,31.7,-0.156,-798.4,0.904,-1.92,-0.309,0.138,26.0,long,all,r9,1.5,none
long|all|r9|s1.5atr|atr2,2314,36.9,0.065,151.5,1.027,0.38,-0.085,0.136,42.0,long,all,r9,1.5,atr2
long|all|r9|s2.5atr|none,5108,32.5,-0.117,-597.4,0.928,-1.41,-0.307,0.247,32.0,long,all,r9,2.5,none
long|all|r9|s2.5atr|atr2,2308,37.8,0.148,340.6,1.059,0.83,-0.064,0.248,47.0,long,all,r9,2.5,atr2
long|all|r21|s1.5atr|none,4647,31.6,0.001,6.0,1.001,0.01,-0.215,0.421,37.0,long,all,r21,1.5,none
long|all|r21|s1.5atr|atr2,2127,36.0,0.335,711.7,1.106,1.47,0.23,0.385,58.0,long,all,r21,1.5,atr2
long|all|r21|s2.5atr|none,4558,34.0,0.042,193.0,1.02,0.37,-0.225,0.563,42.0,long,all,r21,2.5,none
long|all|r21|s2.5atr|atr2,2090,38.9,0.443,925.9,1.133,1.83,0.251,0.537,63.0,long,all,r21,2.5,atr2
long|all|r10m21|s1.5atr|none,3983,29.1,0.101,401.3,1.038,0.68,-0.059,0.412,53.0,long,all,r10m21,1.5,none
long|all|r10m21|s1.5atr|atr2,1878,31.5,0.44,826.8,1.107,1.46,0.525,0.396,63.0,long,all,r10m21,1.5,atr2
long|all|r10m21|s2.5atr|none,3664,35.7,0.191,698.4,1.061,1.05,-0.065,0.701,53.0,long,all,r10m21,2.5,none
long|all|r10m21|s2.5atr|atr2,1750,38.2,0.633,1107.5,1.131,1.72,0.557,0.674,79.0,long,all,r10m21,2.5,atr2
short|both|r9|s1.5atr|none,2153,32.6,-0.245,-527.1,0.897,-1.53,-0.25,-0.234,16.0,short,both,r9,1.5,none
short|both|r9|s1.5atr|atr2,1401,33.8,-0.247,-346.7,0.919,-1.03,-0.254,-0.24,21.0,short,both,r9,1.5,atr2
short|both|r9|s2.5atr|none,2141,34.0,-0.157,-336.2,0.934,-0.94,-0.204,-0.057,26.0,short,both,r9,2.5,none
short|both|r9|s2.5atr|atr2,1394,35.4,-0.14,-194.6,0.954,-0.56,-0.208,-0.066,37.0,short,both,r9,2.5,atr2
short|both|r21|s1.5atr|none,2077,30.0,-0.437,-908.0,0.855,-2.25,-0.304,-0.723,21.0,short,both,r21,1.5,none
short|both|r21|s1.5atr|atr2,1352,30.3,-0.521,-703.8,0.867,-1.79,-0.325,-0.731,21.0,short,both,r21,1.5,atr2
short|both|r21|s2.5atr|none,2037,33.0,-0.346,-705.2,0.89,-1.63,-0.251,-0.552,16.0,short,both,r21,2.5,none
short|both|r21|s2.5atr|atr2,1326,33.2,-0.417,-552.8,0.898,-1.31,-0.251,-0.598,21.0,short,both,r21,2.5,atr2
short|both|r10m21|s1.5atr|none,1956,28.3,-0.18,-351.7,0.951,-0.65,-0.121,-0.306,32.0,short,both,r10m21,1.5,none
short|both|r10m21|s1.5atr|atr2,1275,28.4,-0.14,-178.9,0.971,-0.34,0.026,-0.32,32.0,short,both,r10m21,1.5,atr2
short|both|r10m21|s2.5atr|none,1865,35.4,-0.278,-518.6,0.936,-0.87,-0.053,-0.76,32.0,short,both,r10m21,2.5,none
short|both|r10m21|s2.5atr|atr2,1217,36.4,-0.29,-353.4,0.949,-0.61,0.223,-0.841,47.0,short,both,r10m21,2.5,atr2
short|all|r9|s1.5atr|none,3845,31.1,-0.346,-1330.8,0.843,-3.1,-0.351,-0.336,16.0,short,all,r9,1.5,none
short|all|r9|s1.5atr|atr2,2317,32.7,-0.351,-812.3,0.882,-1.94,-0.339,-0.361,16.0,short,all,r9,1.5,atr2
short|all|r9|s2.5atr|none,3828,32.0,-0.309,-1181.8,0.861,-2.66,-0.32,-0.286,21.0,short,all,r9,2.5,none
short|all|r9|s2.5atr|atr2,2307,33.7,-0.313,-721.5,0.896,-1.66,-0.316,-0.31,21.0,short,all,r9,2.5,atr2
short|all|r21|s1.5atr|none,3584,28.9,-0.422,-1513.8,0.849,-2.97,-0.396,-0.477,26.0,short,all,r21,1.5,none
short|all|r21|s1.5atr|atr2,2161,29.9,-0.466,-1006.9,0.876,-2.03,-0.434,-0.494,26.0,short,all,r21,1.5,atr2
short|all|r21|s2.5atr|none,3506,31.2,-0.404,-1418.1,0.863,-2.61,-0.377,-0.461,21.0,short,all,r21,2.5,none
short|all|r21|s2.5atr|atr2,2112,32.1,-0.448,-947.0,0.888,-1.79,-0.393,-0.497,26.0,short,all,r21,2.5,atr2
short|all|r10m21|s1.5atr|none,3130,25.1,-0.337,-1056.1,0.905,-1.62,-0.302,-0.41,37.0,short,all,r10m21,1.5,none
short|all|r10m21|s1.5atr|atr2,1901,25.8,-0.324,-616.8,0.932,-0.97,-0.224,-0.414,37.0,short,all,r10m21,1.5,atr2
short|all|r10m21|s2.5atr|none,2859,31.9,-0.327,-933.5,0.922,-1.3,-0.168,-0.647,42.0,short,all,r10m21,2.5,none
short|all|r10m21|s2.5atr|atr2,1735,33.6,-0.294,-510.8,0.949,-0.73,0.156,-0.688,47.0,short,all,r10m21,2.5,atr2
