config,n,win_pct,avg_pts,tot_pts,pf,t_day,avg_0819,avg_2026,pos_years_pct,base_avg,edge_vs_base,entry,window,exit,stop
arm|both|r21|s2.5atr|atr2,1380,40.3,0.437,602.5,1.128,1.44,0.308,0.513,63.0,-0.176,0.613,arm,both,r21,2.5
arm|both|r21|s3.5atr|atr2,1378,40.5,0.363,500.0,1.104,1.18,0.255,0.427,58.0,-0.178,0.541,arm,both,r21,3.5
arm|both|r10m21|s2.5atr|atr2,1271,40.1,0.7,889.3,1.151,1.73,0.587,0.771,74.0,-0.008,0.708,arm,both,r10m21,2.5
arm|both|r10m21|s3.5atr|atr2,1259,42.1,0.53,667.7,1.105,1.23,0.507,0.545,74.0,-0.004,0.534,arm,both,r10m21,3.5
arm|both|r10m21x2|s2.5atr|atr2,1250,41.0,0.876,1094.8,1.181,2.04,0.509,1.114,74.0,0.045,0.831,arm,both,r10m21x2,2.5
arm|both|r10m21x2|s3.5atr|atr2,1236,43.4,0.714,882.4,1.136,1.56,0.373,0.935,74.0,0.048,0.666,arm,both,r10m21x2,3.5
arm|all|r21|s2.5atr|atr2,2090,38.9,0.443,925.9,1.133,1.83,0.251,0.537,63.0,-0.182,0.625,arm,all,r21,2.5
arm|all|r21|s3.5atr|atr2,2088,39.0,0.387,807.6,1.114,1.58,0.192,0.482,63.0,-0.182,0.569,arm,all,r21,3.5
arm|all|r10m21|s2.5atr|atr2,1750,38.2,0.633,1107.5,1.131,1.72,0.557,0.674,79.0,-0.02,0.653,arm,all,r10m21,2.5
arm|all|r10m21|s3.5atr|atr2,1723,39.9,0.412,710.4,1.079,1.05,0.532,0.347,74.0,-0.015,0.427,arm,all,r10m21,3.5
arm|all|r10m21x2|s2.5atr|atr2,1702,39.5,0.754,1283.2,1.149,1.93,0.583,0.85,79.0,-0.005,0.759,arm,all,r10m21x2,2.5
arm|all|r10m21x2|s3.5atr|atr2,1667,41.6,0.53,883.8,1.096,1.27,0.518,0.537,74.0,0.009,0.521,arm,all,r10m21x2,3.5
stack|both|r21|s2.5atr|atr2,5200,34.3,0.101,524.1,1.032,0.7,0.049,0.132,58.0,-0.176,0.277,stack,both,r21,2.5
stack|both|r21|s3.5atr|atr2,5147,34.7,0.108,556.6,1.034,0.75,0.052,0.142,53.0,-0.178,0.286,stack,both,r21,3.5
stack|both|r10m21|s2.5atr|atr2,3656,37.3,0.381,1393.9,1.082,1.61,0.342,0.408,74.0,-0.008,0.389,stack,both,r10m21,2.5
stack|both|r10m21|s3.5atr|atr2,3519,38.9,0.38,1337.2,1.078,1.5,0.417,0.355,79.0,-0.004,0.384,stack,both,r10m21,3.5
stack|both|r10m21x2|s2.5atr|atr2,3507,38.7,0.464,1627.0,1.093,1.81,0.34,0.551,74.0,0.045,0.419,stack,both,r10m21x2,2.5
stack|both|r10m21x2|s3.5atr|atr2,3346,40.8,0.44,1471.1,1.083,1.58,0.417,0.456,79.0,0.048,0.392,stack,both,r10m21x2,3.5
stack|all|r21|s2.5atr|atr2,7538,33.3,0.063,471.5,1.021,0.52,-0.03,0.11,63.0,-0.182,0.245,stack,all,r21,2.5
stack|all|r21|s3.5atr|atr2,7475,33.6,0.087,653.3,1.029,0.7,-0.023,0.144,68.0,-0.182,0.269,stack,all,r21,3.5
stack|all|r10m21|s2.5atr|atr2,4487,34.6,0.329,1478.1,1.071,1.46,0.297,0.349,74.0,-0.02,0.349,stack,all,r10m21,2.5
stack|all|r10m21|s3.5atr|atr2,4334,35.9,0.375,1626.9,1.079,1.53,0.371,0.378,68.0,-0.015,0.39,stack,all,r10m21,3.5
stack|all|r10m21x2|s2.5atr|atr2,4172,36.6,0.382,1594.1,1.075,1.52,0.335,0.413,79.0,-0.005,0.387,stack,all,r10m21x2,2.5
stack|all|r10m21x2|s3.5atr|atr2,3985,38.3,0.407,1622.4,1.077,1.47,0.427,0.394,68.0,0.009,0.398,stack,all,r10m21x2,3.5
