signal,exit,n,trades_yr,avg_gross_pts,avg_net_pts,avg_net_usd,win_pct,t_stat,total_net_pts,max_dd_pts,pos_years_pct,net_1st_half,net_2nd_half,avg_bars_held
flat_break,fix1,416,23.1,0.693,0.383,19.13,45.0,2.4,159.2,56.4,50.0,-0.184,0.949,1.0
flat_break,fix3,416,23.1,0.569,0.259,12.96,45.9,1.3,107.8,67.5,56.0,-0.134,0.652,3.0
flat_break,fix5,416,23.1,0.807,0.497,24.83,49.0,1.9,206.6,84.7,44.0,-0.107,1.1,4.9
flat_break,fix10,416,23.1,1.409,1.099,54.94,47.8,2.01,457.1,85.0,56.0,-0.185,2.382,9.7
flat_break,fix20,416,23.1,0.864,0.554,27.7,48.8,0.89,230.5,230.7,61.0,0.131,0.977,18.9
flat_break,eod,416,23.1,1.613,1.303,65.14,49.8,1.33,541.9,243.1,61.0,-0.291,2.897,68.4
flat_break,brk10,416,23.1,1.08,0.77,38.5,20.4,1.15,320.3,135.3,50.0,-0.473,2.013,22.7
flat_break,tp10sl10,416,23.1,0.39,0.08,3.99,54.8,0.42,33.2,65.9,39.0,-0.259,0.419,3.0
flat_break,trail10,416,23.1,0.603,0.293,14.65,38.0,1.46,121.9,57.3,50.0,-0.23,0.817,3.3
aligned_cont,fix1,5614,295.5,0.222,-0.088,-4.42,38.7,-2.16,-496.2,860.6,32.0,-0.197,0.02,1.0
aligned_cont,fix3,5614,295.5,0.293,-0.017,-0.83,42.4,-0.29,-93.6,786.8,32.0,-0.18,0.147,3.0
aligned_cont,fix5,5614,295.5,0.264,-0.046,-2.31,43.7,-0.68,-259.1,1002.3,26.0,-0.237,0.145,4.9
aligned_cont,fix10,5614,295.5,0.275,-0.035,-1.74,44.3,-0.38,-195.4,1095.6,26.0,-0.251,0.182,9.5
aligned_cont,fix20,5614,295.5,0.318,0.008,0.41,46.0,0.06,45.6,1304.1,26.0,-0.296,0.312,18.2
aligned_cont,eod,5614,295.5,0.353,0.043,2.14,49.0,0.16,240.4,1577.3,37.0,-0.257,0.342,56.0
aligned_cont,brk10,5614,295.5,0.575,0.265,13.25,20.0,1.89,1487.3,907.9,37.0,-0.252,0.782,18.6
aligned_cont,tp10sl10,5614,295.5,0.213,-0.097,-4.83,53.6,-2.1,-542.0,819.4,26.0,-0.172,-0.021,2.9
aligned_cont,trail10,5614,295.5,0.168,-0.142,-7.11,31.9,-2.84,-798.8,1185.5,16.0,-0.264,-0.021,2.7
antidrift_fade,fix1,1020,53.7,0.12,-0.19,-9.5,40.9,-2.32,-193.8,258.7,21.0,-0.326,-0.054,1.0
antidrift_fade,fix3,1020,53.7,0.072,-0.238,-11.9,40.1,-2.13,-242.8,344.2,16.0,-0.387,-0.089,3.0
antidrift_fade,fix5,1020,53.7,0.069,-0.241,-12.05,43.0,-1.83,-245.8,291.9,26.0,-0.405,-0.077,4.9
antidrift_fade,fix10,1020,53.7,0.054,-0.256,-12.81,44.2,-1.38,-261.3,335.1,32.0,-0.502,-0.01,9.6
antidrift_fade,fix20,1020,53.7,0.113,-0.197,-9.85,45.9,-0.77,-200.9,382.4,26.0,-0.574,0.18,18.7
antidrift_fade,eod,1020,53.7,0.333,0.023,1.17,47.5,0.05,23.9,673.5,47.0,-1.068,1.114,57.5
antidrift_fade,brk10,1020,53.7,0.027,-0.283,-14.15,16.2,-0.96,-288.7,486.4,26.0,-0.818,0.251,17.8
antidrift_fade,tp10sl10,1020,53.7,0.019,-0.291,-14.54,50.4,-3.03,-296.6,320.3,11.0,-0.35,-0.232,3.0
antidrift_fade,trail10,1020,53.7,0.059,-0.251,-12.55,29.6,-2.43,-256.1,312.6,32.0,-0.432,-0.07,3.1
antidrift_fade_cc,fix1,1805,95.0,0.194,-0.116,-5.82,41.2,-1.75,-210.0,292.5,26.0,-0.198,-0.035,1.0
antidrift_fade_cc,fix3,1805,95.0,0.238,-0.072,-3.62,42.6,-0.78,-130.7,369.4,47.0,-0.19,0.046,3.0
antidrift_fade_cc,fix5,1805,95.0,0.281,-0.029,-1.44,45.2,-0.26,-51.9,437.7,37.0,-0.276,0.218,4.9
antidrift_fade_cc,fix10,1805,95.0,0.415,0.105,5.27,46.5,0.68,190.4,557.0,37.0,-0.341,0.551,9.6
antidrift_fade_cc,fix20,1805,95.0,0.467,0.157,7.85,47.3,0.72,283.2,696.1,32.0,-0.414,0.728,18.6
antidrift_fade_cc,eod,1805,95.0,0.724,0.414,20.72,48.8,1.05,748.0,796.4,47.0,-0.422,1.25,58.6
antidrift_fade_cc,brk10,1805,95.0,0.624,0.314,15.7,19.7,1.32,566.7,465.1,42.0,-0.325,0.952,20.4
antidrift_fade_cc,tp10sl10,1805,95.0,0.217,-0.093,-4.67,54.3,-1.19,-168.6,294.8,37.0,-0.156,-0.031,3.1
antidrift_fade_cc,trail10,1805,95.0,0.231,-0.079,-3.94,33.0,-0.93,-142.3,312.0,32.0,-0.199,0.041,3.1
