date,es_45
2008-01-02,0.275
2008-01-03,0.258
2008-01-07,-0.158
2008-01-08,0.018
2008-01-09,-0.124
2008-01-10,-0.491
2008-01-14,-0.087
2008-01-15,-0.919
2008-01-16,0.091
2008-01-17,0.411
2008-01-22,-0.876
2008-01-23,0.187
2008-01-24,0.554
2008-01-28,-0.258
2008-01-29,-0.11
2008-01-30,-0.646
2008-01-31,0.0
2008-02-04,-0.271
2008-02-05,0.374
2008-02-06,-0.169
2008-02-07,0.075
2008-02-11,-0.186
2008-02-12,0.093
2008-02-13,-0.092
2008-02-19,0.297
2008-02-20,-0.11
2008-02-21,0.093
2008-02-26,0.036
2008-02-27,0.091
2008-02-28,-0.292
2008-03-03,0.131
2008-03-04,0.302
2008-03-05,0.113
2008-03-06,0.326
2008-03-10,-0.097
2008-03-11,0.303
2008-03-12,0.038
2008-03-13,-0.266
2008-03-17,0.254
2008-03-18,0.188
2008-03-24,-0.018
2008-03-25,-0.221
2008-03-26,-0.429
2008-03-27,0.339
2008-03-31,0.038
2008-04-01,-0.11
2008-04-02,-0.164
2008-04-03,0.146
2008-04-07,-0.347
2008-04-08,0.237
2008-04-09,0.203
2008-04-10,0.184
2008-04-14,0.113
2008-04-15,0.355
2008-04-16,0.458
2008-04-17,0.549
2008-04-21,-0.252
2008-04-22,0.235
2008-04-23,-0.525
2008-04-24,-0.45
2008-04-28,0.018
2008-04-29,-0.144
2008-04-30,-0.037
2008-05-01,0.088
2008-05-05,0.088
2008-05-06,0.194
2008-05-07,0.233
2008-05-08,-0.572
2008-05-13,-0.035
2008-05-14,-0.16
2008-05-15,-0.087
2008-05-19,0.105
2008-05-20,0.088
2008-05-21,0.126
2008-05-22,-0.071
2008-05-27,0.0
2008-05-28,-0.108
2008-05-29,0.036
2008-06-02,0.0
2008-06-03,0.018
2008-06-04,-0.018
2008-06-05,0.106
2008-06-09,0.0
2008-06-10,-0.166
2008-06-11,0.075
2008-06-12,0.094
2008-06-16,-0.22
2008-06-17,0.056
2008-06-18,-0.205
2008-06-19,-0.148
2008-06-23,-0.227
2008-06-24,0.0
2008-06-25,-0.283
2008-06-26,0.019
2008-06-30,0.293
2008-07-01,0.098
2008-07-02,0.119
2008-07-07,0.0
2008-07-08,-0.02
2008-07-09,0.02
2008-07-10,0.2
2008-07-14,-0.041
2008-07-15,-0.123
2008-07-16,-0.321
2008-07-17,-0.913
2008-07-21,-0.773
2008-07-22,-0.216
2008-07-23,-0.097
2008-07-24,-0.021
2008-07-28,0.0
2008-07-29,-0.039
2008-07-30,0.136
2008-07-31,0.039
2008-08-04,0.16
2008-08-05,0.02
2008-08-06,-0.135
2008-08-07,0.139
2008-08-11,-0.057
2008-08-12,0.135
2008-08-13,-0.097
2008-08-14,0.174
2008-08-18,0.175
2008-08-19,-0.02
2008-08-20,-0.059
2008-08-21,-0.137
2008-08-25,-0.079
2008-08-26,0.0
2008-08-27,0.0
2008-08-28,-0.116
2008-09-02,-0.039
2008-09-03,0.0
2008-09-04,0.04
2008-09-08,-0.217
2008-09-09,0.02
2008-09-10,0.244
2008-09-11,0.199
2008-09-15,-0.292
2008-09-16,-1.357
2008-09-17,0.474
2008-09-18,-0.186
2008-09-22,0.58
2008-09-23,0.084
2008-09-24,0.189
2008-09-25,-0.37
2008-09-29,-1.392
2008-09-30,-0.745
2008-10-01,0.15
2008-10-02,0.537
2008-10-06,-1.546
2008-10-07,0.424
2008-10-08,-1.443
2008-10-09,-1.087
2008-10-13,0.124
2008-10-14,0.499
2008-10-15,-0.88
2008-10-16,-0.633
2008-10-20,0.202
2008-10-21,-0.157
2008-10-22,0.695
2008-10-23,0.715
2008-10-27,-1.004
2008-10-28,-0.744
2008-10-29,1.25
2008-10-30,0.576
2008-11-03,0.517
2008-11-04,-0.125
2008-11-05,-0.473
2008-11-06,0.497
2008-11-10,0.163
2008-11-11,-0.363
2008-11-12,0.089
2008-11-13,-0.658
2008-11-17,-0.147
2008-11-18,0.787
2008-11-19,0.216
2008-11-20,0.0
2008-11-24,0.059
2008-11-25,-0.497
2008-11-26,-0.084
2008-12-01,-0.091
2008-12-02,-0.059
2008-12-03,-0.173
2008-12-04,0.356
2008-12-08,-0.854
2008-12-09,0.196
2008-12-10,-0.307
2008-12-11,-1.087
2008-12-15,0.431
2008-12-16,-0.109
2008-12-17,0.139
2008-12-18,0.623
2008-12-22,0.432
2008-12-23,-0.03
2008-12-29,0.49
2008-12-30,0.282
2009-01-05,0.0
2009-01-06,-0.402
2009-01-07,0.331
2009-01-08,-0.11
2009-01-12,0.491
2009-01-13,0.028
2009-01-14,-0.328
2009-01-15,0.029
2009-01-20,0.311
2009-01-21,0.269
2009-01-22,0.09
2009-01-26,0.15
2009-01-27,0.119
2009-01-28,0.057
2009-01-29,0.237
2009-02-02,-0.031
2009-02-03,-0.299
2009-02-04,-0.241
2009-02-05,-0.09
2009-02-09,-0.519
2009-02-10,0.242
2009-02-11,0.091
2009-02-12,0.3
2009-02-17,-0.096
2009-02-18,-0.922
2009-02-19,-0.097
2009-02-23,0.202
2009-02-24,-0.259
2009-02-25,-0.36
2009-02-26,0.034
2009-03-02,0.642
2009-03-03,-1.367
2009-03-04,-0.352
2009-03-05,0.624
2009-03-09,-0.148
2009-03-10,0.0
2009-03-11,0.0
2009-03-12,-0.033
2009-03-16,0.365
2009-03-17,0.258
2009-03-18,0.221
2009-03-19,-0.063
2009-03-23,-0.182
2009-03-24,0.0
2009-03-25,0.092
2009-03-26,-0.121
2009-03-30,0.255
2009-03-31,-0.284
2009-04-01,0.342
2009-04-02,0.722
2009-04-06,0.151
2009-04-07,0.185
2009-04-08,0.365
2009-04-13,0.147
2009-04-14,-0.506
2009-04-15,0.089
2009-04-16,-0.32
2009-04-20,0.481
2009-04-21,0.0
2009-04-22,-0.326
2009-04-23,0.147
2009-04-27,-0.204
2009-04-28,-0.177
2009-04-29,-0.086
2009-04-30,-0.345
2009-05-04,-0.194
2009-05-05,0.389
2009-05-06,-0.247
2009-05-07,0.138
2009-05-11,0.027
2009-05-12,0.248
2009-05-13,0.34
2009-05-14,0.028
2009-05-18,-0.028
2009-05-19,-0.275
2009-05-20,-0.028
2009-05-21,0.338
2009-05-26,0.028
2009-05-27,-0.112
2009-05-28,0.027
2009-06-01,-0.45
2009-06-02,-0.212
2009-06-03,-0.108
2009-06-04,0.079
2009-06-08,0.16
2009-06-09,-0.212
2009-06-10,0.186
2009-06-11,-0.265
2009-06-15,-0.055
2009-06-16,0.0
2009-06-17,-0.028
2009-06-18,0.082
2009-06-22,0.113
2009-06-23,0.0
2009-06-24,0.112
2009-06-25,0.0
2009-06-29,-0.163
2009-06-30,-0.027
2009-07-01,0.027
2009-07-02,-0.364
2009-07-06,0.14
2009-07-07,0.229
2009-07-08,-0.057
2009-07-09,0.143
2009-07-13,-0.167
2009-07-14,0.914
2009-07-15,-0.242
2009-07-16,-0.32
2009-07-20,0.025
2009-07-21,0.447
2009-07-22,-0.026
2009-07-23,-0.874
2009-07-27,0.0
2009-07-28,-0.18
2009-07-29,0.257
2009-07-30,-0.101
2009-08-03,0.125
2009-08-04,0.225
2009-08-05,-0.201
2009-08-06,0.0
2009-08-10,0.174
2009-08-11,0.076
2009-08-12,0.075
2009-08-13,0.149
2009-08-17,0.026
2009-08-18,0.127
2009-08-19,0.076
2009-08-20,-0.124
2009-08-24,-0.097
2009-08-25,-0.146
2009-08-26,-0.073
2009-08-27,-0.024
2009-08-31,-0.025
2009-09-01,-0.05
2009-09-02,0.024
2009-09-03,0.025
2009-09-08,-0.171
2009-09-09,-0.048
2009-09-10,-0.168
2009-09-14,-0.096
2009-09-15,-0.311
2009-09-16,-0.048
2009-09-17,0.071
2009-09-21,-0.024
2009-09-22,0.023
2009-09-23,0.166
2009-09-24,-0.144
2009-09-28,0.118
2009-09-29,-0.095
2009-09-30,0.096
2009-10-01,0.245
2009-10-05,0.145
2009-10-06,-0.143
2009-10-07,0.308
2009-10-08,0.283
2009-10-12,-0.14
2009-10-13,0.373
2009-10-14,-0.046
2009-10-15,-0.183
2009-10-19,0.138
2009-10-20,0.024
2009-10-21,-0.093
2009-10-22,0.229
2009-10-26,0.164
2009-10-27,0.212
2009-10-28,-0.121
2009-10-29,-0.118
2009-11-02,0.217
2009-11-03,0.0
2009-11-04,0.312
2009-11-05,0.0
2009-11-09,0.046
2009-11-10,0.229
2009-11-11,-0.046
2009-11-12,0.115
2009-11-16,-0.09
2009-11-17,-0.113
2009-11-18,0.09
2009-11-19,-0.068
2009-11-23,-0.113
2009-11-24,-0.113
2009-11-25,0.0
2009-11-30,-0.092
2009-12-01,0.023
2009-12-02,-0.045
2009-12-03,-0.227
2009-12-07,0.226
2009-12-08,-0.16
2009-12-09,0.114
