,CompressionDrift,RibbonRider,BeatTheMarket,Combined,Combined_eqrisk
2026-01-26,-463.91108442155524,0.0,-734.3000000000001,-1198.2110844215554,-464.4161194332581
2026-01-27,-309.1868454588199,0.0,0.0,-309.1868454588199,-99.02185838610932
2026-01-28,-629.4082340635791,0.0,0.0,-629.4082340635791,-201.5776994910861
2026-01-29,2013.9,0.0,-2568.6000000000004,-554.7000000000003,-459.8387913291623
2026-01-30,-3287.5434141568467,75.0000000000318,0.0,-3212.543414156815,-948.2294630432712
2026-02-02,-270.1862277033597,2019.999999999968,-189.3,1560.5137722966083,2650.808970485155
2026-02-03,489.3300402591551,0.0,3730.7,4220.030040259155,1761.3861283100493
2026-02-04,-1155.3829105195648,0.0,2051.4,896.0170894804353,512.3310304722463
2026-02-05,-597.3901819507573,0.0,0.0,-597.3901819507573,-191.3234242245881
2026-02-06,150.9519181434356,2254.999999999982,2785.7,5191.651918143418,4393.234873672454
2026-02-09,-968.2017596459693,1082.500000000025,-413.6,-299.30175964594434,1022.5684130634279
2026-02-10,658.5967032182853,-424.99999999996817,0.0,233.5967032183171,-382.13083753723976
2026-02-11,-1164.7872157218276,0.0,0.0,-1164.7872157218276,-373.04107991398763
2026-02-12,-1177.1282325993648,0.0,4935.7,3758.571767400635,1745.9788400520888
2026-02-13,-3432.0554850213166,75.0000000000318,0.0,-3357.0554850212848,-994.5116837340956
2026-02-16,0.0,0.0,0.0,0.0,0.0
2026-02-17,-38.999815092019674,0.0,-859.3000000000001,-898.2998150920198,-382.0974639178536
2026-02-18,-985.218197873424,1119.999999999991,315.7,450.48180212656695,1383.1379657189045
2026-02-19,-2221.813714722316,0.0,0.0,-2221.813714722316,-711.5701274194448
2026-02-20,-2818.6222477213323,1472.4999999999543,-6278.6,-7624.722247721378,-1548.5289668356038
2026-02-23,2059.5,0.0,-509.3,1550.2,440.52354333574203
2026-02-24,-942.6527807643303,0.0,-428.6000000000001,-1371.2527807643303,-486.25105279805246
2026-02-25,487.17912284985357,669.9999999999454,-969.3,187.87912284979916,674.0418920851239
2026-02-26,-1054.3572108497692,0.0,2195.7,1141.3427891502306,606.7532346672303
2026-02-27,0.0,0.0,0.0,0.0,0.0
2026-03-02,-799.0752769157058,-1470.748310157403,0.0,-2269.8235870731087,-2308.2385045232995
2026-03-03,6796.4,0.0,0.0,6796.4,2176.6519766928054
2026-03-04,-928.7442182104853,1220.0000000000136,-399.3,-108.04421821047168,1233.2273509364973
2026-03-05,1959.0026267568433,0.0,0.0,1959.0026267568433,627.4008210047498
2026-03-06,-985.6841803994001,0.0,0.0,-985.6841803994001,-315.6805690749783
2026-03-09,-1143.3452477186743,2095.0000000000136,790.6999999999999,1742.3547522813392,2897.34673195092
2026-03-10,-572.6481129691165,-510.00000000000455,0.0,-1082.648112969121,-895.067308459462
