date,net_pts,round_trips,net_usd
2008-01-23,0.0,0,0.0
2008-01-24,-4.745999999999855,1,-237.29999999999274
2008-01-25,0.0,0,0.0
2008-01-28,-5.446000000000128,1,-272.3000000000064
2008-01-29,0.0,0,0.0
2008-01-30,0.0,0,0.0
2008-01-31,0.0,0,0.0
2008-02-01,-0.8260000000000091,1,-41.30000000000045
2008-02-04,0.0,0,0.0
2008-02-05,0.0,0,0.0
2008-02-06,0.0,0,0.0
2008-02-07,0.0,0,0.0
2008-02-08,0.0,0,0.0
2008-02-11,0.0,0,0.0
2008-02-12,-3.1359999999999544,1,-156.7999999999977
2008-02-13,0.0,0,0.0
2008-02-14,-3.2620000000001452,2,-163.10000000000727
2008-02-15,0.0,0,0.0
2008-02-18,4.397999999999937,2,219.89999999999682
2008-02-19,8.693999999999972,1,434.6999999999986
2008-02-20,0.0,0,0.0
2008-02-21,-3.3559999999999817,1,-167.79999999999907
2008-02-22,-17.696000000000126,1,-884.8000000000063
2008-02-25,-2.8960000000001727,1,-144.80000000000862
2008-02-26,0.0,0,0.0
2008-02-27,0.0,0,0.0
2008-02-28,0.0,0,0.0
2008-02-29,15.164,1,758.1999999999999
2008-03-03,-9.845999999999991,1,-492.29999999999956
2008-03-04,0.0,0,0.0
2008-03-05,-2.082000000000082,2,-104.1000000000041
2008-03-06,13.207999999999881,2,660.3999999999941
2008-03-07,0.0,0,0.0
2008-03-10,3.4880000000000817,2,174.4000000000041
2008-03-11,4.753999999999918,1,237.6999999999959
2008-03-12,0.0,0,0.0
2008-03-13,-4.517999999999991,3,-225.89999999999955
2008-03-14,1.1579999999999266,2,57.89999999999633
2008-03-17,0.0,0,0.0
2008-03-18,1.3980000000001631,2,69.90000000000816
2008-03-19,14.683999999999982,1,734.199999999999
2008-03-20,9.248000000000072,2,462.4000000000036
2008-03-24,4.397999999999936,2,219.8999999999968
2008-03-25,0.0,0,0.0
2008-03-26,0.0,0,0.0
2008-03-27,0.0,0,0.0
2008-03-28,0.0,0,0.0
2008-03-31,0.0,0,0.0
2008-04-01,26.24399999999993,1,1312.1999999999964
2008-04-02,0.0,0,0.0
2008-04-03,0.0,0,0.0
2008-04-04,0.0,0,0.0
2008-04-07,0.0,0,0.0
2008-04-08,0.0,0,0.0
2008-04-09,-0.8080000000001819,3,-40.40000000000909
2008-04-10,-1.0460000000000365,1,-52.30000000000182
2008-04-11,-0.586,1,-29.299999999999997
2008-04-14,0.0,0,0.0
2008-04-15,0.0,0,0.0
2008-04-16,9.363999999999818,1,468.1999999999909
2008-04-17,0.0,0,0.0
2008-04-18,0.0,0,0.0
2008-04-21,0.0,0,0.0
2008-04-22,-6.471999999999955,2,-323.59999999999775
2008-04-23,-1.2760000000000546,1,-63.80000000000273
2008-04-24,-2.5319999999996727,2,-126.59999999998364
2008-04-25,-4.285999999999818,1,-214.29999999999092
2008-04-28,0.0,0,0.0
2008-04-29,-1.9659999999998818,1,-98.29999999999409
2008-04-30,-12.147999999999874,3,-607.3999999999937
2008-05-01,20.464000000000183,1,1023.2000000000091
2008-05-02,0.0,0,0.0
2008-05-05,-1.9660000000001092,1,-98.30000000000545
2008-05-06,4.2939999999998815,1,214.69999999999408
2008-05-07,15.47800000000009,2,773.9000000000045
2008-05-08,0.0,0,0.0
2008-05-09,0.0,0,0.0
2008-05-12,4.397999999999937,2,219.89999999999682
2008-05-13,-3.2420000000001634,2,-162.10000000000818
2008-05-14,-1.2879999999999727,3,-64.39999999999864
2008-05-15,5.778000000000045,2,288.90000000000225
2008-05-16,-3.3559999999999817,1,-167.79999999999907
2008-05-19,-3.586,1,-179.29999999999998
2008-05-20,-7.757999999999999,3,-387.9
2008-05-21,2.5480000000002545,2,127.40000000001272
2008-05-22,-0.8160000000000182,1,-40.80000000000091
2008-05-23,6.364000000000045,1,318.20000000000226
2008-05-26,0.0,0,0.0
2008-05-27,5.673999999999991,1,283.69999999999953
2008-05-28,0.0,0,0.0
2008-05-29,0.5839999999998454,1,29.199999999992272
2008-05-30,0.0,0,0.0
2008-06-02,4.0540000000001,1,202.700000000005
2008-06-03,0.0,0,0.0
