date,net_pts,round_trips,net_usd
2008-01-23,0.0,0,0.0
2008-01-24,2.7751401495122665,1,138.75700747561334
2008-01-25,0.0,0,0.0
2008-01-28,3.8139999999998637,1,190.6999999999932
2008-01-29,0.0,0,0.0
2008-01-30,0.0,0,0.0
2008-01-31,0.0,0,0.0
2008-02-01,1.1666748785412564,1,58.33374392706282
2008-02-04,0.0,0,0.0
2008-02-05,0.0,0,0.0
2008-02-06,0.0,0,0.0
2008-02-07,0.0,0,0.0
2008-02-08,0.0,0,0.0
2008-02-11,0.0,0,0.0
2008-02-12,-1.0115554538408433,1,-50.57777269204217
2008-02-13,0.0,0,0.0
2008-02-14,-3.1934973543522776,2,-159.67486771761386
2008-02-15,0.0,0,0.0
2008-02-18,4.294717437178432,2,214.73587185892157
2008-02-19,8.693999999999972,1,434.6999999999986
2008-02-20,0.0,0,0.0
2008-02-21,-1.4931089025314905,1,-74.65544512657452
2008-02-22,-19.493361968009566,2,-974.6680984004784
2008-02-25,-1.5160000000000637,1,-75.80000000000318
2008-02-26,0.0,0,0.0
2008-02-27,0.0,0,0.0
2008-02-28,0.0,0,0.0
2008-02-29,9.945773062150035,2,497.2886531075018
2008-03-03,-2.0937814929481973,1,-104.68907464740987
2008-03-04,0.0,0,0.0
2008-03-05,-2.7019312467454912,2,-135.09656233727455
2008-03-06,10.298446337254555,3,514.9223168627277
2008-03-07,0.0,0,0.0
2008-03-10,1.1533054548106447,3,57.66527274053224
2008-03-11,-4.286000000000046,1,-214.30000000000229
2008-03-12,0.0,0,0.0
2008-03-13,-5.796711368243627,4,-289.8355684121813
2008-03-14,-18.013689941445765,4,-900.6844970722883
2008-03-17,0.0,0,0.0
2008-03-18,9.628421757516005,2,481.42108787580025
2008-03-19,5.344465183711273,3,267.2232591855637
2008-03-20,-1.3618586849663021,5,-68.0929342483151
2008-03-24,4.732612772842256,2,236.63063864211279
2008-03-25,0.0,0,0.0
2008-03-26,0.0,0,0.0
2008-03-27,0.0,0,0.0
2008-03-28,0.0,0,0.0
2008-03-31,0.0,0,0.0
2008-04-01,18.65001500470957,3,932.5007502354784
2008-04-02,0.0,0,0.0
2008-04-03,0.0,0,0.0
2008-04-04,0.0,0,0.0
2008-04-07,0.0,0,0.0
2008-04-08,0.0,0,0.0
2008-04-09,-2.6996707756520024,5,-134.98353878260014
2008-04-10,-2.339748582972081,2,-116.98742914860405
2008-04-11,-0.8160000000000182,1,-40.80000000000091
2008-04-14,0.0,0,0.0
2008-04-15,0.0,0,0.0
2008-04-16,3.63763881483174,4,181.881940741587
2008-04-17,0.0,0,0.0
2008-04-18,0.0,0,0.0
2008-04-21,0.0,0,0.0
2008-04-22,-2.854308378693506,2,-142.71541893467528
2008-04-23,-0.7589535811684854,1,-37.94767905842427
2008-04-24,0.8626095302591039,2,43.1304765129552
2008-04-25,-1.7031403844566613,1,-85.15701922283306
2008-04-28,0.0,0,0.0
2008-04-29,-3.482968383582349,2,-174.14841917911744
2008-04-30,-6.301451630324158,4,-315.0725815162079
2008-05-01,13.48574217098557,3,674.2871085492785
