date,net_pts,round_trips,net_usd
2008-01-23,0.0,0,0.0
2008-01-24,-7.669417334750721,1,-383.470866737536
2008-01-25,0.0,0,0.0
2008-01-28,-9.744259148643993,1,-487.21295743219963
2008-01-29,0.0,0,0.0
2008-01-30,0.0,0,0.0
2008-01-31,0.0,0,0.0
2008-02-01,-2.270696330464703,1,-113.53481652323516
2008-02-04,-6.0000858403625195,2,-300.00429201812597
2008-02-05,0.0,0,0.0
2008-02-06,0.0,0,0.0
2008-02-07,-4.745805301122106,1,-237.29026505610528
2008-02-08,0.0,0,0.0
2008-02-11,-3.3112011335360747,1,-165.56005667680373
2008-02-12,-3.0406278399811852,1,-152.03139199905925
2008-02-13,0.0,0,0.0
2008-02-14,1.3532307894116185,5,67.66153947058092
2008-02-15,-8.84308683740662,2,-442.154341870331
2008-02-18,5.39704417613282,2,269.852208806641
2008-02-19,-0.38253182152196674,1,-19.126591076098336
2008-02-20,0.0,0,0.0
2008-02-21,-2.052895868803931,1,-102.64479344019655
2008-02-22,-14.636937191532512,1,-731.8468595766257
2008-02-25,-12.828192971923247,2,-641.4096485961624
2008-02-26,0.0,0,0.0
2008-02-27,-4.00704701777339,1,-200.3523508886695
2008-02-28,0.0,0,0.0
2008-02-29,15.164,1,758.1999999999999
2008-03-03,-9.845999999999991,1,-492.29999999999956
2008-03-04,-3.586,1,-179.29999999999998
2008-03-05,-3.1883330015925573,2,-159.41665007962786
2008-03-06,15.218535680055108,2,760.9267840027554
2008-03-07,-6.779575801830762,2,-338.9787900915381
2008-03-10,8.406712026505867,3,420.33560132529334
2008-03-11,5.064049685359363,1,253.20248426796815
2008-03-12,-1.3110106609574106,2,-65.55053304787053
2008-03-13,-18.01843238890404,5,-900.9216194452019
2008-03-14,-4.746000000000082,1,-237.3000000000041
2008-03-17,0.0,0,0.0
2008-03-18,7.196882909039282,4,359.8441454519641
2008-03-19,19.157083111926596,2,957.8541555963297
2008-03-20,7.931705664585987,4,396.58528322929936
2008-03-24,4.1679999999999175,2,208.39999999999588
2008-03-25,-3.1893043080944934,1,-159.46521540472466
2008-03-26,0.0,0,0.0
2008-03-27,-3.309591981048912,1,-165.4795990524456
2008-03-28,0.0,0,0.0
2008-03-31,-4.479813690370709,3,-223.99068451853546
2008-04-01,23.43193515679333,1,1171.5967578396665
2008-04-02,0.0,0,0.0
2008-04-03,0.0,0,0.0
2008-04-04,0.0,0,0.0
2008-04-07,0.0,0,0.0
2008-04-08,0.0,0,0.0
2008-04-09,-1.050683413415248,4,-52.53417067076241
2008-04-10,-18.74567322345288,7,-937.283661172644
2008-04-11,-1.802164720172843,2,-90.10823600864215
2008-04-14,-4.493973301923195,3,-224.69866509615977
2008-04-15,-1.1790955779745091,1,-58.95477889872546
2008-04-16,11.817962355360818,1,590.8981177680408
2008-04-17,-2.3507030939240265,1,-117.53515469620133
2008-04-18,0.0,0,0.0
2008-04-21,0.0,0,0.0
2008-04-22,-2.9747828539404577,3,-148.73914269702288
2008-04-23,-13.457046631368662,4,-672.8523315684331
2008-04-24,-2.2731901912490757,3,-113.65950956245379
2008-04-25,-2.2307726971557584,1,-111.53863485778793
2008-04-28,0.0,0,0.0
2008-04-29,-2.8636784089128087,3,-143.18392044564044
2008-04-30,-7.82305555893773,3,-391.1527779468865
2008-05-01,20.464000000000183,1,1023.2000000000091
2008-05-02,0.0,0,0.0
2008-05-05,-5.584356802992223,3,-279.2178401496111
2008-05-06,5.493412676378069,1,274.67063381890347
2008-05-07,16.551931226961454,3,827.5965613480727
2008-05-08,0.0,0,0.0
2008-05-09,0.0,0,0.0
2008-05-12,1.8410575996747918,4,92.05287998373959
2008-05-13,-2.7188996355332367,2,-135.94498177666182
2008-05-14,-4.672980169834014,6,-233.64900849170073
2008-05-15,-0.4994884542212761,7,-24.974422711063802
2008-05-16,-1.4008345952349446,3,-70.04172976174723
2008-05-19,-1.6078849593481992,1,-80.39424796740995
2008-05-20,-11.076586291567903,7,-553.8293145783952
2008-05-21,11.287914087829702,2,564.3957043914851
2008-05-22,-0.8385242082679014,2,-41.92621041339507
2008-05-23,6.364000000000045,1,318.20000000000226
2008-05-26,0.0,0,0.0
2008-05-27,5.673999999999991,1,283.69999999999953
2008-05-28,-0.42750053021039636,1,-21.375026510519817
2008-05-29,0.994002457947785,1,49.70012289738925
2008-05-30,0.0,0,0.0
2008-06-02,4.0540000000001,1,202.700000000005
2008-06-03,0.0,0,0.0
2008-06-04,-4.538426132348807,2,-226.92130661744034
2008-06-05,14.45400000000019,1,722.7000000000095
2008-06-06,26.933157514599557,1,1346.6578757299778
2008-06-09,-0.38620707764560935,1,-19.310353882280467
2008-06-10,0.0,0,0.0
2008-06-11,2.4240000000002184,1,121.20000000001092
2008-06-12,-2.8960000000001727,1,-144.80000000000862
2008-06-13,7.841839322209365,1,392.09196611046826
2008-06-16,0.0,0,0.0
2008-06-17,0.22138399816118545,1,11.069199908059273
2008-06-18,-13.018015768252035,5,-650.9007884126017
2008-06-19,-6.655071254208654,2,-332.7535627104327
2008-06-20,1.7838238966453828,3,89.19119483226913
2008-06-23,0.0,0,0.0
2008-06-24,-12.5422029791168,3,-627.11014895584
2008-06-25,-3.0221411588042244,5,-151.10705794021123
2008-06-26,13.112109152497878,2,655.6054576248939
2008-06-27,-15.946621994693222,3,-797.3310997346612
2008-06-30,-15.205439870895551,3,-760.2719935447776
2008-07-01,0.0,0,0.0
2008-07-02,6.3511185593948145,4,317.5559279697407
2008-07-03,-7.022281885058634,1,-351.1140942529317
2008-07-04,0.0,0,0.0
2008-07-07,-4.506000000000073,1,-225.30000000000365
2008-07-08,-34.432763111079524,3,-1721.6381555539763
2008-07-09,-7.19563167682985,1,-359.7815838414925
2008-07-10,-4.204848923117171,2,-210.24244615585857
2008-07-11,-6.596414489284573,2,-329.82072446422865
2008-07-14,6.957719622731032,1,347.8859811365516
2008-07-15,-3.6919999999999815,2,-184.59999999999908
2008-07-16,18.202745533185208,2,910.1372766592604
2008-07-17,0.0,0,0.0
2008-07-18,-6.924205672368746,2,-346.2102836184373
2008-07-21,0.0,0,0.0
2008-07-22,0.0,0,0.0
2008-07-23,-1.5554083002605112,1,-77.77041501302556
2008-07-24,21.354000000000056,1,1067.7000000000028
2008-07-25,0.0,0,0.0
2008-07-28,7.797217146381891,3,389.8608573190946
2008-07-29,16.734000000000165,1,836.7000000000082
2008-07-30,0.6240714830740144,3,31.20357415370072
2008-07-31,0.0,0,0.0
2008-08-01,-12.931484858930995,6,-646.5742429465497
2008-08-04,-3.4939473748961136,3,-174.6973687448057
2008-08-05,17.0251241900053,2,851.256209500265
2008-08-06,0.0,0,0.0
2008-08-07,-0.5389280214305799,1,-26.946401071528996
2008-08-08,21.124000000000038,1,1056.2000000000019
2008-08-11,-5.916450915377457,2,-295.8225457688728
2008-08-12,-2.607384177374317,2,-130.36920886871584
2008-08-13,-7.608465140423213,5,-380.4232570211607
2008-08-14,-3.236780632867471,4,-161.83903164337354
2008-08-15,0.0,0,0.0
2008-08-18,9.17546267451237,2,458.77313372561855
2008-08-19,-4.189526264881553,2,-209.47631324407766
2008-08-20,-3.4430622617871776,1,-172.15311308935887
2008-08-21,0.0,0,0.0
2008-08-22,-1.6420000000002544,2,-82.10000000001271
2008-08-25,7.0104920700589695,2,350.5246035029485
2008-08-26,-3.34987745172086,2,-167.493872586043
2008-08-27,-7.959684321699734,5,-397.9842160849867
2008-08-28,-3.0701027952354325,3,-153.50513976177163
2008-08-29,-4.612902356739987,5,-230.64511783699936
2008-09-01,0.0,0,0.0
2008-09-02,-3.376179087615115,1,-168.80895438075575
2008-09-03,0.0,0,0.0
2008-09-04,22.54647053419241,1,1127.3235267096204
2008-09-05,-16.112479362668168,1,-805.6239681334084
2008-09-08,0.0,0,0.0
2008-09-09,35.50851022052349,1,1775.4255110261745
2008-09-10,0.0,0,0.0
2008-09-11,-4.505999999999846,1,-225.29999999999228
2008-09-12,-7.044108580844737,1,-352.20542904223686
2008-09-15,-2.437994225027738,1,-121.8997112513869
2008-09-16,0.0,0,0.0
2008-09-17,22.863433683847035,2,1143.1716841923517
2008-09-18,-1.996000000000082,1,-99.80000000000409
2008-09-19,0.0,0,0.0
2008-09-22,22.612581671383435,3,1130.6290835691718
2008-09-23,-15.578022113768801,3,-778.9011056884401
2008-09-24,0.0,0,0.0
2008-09-25,7.216036821040031,2,360.8018410520016
2008-09-26,0.0,0,0.0
2008-09-29,42.414,1,2120.7000000000003
2008-09-30,5.32694378901993,4,266.3471894509965
2008-10-01,-10.248145537022955,3,-512.4072768511478
2008-10-02,22.683999999999983,1,1134.1999999999991
2008-10-03,-3.319740259310909,3,-165.98701296554546
2008-10-06,-0.45200000000008345,2,-22.600000000004172
2008-10-07,40.89735720687058,3,2044.867860343529
2008-10-08,-53.79256529764829,6,-2689.6282648824144
2008-10-09,31.874723334977,6,1593.7361667488499
2008-10-10,-18.553326138007897,4,-927.6663069003948
2008-10-13,40.04922784615854,4,2002.4613923079269
2008-10-14,-38.95214974246296,4,-1947.6074871231478
2008-10-15,54.32744597122554,1,2716.372298561277
2008-10-16,-11.961198848410264,1,-598.0599424205133
2008-10-17,0.6303200542877349,1,31.516002714386744
2008-10-20,-9.423735156874374,1,-471.1867578437187
2008-10-21,0.0,0,0.0
2008-10-22,-17.36991818154747,4,-868.4959090773734
2008-10-23,-21.073833510480352,6,-1053.6916755240177
2008-10-24,0.0,0,0.0
2008-10-27,0.0,0,0.0
2008-10-28,35.29556184210665,2,1764.7780921053325
2008-10-29,-6.839085190846832,1,-341.9542595423416
2008-10-30,0.0,0,0.0
2008-10-31,-17.94330474221629,5,-897.1652371108146
2008-11-03,0.0,0,0.0
2008-11-04,-9.025589789601275,4,-451.2794894800638
2008-11-05,13.651939157745526,5,682.5969578872763
2008-11-06,23.53803729130371,2,1176.9018645651854
2008-11-07,-24.66368296215108,5,-1233.184148107554
2008-11-10,-8.826940493797185,3,-441.34702468985927
2008-11-11,-12.80964788646232,3,-640.4823943231161
2008-11-12,-4.697350992522768,6,-234.8675496261384
2008-11-13,4.857689364199196,5,242.88446820995978
2008-11-14,-7.802370230098366,3,-390.1185115049183
2008-11-17,0.028559992313729715,1,1.4279996156864858
2008-11-18,-16.45959285116617,5,-822.9796425583086
2008-11-19,32.5169480398811,2,1625.847401994055
2008-11-20,-24.41284639752601,6,-1220.6423198763005
2008-11-21,2.9525377764032577,2,147.6268888201629
2008-11-24,18.659797109384524,2,932.9898554692262
2008-11-25,0.0,0,0.0
2008-11-26,11.616796946623733,2,580.8398473311867
2008-11-27,0.0,0,0.0
2008-11-28,0.0,0,0.0
2008-12-01,34.664,1,1733.2
2008-12-02,-6.217412554222366,2,-310.8706277111183
2008-12-03,8.468963570520613,1,423.44817852603063
2008-12-04,0.0,0,0.0
2008-12-05,-4.662983677704663,2,-233.14918388523313
2008-12-08,-1.9652581962740088,1,-98.26290981370043
2008-12-09,0.0,0,0.0
2008-12-10,0.0,0,0.0
2008-12-11,0.0,0,0.0
2008-12-12,0.0,0,0.0
2008-12-15,-4.390165901701683,3,-219.50829508508414
2008-12-16,-2.7398134261065805,1,-136.99067130532902
2008-12-17,-3.859472291863072,1,-192.9736145931536
2008-12-18,0.0,0,0.0
2008-12-19,1.4910791352078958,1,74.5539567603948
2008-12-22,3.6039459224820503,3,180.1972961241025
2008-12-23,0.0,0,0.0
2008-12-24,0.0,0,0.0
2008-12-26,0.0,0,0.0
2008-12-29,-2.7134279171799434,1,-135.67139585899716
2008-12-30,-0.2096328805142648,1,-10.481644025713239
2008-12-31,6.2250665240235445,1,311.25332620117723
2009-01-02,18.001229420121163,1,900.0614710060581
2009-01-05,-7.416000000000041,1,-370.80000000000206
2009-01-06,-12.355999999999982,1,-617.7999999999992
2009-01-07,-0.5773542569656783,1,-28.867712848283915
2009-01-08,-3.143393803652303,1,-157.16969018261514
2009-01-09,-4.116000000000087,1,-205.80000000000433
2009-01-12,13.255721161831628,1,662.7860580915814
2009-01-13,-7.562949973882899,4,-378.147498694145
2009-01-14,3.414,1,170.70000000000002
2009-01-15,-12.105999999999982,1,-605.2999999999992
2009-01-16,-4.041353054592011,2,-202.06765272960055
2009-01-19,-0.15960770236562075,1,-7.9803851182810375
2009-01-20,-5.766000000000064,1,-288.3000000000032
2009-01-21,0.0,0,0.0
2009-01-22,0.0,0,0.0
2009-01-23,0.0,0,0.0
2009-01-26,-6.456000000000005,1,-322.80000000000024
2009-01-27,0.0,0,0.0
2009-01-28,0.0,0,0.0
2009-01-29,0.0,0,0.0
2009-01-30,11.131028745984748,1,556.5514372992374
2009-02-02,0.0,0,0.0
2009-02-03,0.0,0,0.0
2009-02-04,-1.3060905885755318,2,-65.30452942877659
2009-02-05,-8.024837464074341,3,-401.2418732037171
2009-02-06,6.483999999999936,1,324.1999999999968
2009-02-09,-3.3082309045700966,1,-165.41154522850482
2009-02-10,23.625473611125486,1,1181.2736805562743
2009-02-11,0.0,0,0.0
2009-02-12,-19.829762707567596,2,-991.4881353783799
2009-02-13,-2.5892741647319197,1,-129.46370823659598
2009-02-16,1.3802313066507976,1,69.01156533253989
2009-02-17,-6.096266724051791,2,-304.81333620258954
2009-02-18,-3.7309348184656725,2,-186.54674092328364
2009-02-19,0.0,0,0.0
2009-02-20,0.0,0,0.0
2009-02-23,-0.9976489926403801,1,-49.882449632019004
2009-02-24,15.470610351671919,2,773.530517583596
2009-02-25,-2.4560000000000044,1,-122.80000000000022
2009-02-26,0.0,0,0.0
2009-02-27,0.0,0,0.0
2009-03-02,12.053953009549584,2,602.6976504774792
2009-03-03,0.6308681330232403,1,31.543406651162016
2009-03-04,-0.538839301650215,1,-26.941965082510748
2009-03-05,6.696762920712457,1,334.83814603562286
2009-03-06,-6.106154006949724,1,-305.3077003474862
2009-03-09,-4.0918547022727,1,-204.592735113635
2009-03-10,16.613999999999933,1,830.6999999999966
2009-03-11,-0.586,1,-29.299999999999997
2009-03-12,18.822718655326213,2,941.1359327663106
2009-03-13,0.0,0,0.0
2009-03-16,0.0,0,0.0
2009-03-17,6.817949120693862,4,340.8974560346931
2009-03-18,-3.617204785219618,3,-180.8602392609809
2009-03-19,-10.198332637216328,3,-509.91663186081644
2009-03-20,-1.3574790326397934,4,-67.87395163198967
2009-03-23,26.944797184675764,2,1347.2398592337881
2009-03-24,0.0,0,0.0
2009-03-25,-10.862740937214603,4,-543.1370468607302
2009-03-26,0.0,0,0.0
2009-03-27,0.0,0,0.0
2009-03-30,2.6480000000000503,2,132.4000000000025
2009-03-31,-12.511615394317877,3,-625.5807697158939
2009-04-01,3.983410122618972,4,199.1705061309486
2009-04-02,-8.921627761314376,4,-446.0813880657188
2009-04-03,-3.5826113113167564,2,-179.13056556583783
2009-04-06,-6.943528965871854,4,-347.1764482935927
2009-04-07,-5.408284593649556,1,-270.4142296824778
2009-04-08,-0.2682490761519475,1,-13.412453807597375
2009-04-09,0.08465573594312703,2,4.2327867971563515
2009-04-13,0.0,0,0.0
2009-04-14,-5.750669949096568,4,-287.53349745482836
2009-04-15,1.801809487369509,1,90.09047436847545
2009-04-16,-3.805497572435658,2,-190.2748786217829
2009-04-17,-7.221943263338947,2,-361.0971631669473
2009-04-20,14.17399999999999,1,708.6999999999995
2009-04-21,10.335659681017558,1,516.7829840508779
2009-04-22,-2.176123045249672,3,-108.80615226248361
2009-04-23,-5.74012553648706,2,-287.006276824353
2009-04-24,-13.334923635590423,5,-666.7461817795212
2009-04-27,0.0,0,0.0
2009-04-28,0.0,0,0.0
2009-04-29,2.8237468031282136,2,141.18734015641067
2009-04-30,0.0,0,0.0
2009-05-01,-4.643138048723902,2,-232.15690243619508
2009-05-04,2.0340000000000047,1,101.70000000000023
2009-05-05,0.0,0,0.0
2009-05-06,0.0,0,0.0
2009-05-07,-2.279176940542647,4,-113.95884702713235
2009-05-08,-1.8351832085713538,2,-91.75916042856768
2009-05-11,-2.6944541020858295,1,-134.72270510429146
2009-05-12,-13.793047476224665,5,-689.6523738112332
2009-05-13,-10.0346022228511,5,-501.730111142555
2009-05-14,-10.82291776999572,6,-541.145888499786
2009-05-15,-9.230107790262814,5,-461.5053895131407
2009-05-18,0.8225330138911637,7,41.12665069455819
2009-05-19,-10.351226199776509,2,-517.5613099888254
2009-05-20,-1.9148126393797353,2,-95.74063196898676
2009-05-21,-6.198717930569021,2,-309.93589652845105
2009-05-22,-6.210704406837282,1,-310.5352203418641
2009-05-25,0.0,0,0.0
2009-05-26,14.150264063415774,1,707.5132031707886
2009-05-27,0.0,0,0.0
2009-05-28,-1.4225506168753428,1,-71.12753084376713
2009-05-29,0.0,0,0.0
2009-06-01,6.4319980231196165,1,321.59990115598083
2009-06-02,-1.5134463026373497,1,-75.67231513186748
2009-06-03,-4.3011184664633975,3,-215.05592332316988
2009-06-04,0.0,0,0.0
2009-06-05,-3.7741697327418122,1,-188.7084866370906
2009-06-08,-1.3100226569820153,1,-65.50113284910076
2009-06-09,0.0,0,0.0
