date,net_pts,round_trips,net_usd
2008-01-23,0.0,0,0.0
2008-01-24,-10.88502277273066,6,-544.2511386365329
2008-01-25,0.0,0,0.0
2008-01-28,-9.466161352869815,7,-473.30806764349074
2008-01-29,0.0,0,0.0
2008-01-30,0.0,0,0.0
2008-01-31,0.0,0,0.0
2008-02-01,-5.140021451923492,3,-257.0010725961746
2008-02-04,-9.321138647213173,8,-466.05693236065866
2008-02-05,0.0,0,0.0
2008-02-06,0.0,0,0.0
2008-02-07,-3.3418465727631497,3,-167.09232863815748
2008-02-08,0.0,0,0.0
2008-02-11,-3.73762116943404,3,-186.881058471702
2008-02-12,-11.230821156998104,9,-561.5410578499052
2008-02-13,0.0,0,0.0
2008-02-14,-34.016718964805996,30,-1700.8359482402998
2008-02-15,-3.2842883546843114,3,-164.21441773421557
2008-02-18,1.4908975221038272,6,74.54487610519136
2008-02-19,-5.326753642029126,5,-266.3376821014563
2008-02-20,0.0,0,0.0
2008-02-21,-8.572700565857884,8,-428.6350282928942
2008-02-22,-4.377094125300964,5,-218.8547062650482
2008-02-25,-14.833986092417579,11,-741.6993046208789
2008-02-26,0.0,0,0.0
2008-02-27,-2.669631114817068,2,-133.4815557408534
2008-02-28,0.0,0,0.0
2008-02-29,-0.828226937849864,1,-41.4113468924932
2008-03-03,-4.9897814929481425,2,-249.48907464740714
2008-03-04,-2.046870936535217,2,-102.34354682676086
2008-03-05,-15.195631343927808,13,-759.7815671963904
2008-03-06,-13.558485077553163,12,-677.9242538776582
2008-03-07,-14.05801346835219,11,-702.9006734176095
2008-03-10,-16.168759904670644,18,-808.4379952335322
2008-03-11,-7.2145563305324965,5,-360.72781652662485
2008-03-12,-14.814563438919828,14,-740.7281719459914
2008-03-13,-46.400014138226645,34,-2320.000706911332
2008-03-14,-12.61421634983684,1,-630.710817491842
2008-03-17,0.0,0,0.0
2008-03-18,-14.69028458228921,19,-734.5142291144606
2008-03-19,6.249091146100808,10,312.4545573050404
2008-03-20,-27.03558044440793,20,-1351.7790222203964
2008-03-24,0.628239268128078,4,31.4119634064039
2008-03-25,-5.14721211975412,3,-257.360605987706
2008-03-26,0.0,0,0.0
2008-03-27,-6.055307991899262,5,-302.7653995949631
2008-03-28,0.0,0,0.0
2008-03-31,-8.150415774664793,9,-407.52078873323967
2008-04-01,-11.674459229658964,9,-583.7229614829482
2008-04-02,0.0,0,0.0
2008-04-03,0.0,0,0.0
2008-04-04,0.0,0,0.0
2008-04-07,0.0,0,0.0
2008-04-08,0.0,0,0.0
2008-04-09,-13.557934549884484,21,-677.8967274942243
2008-04-10,-27.998630971240416,29,-1399.931548562021
2008-04-11,-18.682801729585368,23,-934.1400864792683
2008-04-14,-7.0369683788657085,9,-351.8484189432854
2008-04-15,-1.1790955779745091,1,-58.95477889872546
2008-04-16,-2.7767652112747148,5,-138.83826056373573
2008-04-17,-1.420703093923963,1,-71.03515469619815
2008-04-18,0.0,0,0.0
2008-04-21,0.0,0,0.0
2008-04-22,-17.82429515260901,18,-891.2147576304505
2008-04-23,-14.307679318056483,15,-715.3839659028241
2008-04-24,-5.923451528885291,7,-296.17257644426456
2008-04-25,-1.6288574833776894,2,-81.44287416888447
2008-04-28,0.0,0,0.0
2008-04-29,-16.182321438906417,21,-809.1160719453209
2008-04-30,-21.678630349913174,19,-1083.9315174956587
2008-05-01,-1.7593770139287446,2,-87.96885069643723
2008-05-02,0.0,0,0.0
2008-05-05,-9.67043544607154,11,-483.521772303577
2008-05-06,-11.710688189316937,15,-585.5344094658468
2008-05-07,-24.266411389054735,25,-1213.3205694527367
2008-05-08,0.0,0,0.0
2008-05-09,0.0,0,0.0
2008-05-12,-13.822084894621584,22,-691.1042447310792
2008-05-13,-20.58784650114258,21,-1029.392325057129
2008-05-14,-34.3999281366768,39,-1719.99640683384
2008-05-15,-25.678746668201597,26,-1283.9373334100799
2008-05-16,-11.905853901770811,17,-595.2926950885405
2008-05-19,-4.648774249999102,6,-232.4387124999551
2008-05-20,-38.33865027312403,41,-1916.9325136562015
2008-05-21,3.978954666573296,12,198.9477333286648
2008-05-22,-19.051256116578777,17,-952.5628058289388
2008-05-23,-13.683045212953491,11,-684.1522606476746
2008-05-26,0.0,0,0.0
2008-05-27,-10.77467198313626,10,-538.733599156813
2008-05-28,-5.127795674834425,5,-256.38978374172126
2008-05-29,-3.9207422726291896,4,-196.03711363145948
2008-05-30,0.0,0,0.0
2008-06-02,4.0540000000001,1,202.700000000005
2008-06-03,0.0,0,0.0
2008-06-04,-16.621065285796803,10,-831.0532642898402
2008-06-05,12.885966738988854,2,644.2983369494427
2008-06-06,26.933157514599557,1,1346.6578757299778
2008-06-09,-4.938996061066468,4,-246.9498030533234
2008-06-10,0.0,0,0.0
2008-06-11,3.12648084343506,1,156.324042171753
2008-06-12,-4.95304226792171,5,-247.6521133960855
2008-06-13,-7.091705721639906,6,-354.5852860819953
2008-06-16,0.0,0,0.0
2008-06-17,-2.418064804334297,3,-120.90324021671486
2008-06-18,-7.165662214037083,8,-358.2831107018542
2008-06-19,-17.839210816029762,10,-891.9605408014882
2008-06-20,-22.759166737427844,22,-1137.9583368713922
2008-06-23,0.0,0,0.0
2008-06-24,-13.939958393460403,10,-696.9979196730202
2008-06-25,-32.574308830135415,30,-1628.7154415067707
2008-06-26,-5.431330805253475,5,-271.56654026267375
2008-06-27,-21.42999868416923,21,-1071.4999342084616
2008-06-30,-37.516887799997164,38,-1875.8443899998583
2008-07-01,0.0,0,0.0
2008-07-02,-23.28817890056251,22,-1164.4089450281256
2008-07-03,-9.095941205034174,6,-454.79706025170873
2008-07-04,0.0,0,0.0
2008-07-07,-3.1593002507665657,2,-157.9650125383283
2008-07-08,-8.539219951822524,5,-426.9609975911262
2008-07-09,-4.53227077531479,3,-226.6135387657395
2008-07-10,-9.077957448757084,6,-453.89787243785423
2008-07-11,-25.194592461166657,15,-1259.729623058333
2008-07-14,-5.482604108104801,4,-274.13020540524
2008-07-15,-0.8014954729792152,2,-40.07477364896076
2008-07-16,7.405493305918439,11,370.2746652959219
2008-07-17,0.0,0,0.0
2008-07-18,-17.271616865004326,13,-863.5808432502163
2008-07-21,0.0,0,0.0
2008-07-22,0.0,0,0.0
2008-07-23,-3.068710540948776,3,-153.4355270474388
2008-07-24,21.354000000000056,1,1067.7000000000028
2008-07-25,0.0,0,0.0
2008-07-28,2.9022706111437504,8,145.11353055718752
2008-07-29,0.037342963183404215,1,1.8671481591702108
2008-07-30,-23.1292612638617,20,-1156.463063193085
2008-07-31,0.0,0,0.0
2008-08-01,-45.351487092630705,41,-2267.5743546315352
2008-08-04,-14.807683171954787,15,-740.3841585977393
2008-08-05,-14.320498989802724,14,-716.0249494901362
2008-08-06,0.0,0,0.0
2008-08-07,-0.45492802143073463,2,-22.74640107153673
2008-08-08,0.11400000000004548,1,5.700000000002274
2008-08-11,-1.9853927478688367,5,-99.26963739344184
2008-08-12,-15.383048239972647,14,-769.1524119986324
2008-08-13,-17.120197798120216,18,-856.0098899060108
2008-08-14,-19.930302628262485,23,-996.5151314131242
2008-08-15,0.0,0,0.0
2008-08-18,-0.5378725601620999,9,-26.893628008104997
2008-08-19,-2.7244655326255214,4,-136.22327663127606
2008-08-20,-0.8705675975856794,2,-43.52837987928397
2008-08-21,0.0,0,0.0
2008-08-22,-9.093791593774869,10,-454.68957968874344
2008-08-25,-2.838018265243767,4,-141.90091326218834
2008-08-26,-5.68133763437293,5,-284.0668817186465
2008-08-27,-19.95302507239596,23,-997.651253619798
2008-08-28,-5.009733205587887,6,-250.48666027939436
2008-08-29,-17.95317896089793,20,-897.6589480448965
2008-09-01,0.0,0,0.0
2008-09-02,-4.355357421216417,4,-217.76787106082085
2008-09-03,0.0,0,0.0
2008-09-04,22.54647053419241,1,1127.3235267096204
2008-09-05,-7.199816822084282,6,-359.9908411042141
2008-09-08,0.0,0,0.0
2008-09-09,-1.7156859878891484,2,-85.78429939445742
2008-09-10,0.0,0,0.0
2008-09-11,-1.5059999999998455,1,-75.29999999999227
2008-09-12,-3.914238312170899,3,-195.71191560854496
2008-09-15,-5.1759269305002436,3,-258.79634652501215
2008-09-16,0.0,0,0.0
2008-09-17,-9.190272844324378,6,-459.5136422162189
2008-09-18,-6.039892546950757,3,-301.99462734753786
2008-09-19,0.0,0,0.0
2008-09-22,-24.683650912038935,19,-1234.1825456019467
2008-09-23,-27.92006724641212,19,-1396.0033623206061
2008-09-24,0.0,0,0.0
2008-09-25,-14.743535873859196,16,-737.1767936929598
2008-09-26,0.0,0,0.0
2008-09-29,-2.3415423638186765,1,-117.07711819093383
2008-09-30,-8.215709197859463,20,-410.7854598929731
2008-10-01,-22.68052183861071,19,-1134.0260919305354
2008-10-02,-3.977374113770767,2,-198.86870568853837
2008-10-03,-30.94702675471286,17,-1547.351337735643
2008-10-06,-12.044679233971642,4,-602.2339616985821
2008-10-07,-35.28327678705939,20,-1764.1638393529697
2008-10-08,-56.734257657568605,25,-2836.7128828784303
2008-10-09,-61.27406652967821,31,-3063.7033264839106
2008-10-10,-48.616056856267846,17,-2430.802842813392
2008-10-13,-51.06878062412165,37,-2553.4390312060827
2008-10-14,-31.160208371619547,17,-1558.0104185809773
2008-10-15,-28.205929906083057,16,-1410.2964953041528
2008-10-16,-42.801674856166905,14,-2140.083742808345
2008-10-17,-13.410747558546191,8,-670.5373779273095
2008-10-20,-5.299735156874338,2,-264.9867578437169
2008-10-21,0.0,0,0.0
2008-10-22,-27.152162836145777,15,-1357.6081418072888
2008-10-23,-54.56641993820865,29,-2728.3209969104323
2008-10-24,0.0,0,0.0
2008-10-27,0.0,0,0.0
2008-10-28,-2.4058527036436943,4,-120.29263518218471
2008-10-29,-10.123959821932052,3,-506.1979910966026
2008-10-30,0.0,0,0.0
2008-10-31,-39.22291514606,27,-1961.1457573029998
2008-11-03,0.0,0,0.0
2008-11-04,-17.02441729755872,14,-851.220864877936
2008-11-05,-27.36345579969265,21,-1368.1727899846326
2008-11-06,-5.500507907027731,4,-275.0253953513865
2008-11-07,-26.716554821536626,19,-1335.8277410768312
2008-11-10,-37.188909337787784,25,-1859.4454668893893
2008-11-11,-25.090938921055102,18,-1254.5469460527552
2008-11-12,-41.75522632978474,31,-2087.761316489237
2008-11-13,-29.86549011648445,18,-1493.2745058242226
2008-11-14,-25.481207744470687,17,-1274.0603872235345
2008-11-17,-17.51968685174481,11,-875.9843425872406
2008-11-18,-42.08723349054045,28,-2104.3616745270224
2008-11-19,-7.360446640151672,5,-368.0223320075836
2008-11-20,-36.88878662092834,20,-1844.4393310464172
2008-11-21,-16.444620175589886,8,-822.2310087794943
2008-11-24,-12.766139744696792,12,-638.3069872348397
2008-11-25,0.0,0,0.0
2008-11-26,-3.865266835727602,4,-193.2633417863801
2008-11-27,0.0,0,0.0
2008-11-28,0.0,0,0.0
2008-12-01,34.664,1,1733.2
