vm,lb,label,days,avg_bps,gross_bps,avg_usd,sd_usd,t_stat,sharpe,hit_traded,pct_days_traded,avg_rts
1.0,14,full,4642,1.28,3.6,15.8,680.4,1.82,0.42,0.394,0.566,0.83
1.0,14,2016-21,1547,0.64,2.28,16.4,648.0,0.6,0.24,0.375,0.567,0.84
1.0,14,2022+,1047,1.6,2.57,32.6,1109.1,1.19,0.58,0.447,0.575,0.86
1.0,14,post-pub,447,-0.8,-0.02,-28.9,1092.6,-0.45,-0.34,0.435,0.535,0.81
1.0,90,full,4566,1.88,3.44,17.3,753.9,2.48,0.58,0.396,0.467,0.59
1.0,90,2016-21,1547,0.47,1.72,9.1,692.7,0.41,0.17,0.386,0.477,0.64
1.0,90,2022+,1047,1.68,2.42,35.3,1250.3,1.11,0.54,0.417,0.497,0.65
1.0,90,post-pub,447,0.97,1.59,18.2,1393.7,0.41,0.31,0.41,0.47,0.64
1.5,14,full,4642,1.01,2.42,9.7,564.5,1.87,0.43,0.411,0.362,0.5
1.5,14,2016-21,1547,0.71,1.65,14.2,552.4,0.78,0.31,0.421,0.352,0.48
1.5,14,2022+,1047,0.52,1.12,6.9,923.6,0.47,0.23,0.429,0.378,0.54
1.5,14,post-pub,447,-0.29,0.19,-18.3,993.6,-0.18,-0.14,0.401,0.351,0.51
1.5,90,full,4566,1.53,2.42,15.2,642.6,2.44,0.57,0.411,0.286,0.35
1.5,90,2016-21,1547,1.11,1.86,17.0,556.5,1.17,0.47,0.41,0.31,0.39
1.5,90,2022+,1047,1.0,1.44,20.4,1100.8,0.74,0.37,0.44,0.302,0.39
1.5,90,post-pub,447,1.81,2.18,39.5,1295.5,0.79,0.6,0.433,0.284,0.38
2.0,14,full,4642,0.06,0.91,-1.2,445.3,0.15,0.03,0.403,0.229,0.32
2.0,14,2016-21,1547,-0.3,0.37,-3.0,455.4,-0.4,-0.16,0.392,0.248,0.35
2.0,14,2022+,1047,-0.36,0.0,-9.9,720.4,-0.42,-0.21,0.399,0.246,0.33
2.0,14,post-pub,447,0.17,0.47,-0.5,827.2,0.13,0.09,0.412,0.228,0.3
2.0,90,full,4566,1.05,1.57,6.0,462.8,2.15,0.5,0.413,0.175,0.21
2.0,90,2016-21,1547,1.1,1.57,15.5,468.2,1.39,0.56,0.434,0.2,0.24
2.0,90,2022+,1047,-0.63,-0.36,-17.8,726.7,-0.72,-0.35,0.377,0.195,0.24
2.0,90,post-pub,447,-0.61,-0.38,-20.0,711.8,-0.53,-0.4,0.398,0.197,0.24
