date,net_pts,net_usd,gross_pts,round_trips,open,close,ret_frac,half_day
2008-01-23,0.0,0.0,0.0,0,1179.28,1241.06,0.0,False
2008-01-24,0.0,0.0,0.0,0,1244.77,1252.17,0.0,False
2008-01-25,0.0,0.0,0.0,0,1266.06,1233.43,0.0,False
2008-01-28,0.0,0.0,0.0,0,1235.74,1255.41,0.0,False
2008-01-29,0.0,0.0,0.0,0,1262.12,1261.66,0.0,False
2008-01-30,0.0,0.0,0.0,0,1256.57,1254.49,0.0,False
2008-01-31,0.0,0.0,0.0,0,1236.2,1272.07,0.0,False
2008-02-01,0.0,0.0,0.0,0,1278.09,1292.67,0.0,False
2008-02-04,0.0,0.0,0.0,0,1290.12,1278.78,0.0,False
2008-02-05,0.0,0.0,0.0,0,1258.42,1238.98,0.0,False
2008-02-06,0.0,0.0,0.0,0,1246.16,1229.26,0.0,False
2008-02-07,0.0,0.0,0.0,0,1223.01,1238.75,0.0,False
2008-02-08,0.0,0.0,0.0,0,1233.43,1232.5,0.0,False
2008-02-11,0.0,0.0,0.0,0,1232.04,1239.44,0.0,False
2008-02-12,-3.1359999999999544,-156.7999999999977,-2.5499999999999545,1,1248.7,1249.16,-0.00251141186834304,False
2008-02-13,0.0,0.0,0.0,0,1259.11,1264.9,0.0,False
2008-02-14,-3.2620000000001452,-163.10000000000727,-2.0900000000001455,2,1267.21,1249.16,-0.002574158979174837,False
2008-02-15,0.0,0.0,0.0,0,1244.77,1249.63,0.0,False
2008-02-18,2.6540000000000092,132.70000000000047,3.240000000000009,1,1255.64,1266.29,0.0021136631518588202,True
2008-02-19,8.443999999999972,422.1999999999986,9.029999999999973,1,1264.44,1249.16,0.006678055107399301,False
2008-02-20,0.0,0.0,0.0,0,1239.21,1259.11,0.0,False
2008-02-21,-3.3559999999999817,-167.79999999999907,-2.769999999999982,1,1263.97,1243.84,-0.0026551263083775577,False
2008-02-22,-17.946000000000126,-897.3000000000063,-17.360000000000127,1,1248.24,1255.18,-0.01437704287637003,False
2008-02-25,-13.662000000000237,-683.1000000000118,-12.490000000000236,2,1253.33,1269.99,-0.01090056090574728,False
2008-02-26,0.0,0.0,0.0,0,1264.21,1279.25,0.0,False
2008-02-27,0.0,0.0,0.0,0,1271.84,1277.16,0.0,False
2008-02-28,0.0,0.0,0.0,0,1268.6,1266.29,0.0,False
2008-02-29,14.914,745.6999999999999,15.5,1,1253.1,1233.43,0.011901683824116192,False
2008-03-03,-9.845999999999991,-492.29999999999956,-9.259999999999991,1,1230.19,1232.97,-0.008003641713881588,False
2008-03-04,0.0,0.0,0.0,0,1221.63,1228.11,0.0,False
2008-03-05,-1.5160000000000635,-75.80000000000318,-0.9300000000000636,1,1232.5,1234.82,-0.0012300202839757109,False
