p_pass,p_blow,p_neither,med_days_to_resolve,avg_final_pnl,spec,mode,dd,policy
0.3534,0.62475,0.021850000000000036,1.0,733.1194385574341,base,intraday,2500,fixed12
0.3557,0.62325,0.021050000000000013,1.0,740.6152437042236,base,intraday,2500,fixed15
0.35875,0.6202,0.021050000000000013,1.0,511.4099910583496,base,intraday,2500,fixed20
0.3099,0.668,0.022099999999999898,1.0,521.261010055542,base,intraday,2500,cushion/250
0.37495,0.6032,0.021850000000000036,1.0,606.7948384613037,base,intraday,3000,fixed12
0.38585,0.59265,0.021499999999999964,1.0,742.1229719238281,base,intraday,3000,fixed15
0.40435,0.5746,0.021050000000000013,1.0,693.5149903930665,base,intraday,3000,fixed20
0.37445,0.6035,0.022050000000000014,1.0,604.7486686477661,base,intraday,3000,cushion/250
0.45995,0.5172,0.022849999999999926,1.0,817.3477462833405,base,intraday,4000,fixed12
0.4471,0.5314,0.021499999999999964,1.0,680.4440249252319,base,intraday,4000,fixed15
0.48435,0.49415,0.021499999999999964,1.0,970.593275402832,base,intraday,4000,fixed20
0.4281,0.5502,0.021700000000000053,1.0,605.6941264953613,base,intraday,4000,cushion/250
0.5165,0.45715,0.02635000000000004,1.0,894.9946914024353,base,intraday,5000,fixed12
0.4981,0.4795,0.02240000000000003,1.0,744.4856932678223,base,intraday,5000,fixed15
0.51055,0.46795,0.021500000000000075,1.0,777.0106777648925,base,intraday,5000,fixed20
0.5104,0.4679,0.021700000000000053,1.0,778.1391579483033,base,intraday,5000,cushion/250
0.70695,0.26275,0.03030000000000005,1.0,524.5697441947937,base,eod,2500,fixed12
0.73285,0.24065,0.026499999999999996,1.0,550.114187902832,base,eod,2500,fixed15
0.7738,0.20225,0.023949999999999944,1.0,780.250000919342,base,eod,2500,fixed20
0.68075,0.27775,0.04150000000000004,2.0,682.1447146289826,base,eod,2500,cushion/250
0.71195,0.25645,0.03160000000000002,1.0,540.7753242618561,base,eod,3000,fixed12
0.737,0.2349,0.028100000000000014,1.0,559.538838104248,base,eod,3000,fixed15
0.77815,0.197,0.024849999999999983,1.0,780.8214012672424,base,eod,3000,fixed20
0.6993,0.2627,0.03799999999999998,1.0,503.5084425617218,base,eod,3000,cushion/250
0.72395,0.24075,0.035300000000000026,2.0,544.8940234592437,base,eod,4000,fixed12
0.74805,0.2211,0.030850000000000016,1.0,598.2158879516602,base,eod,4000,fixed15
0.785,0.1883,0.026699999999999974,1.0,789.8765019699097,base,eod,4000,fixed20
0.74025,0.22485,0.03490000000000004,1.0,767.1598065872192,base,eod,4000,cushion/250
0.7295,0.2325,0.03799999999999995,2.0,541.9496418502807,base,eod,5000,fixed12
