p_pass,p_blow,p_neither,med_days_to_resolve,avg_final_pnl,phase,dd,mode,policy,pnl_per_10d
0.04445,0.37825,0.5773,5.0,10.437012179648876,eval5d,2000,intraday,fixed1,
0.09525,0.57605,0.3287,4.0,52.142688504815105,eval5d,2000,intraday,fixed2,
0.10305,0.67285,0.22410000000000008,3.0,-37.63418333835602,eval5d,2000,intraday,fixed3,
0.1594,0.6552,0.1854,3.0,165.31500325469972,eval5d,2000,intraday,fixed5,
0.1684,0.65935,0.17225000000000001,2.0,29.96832845954895,eval5d,2000,intraday,fixed8,
0.213,0.62265,0.16435,2.0,152.07331145019532,eval5d,2000,intraday,fixed12,
0.22755,0.60575,0.16669999999999996,2.0,82.29262632827759,eval5d,2000,intraday,fixed15,
0.25685,0.5792,0.16394999999999993,2.0,102.64649915771484,eval5d,2000,intraday,fixed20,
0.1744,0.6585,0.16710000000000003,2.0,56.29068328781128,eval5d,2000,intraday,cushion/250,
0.1559,0.6627,0.1814,3.0,126.99052404327392,eval5d,2000,intraday,cushion/400,
0.1008,0.64965,0.24955000000000005,3.0,-8.000843941783906,eval5d,2000,intraday,cushion/600,
0.08435,0.5429,0.3727499999999999,4.0,28.941948916578294,eval5d,2000,intraday,cushion/1000,
0.067,0.11655,0.81645,5.0,94.5862880999267,eval5d,2000,eod,fixed1,
0.1917,0.2485,0.5598000000000001,5.0,96.40438853119612,eval5d,2000,eod,fixed2,
0.30115,0.30835,0.39049999999999996,4.0,9.869884279537201,eval5d,2000,eod,fixed3,
0.43835,0.2996,0.26205,3.0,401.9048333709717,eval5d,2000,eod,fixed5,
0.51315,0.2829,0.20395000000000002,3.0,274.37102606706617,eval5d,2000,eod,fixed8,
0.56395,0.2575,0.17855000000000004,3.0,286.1175180057526,eval5d,2000,eod,fixed12,
0.5855,0.2389,0.17559999999999998,2.0,122.14311366271973,eval5d,2000,eod,fixed15,
0.6267,0.20475,0.16854999999999998,2.0,383.0127865966797,eval5d,2000,eod,fixed20,
0.5123,0.2821,0.2056,3.0,349.5558310979843,eval5d,2000,eod,cushion/250,
0.4184,0.3134,0.2682,3.0,342.73302289123535,eval5d,2000,eod,cushion/400,
0.277,0.29705,0.42595,5.0,-9.105879464054107,eval5d,2000,eod,cushion/600,
0.1693,0.2306,0.6001,5.0,67.49339235061407,eval5d,2000,eod,cushion/1000,
0.05235,0.24815,0.6995,5.0,42.27937021474242,eval5d,2500,intraday,fixed1,
0.12725,0.47515,0.3976,4.0,94.02733769452571,eval5d,2500,intraday,fixed2,
0.14325,0.5944,0.26234999999999997,3.0,-57.80587081727982,eval5d,2500,intraday,fixed3,
0.20235,0.60045,0.19719999999999993,3.0,144.05389934768678,eval5d,2500,intraday,fixed5,
0.2162,0.60675,0.17705000000000004,2.0,97.495886901474,eval5d,2500,intraday,fixed8,
0.2435,0.58835,0.1681499999999999,2.0,171.05677381896973,eval5d,2500,intraday,fixed12,
0.2676,0.5657,0.16669999999999996,2.0,203.00400234375,eval5d,2500,intraday,fixed15,
0.2763,0.55975,0.16395000000000004,2.0,99.12249722290039,eval5d,2500,intraday,fixed20,
0.22075,0.61235,0.16690000000000005,2.0,61.66638611602783,eval5d,2500,intraday,cushion/250,
0.21015,0.60745,0.1823999999999999,3.0,166.94973219833375,eval5d,2500,intraday,cushion/400,
0.1672,0.59725,0.23555000000000004,3.0,55.488449237966535,eval5d,2500,intraday,cushion/600,
0.11265,0.43125,0.45609999999999995,5.0,63.05693425412178,eval5d,2500,intraday,cushion/1000,
0.06775,0.077,0.8552500000000001,5.0,96.4166624668479,eval5d,2500,eod,fixed1,
0.19495,0.19795,0.6071000000000001,5.0,97.40162790403366,eval5d,2500,eod,fixed2,
0.3059,0.25875,0.43534999999999996,5.0,5.689339942932129,eval5d,2500,eod,fixed3,
0.44485,0.2731,0.28205,3.0,412.3712579559326,eval5d,2500,eod,fixed5,
0.51555,0.2753,0.20915000000000006,3.0,275.2627861489296,eval5d,2500,eod,fixed8,
0.5678,0.24875,0.18345000000000003,3.0,296.2082579715729,eval5d,2500,eod,fixed12,
0.5875,0.2342,0.1783,2.0,120.44833876342773,eval5d,2500,eod,fixed15,
0.62775,0.20235,0.16989999999999997,2.0,389.97998647460935,eval5d,2500,eod,fixed20,
0.54045,0.2621,0.19745000000000001,3.0,168.40214226684571,eval5d,2500,eod,cushion/250,
0.46035,0.27895,0.2607,3.0,346.38223332042696,eval5d,2500,eod,cushion/400,
0.38505,0.25005,0.3649,4.0,416.0481283855438,eval5d,2500,eod,cushion/600,
0.17625,0.1793,0.64445,5.0,75.90441067068576,eval5d,2500,eod,cushion/1000,
0.0624,0.16305,0.77455,5.0,84.44999867477416,eval5d,3000,intraday,fixed1,
0.14115,0.41985,0.439,5.0,63.67998656585217,eval5d,3000,intraday,fixed2,
0.1877,0.5137,0.2986,3.0,-1.994561004638672,eval5d,3000,intraday,fixed3,
0.23165,0.55655,0.2118,3.0,115.17695168380737,eval5d,3000,intraday,fixed5,
0.2685,0.54905,0.18245,3.0,234.46552388343812,eval5d,3000,intraday,fixed8,
0.2779,0.5526,0.16949999999999998,2.0,135.93241065826416,eval5d,3000,intraday,fixed12,
0.2949,0.5371,0.16800000000000004,2.0,208.5438811454773,eval5d,3000,intraday,fixed15,
0.2999,0.53615,0.16394999999999993,2.0,116.8295036682129,eval5d,3000,intraday,fixed20,
0.27305,0.56005,0.16689999999999994,2.0,89.760482497406,eval5d,3000,intraday,cushion/250,
0.26445,0.55165,0.18389999999999995,3.0,194.20714609146117,eval5d,3000,intraday,cushion/400,
0.2254,0.54985,0.22475,3.0,103.34693088645935,eval5d,3000,intraday,cushion/600,
0.17515,0.471,0.35385,4.0,10.073950636386872,eval5d,3000,intraday,cushion/1000,
0.06785,0.058,0.87415,5.0,97.81279202920199,eval5d,3000,eod,fixed1,
0.1956,0.1638,0.6406000000000001,5.0,89.02456771322488,eval5d,3000,eod,fixed2,
0.3099,0.2294,0.46069999999999994,5.0,16.940405243015288,eval5d,3000,eod,fixed3,
0.4513,0.2482,0.3005,3.0,406.5205083190918,eval5d,3000,eod,fixed5,
0.5208,0.2607,0.21849999999999997,3.0,285.82434503011706,eval5d,3000,eod,fixed8,
0.57015,0.24235,0.18749999999999994,3.0,296.2800180458069,eval5d,3000,eod,fixed12,
0.59045,0.22765,0.18189999999999998,3.0,124.0972389831543,eval5d,3000,eod,fixed15,
0.6287,0.20035,0.17094999999999996,2.0,392.9021864746094,eval5d,3000,eod,fixed20,
0.5609,0.2491,0.19000000000000006,3.0,212.09564109840392,eval5d,3000,eod,cushion/250,
0.4933,0.25925,0.24744999999999995,3.0,360.46977578668594,eval5d,3000,eod,cushion/400,
0.4257,0.2418,0.3325,4.0,352.5204598497391,eval5d,3000,eod,cushion/600,
0.28015,0.19965,0.5202,5.0,39.967916477489474,eval5d,3000,eod,cushion/1000,
0.06295,0.0746,0.8624499999999999,5.0,115.11481085697413,eval5d,4000,intraday,fixed1,
0.1619,0.31905,0.51905,5.0,-29.31635331505537,eval5d,4000,intraday,fixed2,
0.2414,0.38735,0.3712499999999999,4.0,93.42546680488586,eval5d,4000,intraday,fixed3,
0.27405,0.48125,0.24469999999999997,3.0,-7.706796616363525,eval5d,4000,intraday,fixed5,
0.34065,0.46665,0.19269999999999998,3.0,212.00448136177064,eval5d,4000,intraday,fixed8,
0.34745,0.48,0.17254999999999998,2.0,279.83887187576295,eval5d,4000,intraday,fixed12,
0.34355,0.4862,0.17024999999999996,2.0,202.692751335907,eval5d,4000,intraday,fixed15,
0.35255,0.48205,0.1654000000000001,2.0,200.66519151000978,eval5d,4000,intraday,fixed20,
0.3466,0.4879,0.16549999999999998,2.0,145.40933290481567,eval5d,4000,intraday,cushion/250,
0.33615,0.4849,0.17895000000000005,3.0,210.41682060699463,eval5d,4000,intraday,cushion/400,
0.2922,0.4697,0.23809999999999998,3.0,83.0950898694992,eval5d,4000,intraday,cushion/600,
0.2548,0.405,0.34019999999999995,4.0,47.92661776480675,eval5d,4000,intraday,cushion/1000,
0.0688,0.0272,0.904,5.0,101.52816172451377,eval5d,4000,eod,fixed1,
0.1965,0.1066,0.6969,5.0,89.26856787997484,eval5d,4000,eod,fixed2,
0.31425,0.172,0.5137500000000002,5.0,26.156406190395355,eval5d,4000,eod,fixed3,
0.46015,0.20465,0.33519999999999994,4.0,405.24948425750733,eval5d,4000,eod,fixed5,
0.53145,0.2278,0.24075000000000002,3.0,300.2955039940834,eval5d,4000,eod,fixed8,
0.57605,0.22705,0.19690000000000005,3.0,304.6794178627014,eval5d,4000,eod,fixed12,
0.5936,0.2194,0.18699999999999997,3.0,125.74686420898438,eval5d,4000,eod,fixed15,
0.63205,0.1943,0.17365,3.0,406.18258630371093,eval5d,4000,eod,fixed20,
0.5992,0.218,0.18280000000000005,3.0,15.055483959960938,eval5d,4000,eod,cushion/250,
0.5416,0.2387,0.21970000000000003,3.0,154.5619424987793,eval5d,4000,eod,cushion/400,
0.46765,0.2113,0.32105,3.0,329.55285824775694,eval5d,4000,eod,cushion/600,
0.38245,0.1636,0.4539500000000001,5.0,388.4319980718136,eval5d,4000,eod,cushion/1000,
0.06425,0.0465,0.88925,5.0,83.94165510138869,eval5d,5000,intraday,fixed1,
0.17765,0.2033,0.61905,5.0,26.106535318112375,eval5d,5000,intraday,fixed2,
0.26045,0.3256,0.41394999999999993,4.0,-47.687903472805026,eval5d,5000,intraday,fixed3,
0.32805,0.3908,0.28115000000000007,3.0,53.7592231628418,eval5d,5000,intraday,fixed5,
0.36955,0.4248,0.20564999999999994,3.0,130.09664350585936,eval5d,5000,intraday,fixed8,
0.3904,0.43205,0.17754999999999993,3.0,292.74755949401856,eval5d,5000,intraday,fixed12,
0.3973,0.42845,0.17425000000000002,2.0,319.91924425964356,eval5d,5000,intraday,fixed15,
0.3862,0.44615,0.16765000000000002,2.0,167.3851951171875,eval5d,5000,intraday,fixed20,
0.3874,0.44705,0.16555000000000003,2.0,138.71105646972657,eval5d,5000,intraday,cushion/250,
0.38085,0.4423,0.17684999999999995,2.0,190.29896802062987,eval5d,5000,intraday,cushion/400,
0.37345,0.4088,0.21774999999999994,3.0,189.134242578125,eval5d,5000,intraday,cushion/600,
0.30735,0.367,0.32565,3.0,-2.8015420820236208,eval5d,5000,intraday,cushion/1000,
0.0686,0.01785,0.91355,5.0,100.47701194099187,eval5d,5000,eod,fixed1,
0.19875,0.06905,0.7322,5.0,97.85382661485671,eval5d,5000,eod,fixed2,
0.31575,0.12875,0.5555,5.0,21.363052179813383,eval5d,5000,eod,fixed3,
0.4651,0.1721,0.3627999999999999,4.0,405.57210979156497,eval5d,5000,eod,fixed5,
0.53925,0.2025,0.25825,3.0,304.43918360862733,eval5d,5000,eod,fixed8,
0.58265,0.2103,0.20705,3.0,322.03147948265075,eval5d,5000,eod,fixed12,
0.5998,0.20575,0.19445,3.0,142.1166635559082,eval5d,5000,eod,fixed15,
0.63645,0.18565,0.17790000000000003,3.0,408.383486340332,eval5d,5000,eod,fixed20,
0.63195,0.18615,0.18189999999999998,3.0,411.39562604980466,eval5d,5000,eod,cushion/250,
0.56385,0.2212,0.21495000000000003,3.0,147.59950081176757,eval5d,5000,eod,cushion/400,
0.52235,0.1923,0.28535,3.0,313.883541106987,eval5d,5000,eod,cushion/600,
0.42895,0.1535,0.4175500000000001,4.0,361.23527568454745,eval5d,5000,eod,cushion/1000,
0.1912,0.8086,0.00019999999999997797,9.0,60.233751666259764,eval_60d,2500,intraday,fixed1,
0.2096,0.7904,0.0,4.0,98.83791322479249,eval_60d,2500,intraday,fixed2,
0.1822,0.8178,0.0,3.0,-146.03951187057496,eval_60d,2500,intraday,fixed3,
0.2572,0.7428,0.0,3.0,223.41500059204103,eval_60d,2500,intraday,fixed5,
0.261,0.739,0.0,2.0,98.67232855682373,eval_60d,2500,intraday,fixed8,
0.4076,0.5772,0.015199999999999991,16.0,323.5688619384766,eval_60d,2500,eod,fixed1,
0.4844,0.5156,1.1102230246251565e-16,7.0,282.73231332092286,eval_60d,2500,eod,fixed2,
0.521,0.479,0.0,5.0,35.043792135620116,eval_60d,2500,eod,fixed3,
0.6156,0.3844,-5.551115123125783e-17,3.0,563.6031127929688,eval_60d,2500,eod,fixed5,
0.6472,0.3528,0.0,3.0,409.32639411621096,eval_60d,2500,eod,fixed8,
0.2634,0.7356,0.0009999999999998899,11.0,193.35769585533143,eval_60d,3000,intraday,fixed1,
0.2488,0.7512,0.0,5.0,53.98923091278076,eval_60d,3000,intraday,fixed2,
0.2514,0.7486,-1.1102230246251565e-16,3.0,-60.27388733062744,eval_60d,3000,intraday,fixed3,
0.3004,0.6996,0.0,3.0,215.60310279235838,eval_60d,3000,intraday,fixed5,
0.3216,0.6784,0.0,3.0,244.0328053955078,eval_60d,3000,intraday,fixed8,
0.4406,0.5286,0.03080000000000005,18.0,357.95793557128906,eval_60d,3000,eod,fixed1,
0.514,0.4858,0.00019999999999997797,8.0,322.404790725708,eval_60d,3000,eod,fixed2,
0.5456,0.4544,0.0,5.0,55.326313354492186,eval_60d,3000,eod,fixed3,
0.6352,0.3648,0.0,3.0,583.5350121582031,eval_60d,3000,eod,fixed5,
0.661,0.339,-5.551115123125783e-17,3.0,432.7134306640625,eval_60d,3000,eod,fixed8,
0.3676,0.6198,0.012600000000000056,16.0,304.6244586898804,eval_60d,4000,intraday,fixed1,
0.3296,0.6704,0.0,6.0,-44.78500976867676,eval_60d,4000,intraday,fixed2,
0.3532,0.6468,0.0,4.0,81.03313865966797,eval_60d,4000,intraday,fixed3,
0.356,0.644,0.0,3.0,41.23800694885254,eval_60d,4000,intraday,fixed5,
0.4118,0.5882,1.1102230246251565e-16,3.0,217.92560410003662,eval_60d,4000,intraday,fixed8,
0.4928,0.4368,0.07039999999999996,22.0,452.0427867446899,eval_60d,4000,eod,fixed1,
0.5664,0.432,0.0015999999999999903,9.0,337.4825464050293,eval_60d,4000,eod,fixed2,
0.5886,0.4114,0.0,6.0,84.97634173583984,eval_60d,4000,eod,fixed3,
0.6682,0.3318,0.0,4.0,596.03251171875,eval_60d,4000,eod,fixed5,
0.689,0.311,5.551115123125783e-17,3.0,462.5601446777344,eval_60d,4000,eod,fixed8,
0.4316,0.5288,0.03959999999999997,20.0,318.16322090148924,eval_60d,5000,intraday,fixed1,
0.4226,0.5774,0.0,7.0,119.5061464477539,eval_60d,5000,intraday,fixed2,
0.4122,0.5878,0.0,4.0,-52.581882202148435,eval_60d,5000,intraday,fixed3,
0.4372,0.5628,0.0,3.0,132.83180102539063,eval_60d,5000,intraday,fixed5,
0.4532,0.5468,0.0,3.0,102.35136746826171,eval_60d,5000,intraday,fixed8,
0.5218,0.3582,0.11999999999999994,26.0,505.208669581604,eval_60d,5000,eod,fixed1,
0.6138,0.3826,0.003599999999999992,10.0,405.99162013549807,eval_60d,5000,eod,fixed2,
0.6228,0.3772,0.0,6.0,79.18551069335938,eval_60d,5000,eod,fixed3,
0.6918,0.3082,5.551115123125783e-17,4.0,595.2961126464844,eval_60d,5000,eod,fixed5,
0.7076,0.2924,0.0,3.0,440.9569458496094,eval_60d,5000,eod,fixed8,
0.0,0.9982,0.0018000000000000238,10.0,62.31115594177246,funded60d,2500,intraday,fixed1,10.385192656962078
0.0,1.0,0.0,5.0,112.31995403442383,funded60d,2500,intraday,fixed2,18.71999233907064
0.0,1.0,0.0,3.0,-135.64104195785524,funded60d,2500,intraday,fixed3,-22.606840326309207
0.0,1.0,0.0,3.0,18.679995486450196,funded60d,2500,intraday,fixed5,3.1133325810750327
0.0,0.876,0.124,23.0,669.1960350860596,funded60d,2500,eod,fixed1,111.53267251434328
0.0,0.985,0.015000000000000013,13.0,701.88628019104,funded60d,2500,eod,fixed2,116.98104669850666
0.0,0.9978,0.0021999999999999797,9.0,852.8091233795166,funded60d,2500,eod,fixed3,142.1348538965861
0.0,0.9994,0.0006000000000000449,6.0,814.7745611206054,funded60d,2500,eod,fixed5,135.79576018676758
0.0,0.9918,0.008199999999999985,13.0,291.4515467205048,funded60d,3000,intraday,fixed1,48.5752577867508
0.0,1.0,0.0,5.0,94.34411793365479,funded60d,3000,intraday,fixed2,15.724019655609132
0.0,1.0,0.0,4.0,3.209659216308594,funded60d,3000,intraday,fixed3,0.534943202718099
0.0,1.0,0.0,3.0,-24.50420096130371,funded60d,3000,intraday,fixed5,-4.084033493550618
0.0,0.8094,0.1906,28.0,796.8559966674804,funded60d,3000,eod,fixed1,132.8093327779134
0.0,0.974,0.026000000000000023,14.0,737.9561386566162,funded60d,3000,eod,fixed2,122.9926897761027
0.0,0.996,0.0040000000000000036,10.0,959.1339796691894,funded60d,3000,eod,fixed3,159.85566327819825
0.0,0.9988,0.0011999999999999789,7.0,814.6421664672852,funded60d,3000,eod,fixed5,135.7736944112142
0.0,0.9294,0.0706,21.0,431.8704482574463,funded60d,4000,intraday,fixed1,71.97840804290772
0.0,0.9998,0.00019999999999997797,7.0,2.6495035736083983,funded60d,4000,intraday,fixed2,0.441583928934733
0.0,1.0,0.0,5.0,218.72791717376708,funded60d,4000,intraday,fixed3,36.454652862294516
0.0,1.0,0.0,3.0,-133.03469290161132,funded60d,4000,intraday,fixed5,-22.17244881693522
0.0,0.6762,0.3238,40.0,932.7355002044678,funded60d,4000,eod,fixed1,155.45591670074464
0.0,0.935,0.06499999999999995,18.0,882.9750365661621,funded60d,4000,eod,fixed2,147.16250609436034
0.0,0.984,0.016000000000000014,13.0,1174.6134573364259,funded60d,4000,eod,fixed3,195.76890955607098
0.0,0.9966,0.0033999999999999586,9.0,1062.7811846923828,funded60d,4000,eod,fixed5,177.13019744873046
0.0,0.8178,0.18220000000000003,30.0,830.0569200195313,funded60d,5000,intraday,fixed1,138.3428200032552
0.0,0.9966,0.0033999999999999586,10.0,153.62296706237794,funded60d,5000,intraday,fixed2,25.603827843729658
0.0,0.9998,0.00019999999999997797,6.0,29.193434869384767,funded60d,5000,intraday,fixed3,4.865572478230795
0.0,1.0,0.0,4.0,249.6707205444336,funded60d,5000,intraday,fixed5,41.6117867574056
0.0,0.5486,0.4514,54.0,1095.316369532776,funded60d,5000,eod,fixed1,182.55272825546265
0.0,0.8776,0.12239999999999995,24.0,1041.55177996521,funded60d,5000,eod,fixed2,173.591963327535
0.0,0.964,0.03600000000000003,16.0,1438.2659528442382,funded60d,5000,eod,fixed3,239.71099214070637
0.0,0.9938,0.006199999999999983,10.0,1113.7474889648438,funded60d,5000,eod,fixed5,185.62458149414064
