date,net,gross,round_trips,open,close,ret_frac,gross_ret_frac,half_day,year
2022-01-03,0.0,0.0,0,476.3,477.76,0.0,0.0,False,2022
2022-01-04,-0.8289999999999932,-0.8199999999999932,1,479.22,477.51,-0.0017298944117524167,-0.0017111138934101104,False,2022
2022-01-05,5.03100000000002,5.0400000000000205,1,477.16,468.38,0.010543633162880418,0.010562494760667323,False,2022
2022-01-06,-0.6189999999999568,-0.6099999999999568,1,467.89,467.93,-0.0013229605249096088,-0.0013037252345635872,False,2022
2022-01-07,-2.399000000000043,-2.390000000000043,1,467.95,466.12,-0.005126616091462855,-0.005107383267443195,False,2022
2022-01-10,-2.5950000000000113,-2.5500000000000114,5,462.7,465.54,-0.005608385562999809,-0.005511130322022934,False,2022
2022-01-11,-3.1460000000000137,-3.1100000000000136,4,465.23,469.74,-0.006762246630698823,-0.006684865550372963,False,2022
2022-01-12,-0.2689999999999909,-0.2599999999999909,1,471.59,471.07,-0.0005704107381411627,-0.0005513263640026102,False,2022
2022-01-13,3.180999999999998,3.1899999999999977,1,472.19,464.54,0.006736694974480607,0.006755755098583192,False,2022
2022-01-14,0.0,0.0,0,461.19,464.69,0.0,0.0,False,2022
2022-01-18,-1.3869999999999567,-1.3599999999999568,3,459.74,456.51,-0.003016922608430758,-0.002958193761691297,False,2022
2022-01-19,-4.0280000000000475,-4.010000000000048,2,458.13,451.79,-0.008792264204483547,-0.008752974046668081,False,2022
2022-01-20,-1.438000000000016,-1.420000000000016,2,453.75,446.79,-0.0031691460055096768,-0.0031294765840220737,False,2022
2022-01-21,3.082000000000023,3.1000000000000227,2,445.56,438.02,0.006917137983661063,0.006957536583176278,False,2022
2022-01-24,-4.027999999999991,-4.009999999999991,2,432.03,439.89,-0.009323426613892533,-0.00928176284054346,False,2022
2022-01-25,-5.938000000000016,-5.920000000000016,2,433.06,434.48,-0.013711725857848833,-0.013670161178589608,False,2022
2022-01-26,0.0,0.0,0,440.72,433.46,0.0,0.0,False,2022
2022-01-27,-4.857000000000098,-4.830000000000098,3,438.26,431.27,-0.011082462465203528,-0.011020855200109748,False,2022
2022-01-28,0.09399999999999545,0.12999999999999545,4,432.68,441.9,0.0002172506240177393,0.000300452990662835,False,2022
2022-01-31,5.411000000000016,5.420000000000016,1,441.24,449.79,0.012263167437222408,0.012283564500045363,False,2022
2022-02-01,0.0,0.0,0,450.68,452.97,0.0,0.0,False,2022
2022-02-02,0.0,0.0,0,455.5,457.3,0.0,0.0,False,2022
2022-02-03,0.0,0.0,0,450.95,446.65,0.0,0.0,False,2022
2022-02-04,-1.0389999999999726,-1.0299999999999727,1,446.35,448.73,-0.0023277696874649326,-0.0023076061386803465,False,2022
2022-02-07,0.0,0.0,0,449.51,447.23,0.0,0.0,False,2022
2022-02-08,-0.098999999999975,-0.08999999999997499,1,446.73,450.89,-0.00022161036867901192,-0.00020146397152636937,False,2022
2022-02-09,0.0,0.0,0,455.22,457.5,0.0,0.0,False,2022
2022-02-10,0.0,0.0,0,451.34,449.38,0.0,0.0,False,2022
2022-02-11,6.161000000000016,6.170000000000016,1,449.41,440.51,0.013709085245099164,0.01372911150174677,False,2022
2022-02-14,-3.148000000000052,-3.1300000000000523,2,439.92,439.06,-0.007155846517548763,-0.007114929987270532,False,2022
2022-02-15,-1.7879999999999818,-1.7699999999999818,2,443.73,446.07,-0.004029477384896179,-0.003988912176323398,False,2022
2022-02-16,0.0,0.0,0,443.93,446.61,0.0,0.0,False,2022
2022-02-17,3.3629999999999294,3.3899999999999295,3,443.22,437.11,0.007587653986733291,0.007648571815351134,False,2022
2022-02-18,-2.257999999999952,-2.2399999999999523,2,437.33,434.27,-0.005163149109368102,-0.005121990259071988,False,2022
2022-02-22,-1.509,-1.5,1,431.89,429.65,-0.003493945217532242,-0.003473106578063859,False,2022
2022-02-23,3.0519999999999934,3.069999999999993,2,432.66,421.97,0.007054037812601103,0.007095640918966378,False,2022
2022-02-24,0.0,0.0,0,411.02,428.31,0.0,0.0,False,2022
2022-02-25,5.810999999999993,5.819999999999993,1,429.61,437.68,0.013526221456669986,0.01354717068969529,False,2022
2022-02-28,0.0,0.0,0,432.03,436.67,0.0,0.0,False,2022
2022-03-01,-0.259,-0.25,1,435.04,430.01,-0.0005953475542478852,-0.0005746598013975726,False,2022
2022-03-02,1.2619999999999727,1.2799999999999727,2,432.37,437.83,0.0029187964012303644,0.002960427411707502,False,2022
2022-03-03,-0.919000000000025,-0.910000000000025,1,440.47,435.72,-0.002086407700865042,-0.002065974981270064,False,2022
2022-03-04,0.830999999999975,0.839999999999975,1,431.75,432.24,0.0019247249565720324,0.0019455703532136074,False,2022
2022-03-07,8.331000000000031,8.340000000000032,1,431.55,419.46,0.019304831421619817,0.019325686478971225,False,2022
2022-03-08,-7.2780000000000475,-7.260000000000048,2,419.62,416.3,-0.017344263857776196,-0.017301367904294474,False,2022
2022-03-09,0.0,0.0,0,425.14,427.41,0.0,0.0,False,2022
2022-03-10,0.0,0.0,0,422.52,425.48,0.0,0.0,False,2022
2022-03-11,0.0,0.0,0,428.12,420.08,0.0,0.0,False,2022
2022-03-14,-2.0590000000000113,-2.0500000000000114,1,420.89,417.06,-0.00489201454061634,-0.004870631281332442,False,2022
2022-03-15,-0.16800000000003412,-0.1500000000000341,2,419.77,426.14,-0.0004002191676395029,-0.0003573385425352791,False,2022
2022-03-16,0.9309999999999977,0.9399999999999977,1,429.89,435.61,0.0021656702877480235,0.002186605875921742,False,2022
2022-03-17,-1.1389999999999953,-1.1299999999999955,1,433.59,441.0,-0.0026269056020664576,-0.0026061486657902523,False,2022
2022-03-18,0.0,0.0,0,438.0,444.47,0.0,0.0,False,2022
2022-03-21,0.0,0.0,0,444.34,444.43,0.0,0.0,False,2022
2022-03-22,0.5320000000000114,0.5500000000000114,2,445.86,449.58,0.0011931996590858372,0.0012335710761225752,False,2022
2022-03-23,0.0,0.0,0,446.91,443.84,0.0,0.0,False,2022
2022-03-24,0.0,0.0,0,445.94,450.41,0.0,0.0,False,2022
2022-03-25,0.0,0.0,0,451.16,452.66,0.0,0.0,False,2022
2022-03-28,0.0,0.0,0,452.06,455.87,0.0,0.0,False,2022
2022-03-29,0.0,0.0,0,460.02,461.59,0.0,0.0,False,2022
2022-03-30,0.0,0.0,0,460.34,458.72,0.0,0.0,False,2022
2022-03-31,0.0,0.0,0,457.89,451.65,0.0,0.0,False,2022
2022-04-01,0.0,0.0,0,453.31,452.88,0.0,0.0,False,2022
2022-04-04,0.7920000000000591,0.8100000000000591,2,453.13,456.78,0.0017478427824246003,0.0017875664820251563,False,2022
2022-04-05,1.1219999999999295,1.1399999999999295,2,455.22,451.1,0.002464742322393413,0.0025042836430735236,False,2022
2022-04-06,-3.697000000000016,-3.670000000000016,3,446.89,446.57,-0.008272729306988334,-0.008212311754570512,False,2022
2022-04-07,-0.5189999999999909,-0.5099999999999909,1,445.59,448.74,-0.001164747862384683,-0.0011445499225745438,False,2022
2022-04-08,-2.0670000000000774,-2.0400000000000773,3,447.97,447.62,-0.0046141482688574625,-0.004553876375650328,False,2022
2022-04-11,1.2619999999999727,1.2799999999999727,2,444.11,439.97,0.0028416383328454045,0.002882168832046053,False,2022
2022-04-12,-2.9769999999999888,-2.9499999999999886,3,443.08,438.24,-0.006718876952243362,-0.006657939875417507,False,2022
2022-04-13,4.060999999999993,4.069999999999993,1,438.03,443.36,0.009271054493984415,0.009291601031892778,False,2022
2022-04-14,3.011999999999973,3.0299999999999727,2,443.55,437.87,0.006790666215759154,0.006831247886371261,False,2022
