vm,lb,interval,stop,n,avg,t,sharpe,rts,n_rec,avg_rec,t_rec,sharpe_rec,rts_rec,n_hold,avg_hold,t_hold,sharpe_hold,rts_hold
0.75,14,15,band,4082.0,6.7,0.59,0.15,1.22,600.0,78.1,1.46,0.95,1.27,447.0,-45.0,-0.59,-0.44,1.14
0.75,14,15,band_vwap,4082.0,-0.4,-0.03,-0.01,1.46,600.0,72.6,1.36,0.88,1.46,447.0,-53.7,-0.7,-0.52,1.44
0.75,14,15,opp_band,4082.0,1.7,0.12,0.03,0.78,600.0,24.4,0.35,0.23,0.82,447.0,0.6,0.01,0.01,0.74
0.75,14,15,vwap,4082.0,8.7,0.72,0.18,1.22,600.0,42.6,0.72,0.47,1.22,447.0,-42.2,-0.51,-0.39,1.2
0.75,14,30,band,4082.0,14.5,1.3,0.32,0.94,600.0,50.4,0.94,0.61,1.01,447.0,-23.6,-0.31,-0.23,0.9
0.75,14,30,band_vwap,4082.0,11.1,0.99,0.25,1.06,600.0,47.8,0.89,0.58,1.1,447.0,-27.8,-0.36,-0.27,1.04
0.75,14,30,opp_band,4082.0,8.1,0.58,0.14,0.72,600.0,41.5,0.64,0.41,0.77,447.0,18.6,0.21,0.16,0.69
0.75,14,30,vwap,4082.0,16.0,1.35,0.34,0.95,600.0,53.5,0.93,0.6,0.99,447.0,-13.9,-0.19,-0.14,0.93
0.75,14,60,band,4082.0,14.3,1.31,0.33,0.74,600.0,43.5,0.84,0.55,0.81,447.0,-32.9,-0.46,-0.34,0.72
0.75,14,60,band_vwap,4082.0,12.7,1.17,0.29,0.8,600.0,42.2,0.82,0.53,0.85,447.0,-34.7,-0.48,-0.36,0.78
0.75,14,60,opp_band,4082.0,7.9,0.6,0.15,0.66,600.0,29.7,0.48,0.31,0.71,447.0,7.4,0.08,0.06,0.63
0.75,14,60,vwap,4082.0,17.5,1.55,0.38,0.76,600.0,57.3,1.06,0.69,0.8,447.0,-18.8,-0.25,-0.19,0.73
0.75,90,15,band,4082.0,15.8,1.4,0.35,0.85,600.0,30.2,0.56,0.37,0.96,447.0,-2.5,-0.03,-0.03,0.91
0.75,90,15,band_vwap,4082.0,12.1,1.07,0.26,0.97,600.0,26.4,0.49,0.32,1.09,447.0,-7.2,-0.1,-0.07,1.07
0.75,90,15,opp_band,4082.0,0.2,0.02,0.0,0.65,600.0,4.8,0.07,0.05,0.71,447.0,-28.4,-0.3,-0.23,0.66
0.75,90,15,vwap,4082.0,12.5,1.04,0.26,0.87,600.0,35.0,0.61,0.39,0.96,447.0,-17.4,-0.22,-0.17,0.94
0.75,90,30,band,4082.0,15.1,1.34,0.33,0.7,600.0,29.4,0.55,0.36,0.79,447.0,7.4,0.11,0.08,0.77
0.75,90,30,band_vwap,4082.0,13.1,1.17,0.29,0.77,600.0,27.4,0.51,0.33,0.86,447.0,5.1,0.07,0.05,0.85
0.75,90,30,opp_band,4082.0,3.6,0.26,0.07,0.61,600.0,14.5,0.22,0.15,0.66,447.0,-3.6,-0.04,-0.03,0.62
0.75,90,30,vwap,4082.0,14.4,1.24,0.31,0.73,600.0,56.6,1.01,0.65,0.79,447.0,-10.3,-0.13,-0.1,0.77
0.75,90,60,band,4082.0,15.6,1.45,0.36,0.57,600.0,34.4,0.69,0.45,0.63,447.0,11.9,0.18,0.13,0.64
0.75,90,60,band_vwap,4082.0,14.6,1.36,0.34,0.6,600.0,33.2,0.66,0.43,0.67,447.0,10.8,0.16,0.12,0.67
0.75,90,60,opp_band,4082.0,5.5,0.42,0.11,0.54,600.0,0.5,0.01,0.01,0.6,447.0,6.6,0.08,0.06,0.59
0.75,90,60,vwap,4082.0,15.2,1.37,0.34,0.59,600.0,50.5,0.96,0.62,0.65,447.0,-22.7,-0.3,-0.23,0.66
1.0,14,15,band,4082.0,11.6,1.17,0.29,1.01,600.0,80.5,1.75,1.13,1.08,447.0,-62.6,-1.16,-0.87,0.92
1.0,14,15,band_vwap,4082.0,7.5,0.76,0.19,1.15,600.0,77.3,1.68,1.09,1.19,447.0,-68.0,-1.26,-0.95,1.11
1.0,14,15,opp_band,4082.0,3.9,0.28,0.07,0.65,600.0,56.2,0.88,0.57,0.68,447.0,22.5,0.27,0.2,0.6
1.0,14,15,vwap,4082.0,13.2,1.18,0.29,0.91,600.0,56.2,1.03,0.67,0.94,447.0,-68.5,-1.1,-0.83,0.9
