vm,interval,stop,window,confirm,max_rts,n,avg,t,sharpe,n_rec,avg_rec,t_rec,sharpe_rec
1.0,15,band_vwap,all,1,2,4082.0,13.74,1.49,0.37,600.0,86.06,2.01,1.3
1.0,15,band_vwap,all,1,99,4082.0,9.29,0.94,0.23,600.0,80.68,1.76,1.14
1.0,15,band_vwap,all,2,2,4082.0,13.18,1.55,0.38,600.0,64.46,1.65,1.07
1.0,15,band_vwap,all,2,99,4082.0,12.95,1.49,0.37,600.0,60.65,1.52,0.99
1.0,15,band_vwap,am,1,2,4082.0,8.11,1.03,0.26,600.0,35.2,0.94,0.61
1.0,15,band_vwap,am,1,99,4082.0,8.1,1.0,0.25,600.0,37.04,0.97,0.63
1.0,15,band_vwap,am,2,2,4082.0,8.39,1.18,0.29,600.0,12.05,0.36,0.23
1.0,15,band_vwap,am,2,99,4082.0,8.29,1.16,0.29,600.0,11.0,0.33,0.21
1.0,15,band_vwap,am_ext,1,2,4082.0,9.3,1.06,0.26,600.0,55.38,1.35,0.87
1.0,15,band_vwap,am_ext,1,99,4082.0,4.53,0.49,0.12,600.0,57.38,1.33,0.86
1.0,15,band_vwap,am_ext,2,2,4082.0,11.01,1.35,0.34,600.0,54.01,1.44,0.93
1.0,15,band_vwap,am_ext,2,99,4082.0,10.76,1.3,0.32,600.0,53.78,1.42,0.92
1.0,15,band_vwap,pm,1,2,4082.0,11.89,1.69,0.42,600.0,78.49,2.37,1.54
1.0,15,band_vwap,pm,1,99,4082.0,10.49,1.48,0.37,600.0,72.17,2.15,1.4
1.0,15,band_vwap,pm,2,2,4082.0,10.23,1.57,0.39,600.0,65.14,2.07,1.34
1.0,15,band_vwap,pm,2,99,4082.0,9.47,1.45,0.36,600.0,59.74,1.88,1.22
1.0,15,band_vwap,skip_lunch,1,2,4082.0,13.77,1.55,0.38,600.0,72.34,1.76,1.14
1.0,15,band_vwap,skip_lunch,1,99,4082.0,11.3,1.22,0.3,600.0,72.36,1.68,1.09
1.0,15,band_vwap,skip_lunch,2,2,4082.0,17.13,2.14,0.53,600.0,55.68,1.5,0.97
