ticker,listing_date,exchange,issuer
ARYE,2021-07-13,XNAS,ARYA Sciences Acquisition Corp V
IMGO,2021-07-14,XNAS,Imago BioSciences Inc
SHCO,2021-07-15,XNYS,Soho House  Co Inc
BRDG,2021-07-16,XNYS,Bridge Investment Group Holdings Inc
PYCR,2021-07-20,XNAS,Paycor HCM Inc
BASE,2021-07-20,XNAS,Couchbase Inc
OB,2021-07-22,XNAS,Outbrain Inc
INST,2021-07-22,XNYS,Instructure Holdings Inc
SNPO,2021-07-27,XNAS,Snap One Holdings Corp
DALS,2021-07-27,XNAS,DA32 Life Science Tech Acquisition Corp
ICVX,2021-07-28,XNAS,Icosavax Inc
MLNK,2021-07-28,XNYS,MeridianLink Inc
OMGA,2021-07-28,XNAS,Omega Therapeutics Inc
PWSC,2021-07-28,XNYS,PowerSchool Holdings Inc
WEBR,2021-08-05,XNYS,Weber Inc
MIO,2021-08-06,XNYS,Pioneer Municipal High Income Opportunities Fund Inc
EZFL,2021-08-09,XNAS,EzFill Holdings Inc
KTTA,2021-08-10,XNAS,Pasithea Therapeutics Corp
SSBK,2021-08-12,XNAS,Southern States Bancshares Inc
DATS,2021-08-13,XNAS,DatChat Inc
DICE,2021-09-13,XNAS,DICE Therapeutics Inc
TWKS,2021-09-14,XNAS,Thoughtworks Holding Inc
FORG,2021-09-16,XNYS,ForgeRock Inc
THRN,2021-09-21,XNAS,Thorne Healthtech Inc
SOVO,2021-09-22,XNAS,Sovos Brands Inc
STER,2021-09-22,XNAS,Sterling Check Corp
ESMT,2021-09-23,XNYS,Engagesmart Inc
MEKA,2021-09-27,XNAS,MELI Kaszek Pioneer Corp
HCTI,2021-09-29,XNAS,Healthcare Triangle Inc
TDCX,2021-10-01,XNYS,TDCX Inc
EXAI,2021-10-01,XNAS,Exscientia Plc
VLCN,2021-10-04,XNAS,Volcon Inc
THRX,2021-10-05,XNAS,Theseus Pharmaceuticals Inc
ISO,2021-10-05,XNAS,IsoPlexis Corp
CING,2021-10-05,XNAS,Cingulate Inc
SOPA,2021-10-06,XNAS,Society Pass Inc
AVDX,2021-10-12,XNAS,AvidXchange Holdings Inc
FNA,2021-10-15,XNYS,Paragon 28 Inc
SDIG,2021-10-19,XNAS,Stronghold Digital Mining Inc
VTYX,2021-10-20,XNAS,Ventyx Biosciences Inc
PX,2021-10-21,XNYS,P10 Inc
ENFN,2021-10-21,XNYS,Enfusion Inc
INFA,2021-10-27,XNYS,Informatica Inc
DTC,2021-10-28,XNYS,Solo Brands Inc
HRT,2021-10-29,XNYS,HireRight Holdings Corp
MYNZ,2021-11-02,XNAS,Mainz Biomed N.V.
RGF,2021-11-04,XNAS,Real Good Food Company Inc The
IOBT,2021-11-04,XNAS,IO Biotech Inc
CIAN,2021-11-05,XNYS,Cian Plc
KIND,2021-11-08,XNYS,Nextdoor Holdings Inc
TIVC,2021-11-09,XNAS,Tivic Health Systems Inc
MYNA,2021-11-10,XNAS,Mynaric AG
PIK,2021-11-10,XNAS,Kidpik Corp
LITM,2021-11-16,XNAS,Snow Lake Resources Ltd
AHI,2021-11-17,XNAS,Advanced Health Intelligence Ltd
USER,2021-11-17,XNYS,UserTesting Inc
MKUL,2021-11-22,XNAS,Molekule Group Inc
HCP,2021-12-07,XNAS,HashiCorp Inc
VCSA,2021-12-07,XNAS,Vacasa Inc
VINE,2021-12-14,XASE,Fresh Vine Wine Inc
BNOX,2021-12-16,XNAS,Bionomics Ltd.
MTEK,2021-12-22,XNAS,Maris Tech Ltd
HOUR,2021-12-22,XNAS,Hour Loop Inc
CINC,2022-01-05,XNAS,CinCor Pharma Inc
VIGL,2022-01-06,XNAS,Vigil Neuroscience Inc
THAR,2022-01-10,XNAS,Tharimmune Inc
LIEN,2022-01-24,XNAS,Chicago Atlantic BDC Inc
DRCT,2022-02-03,XNAS,Direct Digital Holdings Inc
TCBP,2022-02-07,XNAS,TC BioPharm Holdings plc
CEAD,2022-02-11,XNAS,CEA Industries Inc
MHUA,2022-02-16,XNAS,Meihua International Medical Technologies Co Ltd
AKAN,2022-02-16,XNAS,Akanda Corp
SVRE,2022-04-12,XNAS,SaverOne 2014 Ltd
HLVX,2022-04-28,XNAS,HilleVax Inc
ACDC,2022-05-12,XNAS,ProFrac Holding Corp
PEV,2022-06-07,XNAS,Phoenix Motor Inc
LYT,2022-06-14,XNAS,Lytus Technologies Holdings PTV Ltd
VRAX,2022-07-05,XNAS,Virax Biolabs Group Ltd
MEGL,2022-07-12,XNAS,Magic Empire Global Ltd
TGL,2022-07-14,XNAS,Treasure Global Inc
EFSH,2022-08-03,XASE,1847 Holdings LLC
BIAF,2022-08-09,XNAS,BioAffinity Technologies Inc
LUXH,2022-08-11,XNAS,LuxUrban Hotels Inc
YOSH,2022-09-07,XNAS,Yoshiharu Global Co
THRD,2022-09-14,XNAS,Third Harmonic Bio Inc
RAYA,2022-12-06,XNAS,Erayak Power Solution Group Inc
MGOL,2022-12-28,XNAS,MGO Global Inc
QSG,2023-01-19,XNAS,QuantaSing Group Ltd
BREA,2023-01-27,XNAS,Brera Holdings PLC
VCIG,2023-03-22,XNAS,VCI Global Ltd
WAI,2023-03-30,XNAS,Top KingWin Ltd
SYT,2023-03-31,XNAS,SYLA Technologies Co Ltd
LRE,2023-03-31,XNAS,Lead Real Estate Co Ltd
WLGS,2023-04-20,XNAS,WANG  LEE Group Inc.
SLRN,2023-05-05,XNAS,Acelyrin Inc
SGE,2023-05-16,XASE,Strong Global Entertainment Inc
TSBX,2023-07-21,XNAS,Turnstone Biologics Corp
WRNT,2023-07-25,XNAS,Warrantee Inc
ELWS,2023-07-25,XNAS,Earlyworks Co Ltd
JNVR,2023-07-25,XNAS,Janover Inc
PXDT,2023-08-01,XNAS,Pixie Dust Technologies Inc
HRYU,2023-08-01,XNAS,Hanryu Holdings Inc
SRM,2023-08-04,XNAS,SRM Entertainment Inc
FTEL,2023-08-08,XNAS,Fitell Corp
LQR,2023-08-10,XNAS,LQR House Inc
SPGC,2023-08-15,XNAS,Sacks Parente Golf Inc
ANL,2023-08-18,XNAS,Adlai Nortye Ltd.
