ticker,ld,pop,size,delisted,n_bars,e0_ret_252,e0_spy_252,e126_ret_252,e126_spy_252,dipped,days_to_dip,entry_ord,entry_px,ret_end,spy_end,last_ord,ret_1y,spy_1y
CURV,2021-07-01,0.1071428571428572,231000000.0,False,1218,-0.8180645153086672,-0.1144562919599508,-0.7010100856361037,-0.196790859831142,True,64.0,738036.0,21.0,-0.927142858505249,0.6147530128459808,739743.0,-0.7490476199558803,-0.13744316426080427
MITQ,2021-07-08,3.0,12600000.0,False,1214,-0.8874999980131785,-0.0980856247824573,-0.4112244788729516,-0.1715487424740596,True,42.0,738021.0,2.9800000190734863,-0.7946308776379856,0.6632866496907968,739743.0,-0.5033557014762591,-0.04021917060749358
OKLO,2021-07-08,0.0,450000000.0,False,1214,-0.0310000419616699,-0.0980856247824573,0.0090909248541215,-0.1715487424740596,True,0.0,737979.0,9.979999542236328,6.197395303182444,0.6975983292725376,739743.0,-0.02905811374296352,-0.0980856247824573
SERA,2021-07-14,-0.061875,75000000.0,False,1208,-0.8864090606262491,-0.1141628137004577,-0.7973856209150327,-0.1556244294903093,True,1.0,737986.0,11.9,-0.838655462184874,0.6828376233524256,739743.0,-0.8567226890756303,-0.11416281370045778
RGC,2021-07-14,-0.966757894736842,21850000.0,False,1050,2.219126029132362,-0.090751043115438,-0.1604740550928891,-0.1202049339131183,True,2.0,737987.0,0.2763,112.89793702497286,0.6958275382475663,739743.0,2.67933405718422,-0.09075104311543802
TCBS,2021-07-14,0.8039999999999998,4140000.0,False,1029,-0.1236086474501108,-0.0265414928140935,-0.1614487415592387,-0.1242612718298324,True,650.0,738635.0,9.8,0.7142857142857142,0.8013887520929774,739743.0,0.49132653061224474,0.3414261794543483
RPID,2021-07-14,0.125,158400000.0,False,1209,-0.8097777777777777,-0.1141628137004577,-0.8125,-0.1541172224934722,True,6.0,737991.0,20.0,-0.872,0.6972832517458183,739743.0,-0.7795,-0.08407767440781377
ERAS,2021-07-14,-0.0062499999999999,300000000.0,False,1208,-0.5773584905660378,-0.1145340751043114,-0.6966037735849058,-0.1437551125844922,True,135.0,738120.0,15.34,-0.32203389830508466,0.6010767513623532,739743.0,-0.5606258148631029,-0.13352154596984223
SGHT,2021-07-14,0.25,240000000.0,False,1209,-0.7033333333333334,-0.1141628137004577,-0.2799070847851335,-0.1541172224934722,True,75.0,738060.0,23.53,-0.7751806204844879,0.6526158850637029,739743.0,-0.7348066298342542,-0.17911358091623752
TCRX,2021-07-15,-0.1999999999999999,100000005.0,False,1207,-0.7158333333333333,-0.1145340751043114,-0.5043859649122807,-0.1437551125844922,True,1.0,737987.0,10.5,-0.8847619047619047,0.6958275382475663,739743.0,-0.6752380952380952,-0.11453407510431146
STVN,2021-07-16,-0.2189349273548696,672000000.0,False,1208,-0.1163040879531276,-0.1145340751043114,0.1163708801596534,-0.1437551125844922,True,0.0,737987.0,19.377450942993164,-0.0728813267364643,0.6958275382475663,739743.0,-0.2519808570712835,-0.11453407510431146
BLND,2021-07-16,0.1111111111111111,360000000.0,False,1208,-0.8595000028610229,-0.1145340751043114,-0.7524752535347156,-0.1437551125844922,True,3.0,737990.0,17.93000030517578,-0.9096486348468866,0.721526731927711,739743.0,-0.8365867252154251,-0.07697195030120474
KLTR,2021-07-19,0.1499999999999999,150000000.0,False,1205,-0.7773913043478261,-0.0822901325478644,-0.3993993993993994,-0.1238628566369332,True,77.0,738067.0,9.92,-0.8588709677419355,0.7065478550934243,739743.0,-0.7711693548387097,-0.11840724066341646
GAMB,2021-07-20,0.03125,42000000.0,False,1203,-0.1393939393939394,-0.1007979267544157,-0.1746031746031746,-0.0864115793799369,True,3.0,737994.0,8.0,-0.4475,0.6630975925799634,739743.0,-0.11250000000000004,-0.10079792675441579
LAW,2021-07-21,0.4143749475479126,224000000.0,False,1205,-0.4277507605163141,-0.0822901325478644,-0.7680822855783177,-0.1238628566369332,True,167.0,738159.0,31.75,-0.8737007801926981,0.5320726267512723,739743.0,-0.8163779551588644,-0.20546166572427804
VTEX,2021-07-21,0.3210526516563015,263657338.0,False,1205,-0.8681274943237381,-0.0822901325478644,-0.4387351589934627,-0.1238628566369332,True,76.0,738068.0,18.5,-0.7854054038589064,0.6893661240041566,739743.0,-0.7729729832829656,-0.1290844013393373
CRBU,2021-07-21,0.1031249999999999,304000000.0,False,1203,-0.5745042492917847,-0.1007979267544157,-0.344054580896686,-0.0864115793799369,True,6.0,737998.0,15.96,-0.8822055137844611,0.6665072097314291,739743.0,-0.4906015037593985,-0.08653955670972002
SOPH,2021-07-21,0.0249999999999999,234000000.0,False,1203,-0.813550135501355,-0.1007979267544157,-0.7411561691113029,-0.0864115793799369,True,2.0,737994.0,16.76,-0.6778042959427208,0.6630975925799634,739743.0,-0.7947494033412887,-0.10079792675441579
ZVIA,2021-07-22,-0.1071428571428571,149800000.0,False,1204,-0.7192000007629394,-0.0927001768123263,-0.3631508509092501,-0.1034042838917613,True,0.0,737993.0,13.649999618530273,-0.9047619055936459,0.6799008013961285,739743.0,-0.7428571363695623,-0.09270017681232634
CADL,2021-07-22,0.0,72000000.0,False,1201,-0.575,-0.08653955670972,-0.6025437201907791,-0.0685186890075493,True,5.0,737998.0,7.0,0.11285714285714277,0.6665072097314291,739743.0,-0.5142857142857142,-0.08653955670972002
RYAN,2021-07-22,0.0607088075127559,1337579533.0,False,1204,0.653906053897946,-0.0927001768123263,0.159022563025011,-0.1034042838917613,False,,,,,,,,
ABSI,2021-07-22,0.3125,200000000.0,False,1203,-0.8395238095238096,-0.0927001768123263,-0.5672268907563025,-0.1034042838917613,True,48.0,738041.0,14.28,-0.5833333333333333,0.6272979265994014,739742.0,-0.7205882352941176,-0.11209668477658274
CTKB,2021-07-22,0.1823529411764706,200000002.0,False,1203,-0.4039800995024876,-0.1007979267544157,-0.209563994374121,-0.0864115793799369,True,151.0,738144.0,16.89,-0.7087033747779752,0.6079388104971648,739743.0,-0.39727649496743644,-0.16365554529869453
