ticker,ep_id,start_ts_et,end_ts_et,n_comp_bars,spot_start,spot_end,datr14_prior,ema9_h,ema21_h,po,po_slope1,po_slope3,phase_zone,ema21_d,ema21_d_slope1,ema21_d_slope3
AMZN,AMZN-001,2025-07-07T14:30:00-04:00,2025-07-07T15:30:00-04:00,1,223.21,223.48,4.8391,222.7777,221.8295,30.798,1.752,-16.298,neutral_up,214.5468,0.8863,2.2494
AMZN,AMZN-002,2025-07-08T09:30:00-04:00,2025-07-08T13:30:00-04:00,4,221.13,220.47,4.6306,222.5605,221.9023,8.266,-25.389,-20.78,neutral,215.3589,0.8121,2.3204
AMZN,AMZN-003,2025-07-09T09:30:00-04:00,2025-07-09T14:30:00-04:00,5,222.89,222.5807,4.6977,221.1144,221.2701,-1.137,33.278,18.318,neutral,215.7208,0.3619,2.0604
AMZN,AMZN-004,2025-07-10T09:30:00-04:00,2025-07-11T10:30:00-04:00,8,220.26,224.53,4.7157,221.7521,221.6567,-6.736,-23.224,-23.854,neutral,216.3335,0.6127,1.7867
AMZN,AMZN-005,2025-07-15T14:30:00-04:00,2025-07-16T14:30:00-04:00,7,226.3,223.19,4.4307,226.2059,225.4082,31.585,-6.034,-11.639,neutral_up,218.3408,0.7289,2.0073
AMZN,AMZN-006,2025-07-23T11:30:00-04:00,2025-07-24T10:30:00-04:00,6,227.69,232.035,4.0017,227.5929,227.1723,15.038,0.277,-2.227,neutral,221.8019,0.5718,1.9496
AMZN,AMZN-007,2025-07-28T14:30:00-04:00,2025-07-30T12:30:00-04:00,12,232.58,230.355,3.9142,232.5461,231.6692,34.356,-6.457,-11.399,neutral_up,224.0292,0.7431,2.2274
AMZN,AMZN-008,2025-07-31T09:30:00-04:00,2025-07-31T11:30:00-04:00,2,232.54,236.31,3.78,230.8888,231.0371,5.026,30.18,23.743,neutral,225.8323,0.4428,1.8031
AMZN,AMZN-009,2025-08-05T15:30:00-04:00,2025-08-06T12:30:00-04:00,4,213.81,220.81,5.2561,214.236,216.5204,-45.533,0.163,-4.878,neutral_down,224.2641,-1.2544,-1.5682
AMZN,AMZN-010,2025-08-11T09:30:00-04:00,2025-08-13T15:30:00-04:00,20,221.52,224.555,5.2134,222.1793,221.3985,15.232,-12.598,-10.386,neutral,223.1716,-0.0482,-0.1421
AMZN,AMZN-011,2025-08-18T15:30:00-04:00,2025-08-19T14:30:00-04:00,6,231.42,227.51,5.0825,230.8141,229.7303,39.918,2.941,7.197,neutral_up,224.3991,0.6661,1.5356
AMZN,AMZN-012,2025-08-26T15:30:00-04:00,2025-08-28T12:30:00-04:00,11,228.72,231.675,4.9886,228.1847,227.6442,24.787,7.036,8.247,neutral_up,225.4804,0.241,0.3081
AMZN,AMZN-013,2025-09-15T09:30:00-04:00,2025-09-15T14:30:00-04:00,5,231.065,231.2624,4.9277,229.232,230.3227,-20.624,36.113,41.96,neutral,229.4546,-0.1366,-0.0207
AMZN,AMZN-014,2025-09-19T10:30:00-04:00,2025-09-22T12:30:00-04:00,9,233.23,228.605,4.9661,232.4184,232.2483,14.498,6.558,17.934,neutral,230.2741,0.0936,0.6381
AMZN,AMZN-015,2025-09-26T09:30:00-04:00,2025-09-29T13:30:00-04:00,11,218.915,221.515,5.0178,218.8892,220.8302,-57.221,17.319,26.72,neutral_down,227.5231,-0.9393,-2.6193
AMZN,AMZN-016,2025-09-30T09:30:00-04:00,2025-09-30T10:30:00-04:00,1,218.91,218.745,4.7633,220.7941,220.8283,-9.119,-34.273,-26.727,neutral,226.3982,-0.4228,-2.0642
AMZN,AMZN-017,2025-09-30T13:30:00-04:00,2025-10-02T13:30:00-04:00,14,219.2495,221.97,4.7633,219.8425,220.3003,-27.062,0.488,-0.709,neutral_down,226.3982,-0.4228,-2.0642
AMZN,AMZN-018,2025-10-03T12:30:00-04:00,2025-10-03T14:30:00-04:00,2,220.39,219.65,4.7252,221.8051,221.4285,0.003,-25.676,-41.205,neutral,225.0427,-0.2633,-1.3555
AMZN,AMZN-019,2025-10-06T09:30:00-04:00,2025-10-06T11:30:00-04:00,2,218.33,219.605,4.7348,220.3008,220.77,-44.12,-10.112,-30.106,neutral_down,224.5379,-0.5048,-1.2386
AMZN,AMZN-020,2025-10-07T09:30:00-04:00,2025-10-07T11:30:00-04:00,2,221.467,221.09,4.8038,220.6546,220.6812,11.288,7.352,13.075,neutral,224.2062,-0.3316,-1.0997
AMZN,AMZN-021,2025-10-07T12:30:00-04:00,2025-10-07T13:30:00-04:00,1,221.18,221.14,4.8038,220.9056,220.8031,9.495,-0.276,-1.794,neutral,224.2062,-0.3316,-1.0997
AMZN,AMZN-022,2025-10-07T15:30:00-04:00,2025-10-08T10:30:00-04:00,2,221.8,223.98,4.8038,221.1616,220.9518,15.809,7.116,6.314,neutral,224.2062,-0.3316,-1.0997
AMZN,AMZN-023,2025-10-15T09:30:00-04:00,2025-10-15T11:30:00-04:00,2,216.2,215.45,5.4594,217.5888,218.9534,-43.968,-3.41,-12.082,neutral_down,222.7161,-0.6276,-1.7128
AMZN,AMZN-024,2025-10-16T12:30:00-04:00,2025-10-20T13:30:00-04:00,15,215.53,215.72,5.4302,215.9751,216.9326,-22.571,-2.28,-5.648,neutral,222.0719,-0.6442,-1.6062
AMZN,AMZN-025,2025-10-29T14:30:00-04:00,2025-10-30T13:30:00-04:00,6,228.86,225.09,5.0813,229.5862,228.1595,27.218,-14.321,-34.153,neutral_up,221.9383,0.7302,1.6678
AMZN,AMZN-026,2025-11-12T14:30:00-05:00,2025-11-12T15:30:00-05:00,1,245.16,244.24,6.865,246.1187,246.489,-25.48,-0.032,-4.228,neutral_down,236.0849,1.2995,3.7605
AMZN,AMZN-027,2025-11-20T15:30:00-05:00,2025-11-21T09:30:00-05:00,1,217.15,216.265,6.8797,220.3066,223.2369,-65.785,-9.488,-14.323,accumulation,233.9714,-1.1281,-2.7292
AMZN,AMZN-028,2025-11-21T10:30:00-05:00,2025-11-21T12:30:00-05:00,2,218.575,218.722,7.1504,219.3136,222.2369,-58.304,13.836,-2.007,neutral_down,232.4422,-1.5292,-3.9093
AMZN,AMZN-029,2025-11-21T13:30:00-05:00,2025-11-24T10:30:00-05:00,4,222.05,224.949,7.1504,219.8144,221.7381,-17.813,21.485,40.491,neutral,232.4422,-1.5292,-3.9093
AMZN,AMZN-030,2025-12-03T10:30:00-05:00,2025-12-04T09:30:00-05:00,6,232.1807,228.775,6.3146,233.6798,233.0717,-7.715,-7.863,-50.032,neutral,231.4318,0.2958,0.8138
AMZN,AMZN-031,2025-12-08T15:30:00-05:00,2025-12-09T15:30:00-05:00,7,226.99,227.9,5.9253,227.7509,228.8206,-49.508,1.538,-0.69,neutral_down,231.1385,-0.1589,-0.2933
AMZN,AMZN-032,2025-12-10T09:30:00-05:00,2025-12-10T10:30:00-05:00,1,231.735,231.658,5.6587,228.6784,228.701,28.456,42.328,41.89,neutral_up,230.5013,-0.2601,-0.7961
