ticker,ep_id,start_ts_et,end_ts_et,n_comp_bars,spot_start,spot_end,datr14_prior,ema9_h,ema21_h,po,po_slope1,po_slope3,phase_zone,ema21_d,ema21_d_slope1,ema21_d_slope3
AMZN,AMZN-001,2024-07-15T15:30:00-04:00,2024-07-17T09:30:00-04:00,8,192.71,186.15,3.9944,193.3335,194.5826,-46.381,4.983,15.861,neutral_down,193.2663,0.1234,0.9939
AMZN,AMZN-002,2024-07-22T13:30:00-04:00,2024-07-23T11:30:00-04:00,5,184.39,187.7014,4.6148,183.6826,184.6942,-15.227,8.854,18.196,neutral,191.0982,-0.7998,-2.098
AMZN,AMZN-003,2024-07-26T13:30:00-04:00,2024-07-31T11:30:00-04:00,19,182.19,186.47,4.902,182.1123,182.6088,-6.08,-1.438,15.562,neutral,188.2908,-0.8441,-2.0321
AMZN,AMZN-004,2024-08-06T15:30:00-04:00,2024-08-07T10:30:00-04:00,2,161.91,166.29,7.141,163.0405,165.828,-35.417,-8.594,4.45,neutral_down,182.7214,-2.1681,-4.1326
AMZN,AMZN-005,2024-08-07T11:30:00-04:00,2024-08-12T11:30:00-04:00,21,165.3299,167.745,7.098,164.3154,165.7858,-6.303,1.18,29.113,neutral,180.8294,-1.8919,-5.766
AMZN,AMZN-006,2024-08-12T12:30:00-04:00,2024-08-14T12:30:00-04:00,14,167.3754,169.8282,6.5293,167.1459,166.5336,17.977,-2.766,-5.524,neutral,176.9788,-1.0019,-3.8506
AMZN,AMZN-007,2024-08-14T14:30:00-04:00,2024-08-14T15:30:00-04:00,1,169.66,170.05,6.0931,169.617,168.7861,25.708,-4.352,-7.891,neutral_up,175.5257,-0.5296,-2.455
AMZN,AMZN-008,2024-08-19T15:30:00-04:00,2024-08-21T12:30:00-04:00,11,178.21,179.97,5.759,177.4532,176.2491,52.48,6.711,9.995,neutral_up,175.4252,0.1635,-0.1005
AMZN,AMZN-009,2024-08-22T10:30:00-04:00,2024-08-22T14:30:00-04:00,4,178.4515,176.03,5.0969,179.449,178.714,14.252,-21.546,-38.367,neutral,176.3439,0.3726,0.9186
AMZN,AMZN-010,2024-08-23T10:30:00-04:00,2024-08-23T11:30:00-04:00,1,177.52,175.99,5.1464,177.7915,178.0468,-15.267,2.811,24.635,neutral,176.3262,-0.0176,0.6479
AMZN,AMZN-011,2024-08-27T09:30:00-04:00,2024-08-27T10:30:00-04:00,1,173.8301,172.79,4.9112,175.4932,176.3606,-48.197,-15.19,-13.994,neutral_down,176.3077,-0.0798,-0.0361
AMZN,AMZN-012,2024-09-05T10:30:00-04:00,2024-09-05T11:30:00-04:00,1,177.32,176.96,4.6623,175.667,175.2998,31.52,7.328,69.071,neutral_up,175.3892,-0.2089,0.1576
AMZN,AMZN-013,2024-09-06T09:30:00-04:00,2024-09-06T10:30:00-04:00,1,174.485,172.55,4.799,176.3899,175.9395,4.151,-31.502,-27.283,neutral,175.6166,0.2273,0.0896
AMZN,AMZN-014,2024-09-16T13:30:00-04:00,2024-09-16T15:30:00-04:00,2,185.42,184.89,4.9685,185.3583,184.6572,10.072,8.136,-2.061,neutral,178.234,0.8236,2.5881
AMZN,AMZN-015,2024-09-17T09:30:00-04:00,2024-09-17T14:30:00-04:00,5,188.69,186.91,4.8358,185.9032,185.0684,43.869,37.085,33.797,neutral_up,178.8391,0.6051,2.3947
AMZN,AMZN-016,2024-09-18T09:30:00-04:00,2024-09-18T11:30:00-04:00,2,186.98,186.57,4.8161,186.8391,186.0817,23.745,-2.284,-10.541,neutral_up,179.5737,0.7346,2.1633
AMZN,AMZN-017,2024-09-18T13:30:00-04:00,2024-09-19T13:30:00-04:00,7,187.8901,189.52,4.8161,186.9874,186.3788,25.696,11.084,8.478,neutral_up,179.5737,0.7346,2.1633
AMZN,AMZN-018,2024-09-19T15:30:00-04:00,2024-09-20T12:30:00-04:00,4,189.9,190.32,4.7392,189.1212,188.0582,39.643,1.827,-0.861,neutral_up,180.197,0.6233,1.963
AMZN,AMZN-019,2024-09-25T11:30:00-04:00,2024-09-27T10:30:00-04:00,13,192.5299,188.29,4.6887,192.8089,192.0727,18.579,-7.038,-22.772,neutral,184.109,0.9921,3.0299
AMZN,AMZN-020,2024-10-02T10:30:00-04:00,2024-10-03T11:30:00-04:00,8,186.06,182.98,4.3169,185.4726,186.3425,-18.928,12.122,11.503,neutral,185.673,-0.0533,0.2253
AMZN,AMZN-021,2024-10-07T09:30:00-04:00,2024-10-07T10:30:00-04:00,1,181.63,181.75,4.2738,184.2088,184.3695,-10.437,-42.339,-23.825,neutral,185.377,0.1143,-0.2961
AMZN,AMZN-022,2024-10-15T09:30:00-04:00,2024-10-15T10:30:00-04:00,1,186.48,185.5175,3.9823,187.7717,187.4827,-12.305,-18.67,-31.381,neutral,185.524,0.2086,0.7265
AMZN,AMZN-023,2024-10-16T14:30:00-04:00,2024-10-18T13:30:00-04:00,13,186.9,190.38,3.9715,186.6852,186.8748,-7.356,8.15,8.369,neutral,185.7318,0.2078,0.7659
AMZN,AMZN-024,2024-10-21T10:30:00-04:00,2024-10-23T11:30:00-04:00,15,187.15,185.53,3.8288,188.6581,188.2739,-2.883,-25.017,-51.034,neutral,186.2607,0.2689,0.5289
AMZN,AMZN-025,2024-10-29T15:30:00-04:00,2024-10-30T09:30:00-04:00,1,190.81,193.9124,3.8324,190.1655,189.3671,50.651,-5.694,16.409,neutral_up,186.8721,0.1628,0.252
AMZN,AMZN-026,2024-11-12T13:30:00-05:00,2024-11-13T09:30:00-05:00,3,209.13,210.94,4.7927,207.6358,207.1348,35.034,12.802,38.12,neutral_up,195.8194,1.1071,4.1514
AMZN,AMZN-027,2024-11-19T15:30:00-05:00,2024-11-21T11:30:00-05:00,10,204.6,197.54,5.21,203.7175,204.3096,-0.152,6.16,11.093,neutral,200.1528,0.1547,1.587
