start,yrs,dots,A_bench,A_acc,A_fx,B_bench,B_acc,B_fx,C_bench,C_acc,C_fx,A_acc_tb,A_fx_tb,B_fx_tb,C_acc_tb,C_fx_tb,A_edge,A_fx_edge,B_edge,B_fx_edge,C_edge,C_fx_edge,A_edge_tb,A_fx_edge_tb,B_fx_edge_tb,C_edge_tb,C_fx_edge_tb
2000,26.3,102,0.11198130418057739,0.11106056649963258,0.06721745892555664,0.11180842951617842,0.11173226340181974,0.06478251228819654,0.0786508149888332,0.08460385014472416,0.007605306014022206,0.11133492152073454,0.07799281190726426,0.0750315064857513,0.08725814197326032,0.023476801119952206,-0.0009207376809448053,-0.04476384525502075,-7.616611435867782e-05,-0.047025917227981884,0.005953035155890962,-0.07104550897481099,-0.0006463826598428479,-0.03398849227331313,-0.03677692303042712,0.008607326984427122,-0.05517401386888099
2001,25.3,99,0.11574546633299299,0.11470613988440148,0.07007575469269145,0.11579002990224752,0.11358174635165852,0.06623920646940873,0.08641431092111751,0.09145384098591047,0.009855792303127497,0.11494140536224184,0.08107971798103042,0.07657716650288127,0.09228494887006078,0.024467581894483947,-0.0010393264485915044,-0.045669711640301536,-0.0022082835505889964,-0.049550823432838786,0.005039530064792963,-0.07655851861799001,-0.0008040609707511415,-0.034665748351962566,-0.03921286339936625,0.005870637948943269,-0.06194672902663356
2002,24.3,91,0.11901609303298855,0.11774974293798646,0.07274172216243369,0.11849612215336458,0.11823906246850358,0.07010123343748786,0.09571890824428864,0.10093609224965161,0.008790537791953712,0.11800172719783986,0.08400149365293241,0.08068023815987069,0.10131752601427091,0.023086233956087332,-0.001266350095002089,-0.04627437087055486,-0.00025705968486100517,-0.048394888715876716,0.005217184005362974,-0.08692837045233492,-0.0010143658351486895,-0.03501459938005613,-0.03781588399349389,0.0055986177699822726,-0.0726326742882013
2003,23.3,79,0.12143158529847853,0.11978837838596001,0.07524224667096358,0.1216539310532313,0.12412769194662732,0.07676528724043485,0.11159065893405806,0.10742957255659014,0.014304341229112394,0.12006948426826536,0.08674942581941625,0.08777589578527067,0.10804871194361132,0.028990942460567215,-0.0016432069125185134,-0.04618933862751495,0.0024737608933960153,-0.04488864381279645,-0.004161086377467926,-0.09728631770494567,-0.0013621010302131698,-0.03468215947906228,-0.03387803526796063,-0.0035419469904467427,-0.08259971647349085
2004,22.3,75,0.12332984500078126,0.1223185473314804,0.07748269107211148,0.12354273480203626,0.1261914136843708,0.07953901655787876,0.10464738935907048,0.10206666598020808,0.0145153297594256,0.12260871807928087,0.08921953879298983,0.09076193471458305,0.10338040180363728,0.029447901097368945,-0.001011297669300859,-0.04584715392866978,0.002648678882334554,-0.0440037182441575,-0.002580723378862393,-0.09013205959964488,-0.0007211269215003924,-0.03411030620779143,-0.03278080008745321,-0.0012669875554331966,-0.07519948826170153
2005,21.3,71,0.12623652356704185,0.12508634133236185,0.0797687177274905,0.12619145322808378,0.12976030309511943,0.08235560784623563,0.10447421352203357,0.10232492562081097,0.01450800346272696,0.12538982624311823,0.09174132326097861,0.09378332252511201,0.10492461982144441,0.029608957604910113,-0.0011501822346799973,-0.046467805839551346,0.0035688498670356505,-0.04383584538184815,-0.0021492879012225963,-0.0899662100593066,-0.0008466973239236175,-0.034495200306063234,-0.03240813070297177,0.00045040629941084376,-0.07486525591712345
2006,20.3,68,0.12957743819528378,0.12822043445581677,0.08229129541972602,0.12855517510589187,0.13276924045507477,0.08461682059325215,0.10737574936494232,0.10377717480452575,0.013338763434023404,0.12850327154121477,0.09452027900869664,0.09622399129359593,0.10703342756862089,0.028006789654409836,-0.001357003739467011,-0.04728614277555776,0.004214065349182894,-0.04393835451263972,-0.0035985745604165675,-0.09403698593091891,-0.0010741666540690087,-0.03505715918658714,-0.03233118381229594,-0.000342321796321432,-0.07936895971053248
2007,19.3,66,0.13352355703248453,0.13219834683644793,0.08537686002433109,0.1332423172065359,0.1348750642336477,0.0862571088881735,0.10480258750139537,0.10786585779979352,0.012894545328675733,0.13240128131240525,0.09799371936839696,0.09802790292525254,0.10996440207221037,0.026120690014006742,-0.001325210196036597,-0.04814669700815344,0.0016327470271118028,-0.04698520831836239,0.0030632702983981464,-0.09190804217271964,-0.00112227572007928,-0.03552983766408757,-0.03521441428128336,0.005161814570814993,-0.07868189748738863
2008,18.3,62,0.13856029963874106,0.1369562731682673,0.08918291351843155,0.13896194564457354,0.13973407822852646,0.09011100396959992,0.10791788440569161,0.12052802967429233,0.014227081913730899,0.13714250380627424,0.10241119562426204,0.10236031807570456,0.12106741832225598,0.02613093060530325,-0.0016040264704737517,-0.04937738612030951,0.0007721325839529225,-0.048850941674973614,0.012610145268600714,-0.09369080249196071,-0.0014177958324668172,-0.03614910401447902,-0.03660162756886898,0.013149533916564371,-0.08178695380038836
2009,17.3,54,0.14214468482843745,0.13943093352144065,0.09179200233541118,0.14139535967018213,0.1459719814788908,0.09612988190604532,0.14455774622765238,0.1383908944513461,0.032077127807272454,0.13963334011251527,0.10574821478325214,0.10970857666433742,0.13847427013252522,0.04439597278169383,-0.0027137513069968033,-0.05035268249302627,0.0045766218087086585,-0.04526547776413681,-0.00616685177630627,-0.11248061842037993,-0.0025113447159221813,-0.036396470045185314,-0.03168678300584471,-0.0060834760951271605,-0.10016177344595856
2010,16.3,52,0.14086648153960069,0.1388375879472824,0.09091927909232311,0.1412878540908794,0.14391034177698503,0.0952153459711288,0.13723007614337313,0.13395673897683524,0.02978688227230375,0.1390852475749741,0.10567588116194393,0.1092506665209051,0.13400886433918635,0.04276397710276414,-0.0020288935923182816,-0.04994720244727757,0.0026224876861056234,-0.04607250811975061,-0.003273337166537882,-0.10744319387106938,-0.001781233964626594,-0.035190600377656756,-0.03203718756997431,-0.0032212118041867743,-0.09446609904060899
2011,15.3,47,0.14089486982874966,0.1392413403556526,0.08978266506936305,0.14058640945087963,0.14500942561414265,0.09459324668927749,0.13638125858142947,0.13160150406481197,0.029027605879406337,0.13954521169409084,0.10541646134395533,0.10987690977937647,0.13165900596746605,0.04277940887867615,-0.0016535294730970485,-0.051112204759386604,0.004423016163263016,-0.04599316276160215,-0.004779754516617496,-0.10735365270202313,-0.0013496581346588155,-0.03547840848479433,-0.03070949967150316,-0.004722252613963418,-0.09360184970275331
2012,14.3,42,0.14126661472321878,0.13873231440284906,0.08755345968801842,0.14186808111195826,0.14515306551073304,0.09163203509574014,0.14427508276998546,0.12566007147418845,0.02780726849375581,0.13911644914109733,0.10414144938777425,0.10847054830750402,0.1257727277149805,0.042481914730125636,-0.00253430032036972,-0.053713155035200355,0.0032849843987747818,-0.05023604601621812,-0.018615011295797013,-0.11646781427622965,-0.002150165582121444,-0.03712516533544452,-0.03339753280445423,-0.01850235505500497,-0.10179316803985983
2013,13.3,39,0.1408822054865152,0.13766313652896078,0.08594538188244127,0.14188053628230735,0.14507559902196554,0.09035056960554988,0.14302300099263632,0.11857663137704844,0.026660897367349,0.138153494077213,0.10357575338120195,0.1084180054381475,0.11875438151238638,0.04237913549172756,-0.0032190689575544162,-0.054936823604073926,0.0031950627396581943,-0.051529966676757466,-0.024446369615587882,-0.11636210362528732,-0.002728711409302198,-0.03730645210531325,-0.03346253084415984,-0.024268619480249942,-0.10064386550090876
2014,12.3,38,0.1416836243795604,0.13869163805685047,0.08492959676037992,0.14062351119127248,0.14562321313861581,0.09018489000884167,0.13154996866590052,0.12418597388434205,0.027992789661045236,0.13931612194374654,0.10370545252850316,0.10866744896777736,0.12438833571139751,0.044984301544250815,-0.0029919863227099164,-0.05675402761918047,0.004999701947343338,-0.05043862118243081,-0.007363994781558469,-0.10355717900485528,-0.0023675024358138508,-0.03797817185105723,-0.03195606222349512,-0.0071616329545030055,-0.0865656671216497
2015,11.3,33,0.14452757915752612,0.14075276709074303,0.08370175554887316,0.14443893679644548,0.15222088387886268,0.08997880064239683,0.13047309351286218,0.12086624437456561,0.02625096912806102,0.14155853321199163,0.10371429768441243,0.11077685025573503,0.12159661161424573,0.044713794438393295,-0.0037748120667830953,-0.06082582360865296,0.0077819470824171955,-0.054460136154048655,-0.00960684913829657,-0.10422212438480116,-0.0029690459455344875,-0.040813281473113694,-0.033662086540710456,-0.00887648189861645,-0.08575929907446889
2016,10.3,31,0.14725953594857766,0.14084628799277332,0.08360387005308867,0.14720817407312226,0.1543776217162488,0.09047888002995286,0.14505510342316086,0.12436662328982018,0.02681140159769435,0.1419142967845345,0.10496575489130666,0.11236582239378634,0.1256743552388746,0.047070049699318606,-0.006413247955804335,-0.06365566589548899,0.0071694476431265475,-0.0567292940431694,-0.02068848013334068,-0.11824370182546651,-0.0053452391640431696,-0.042293781057270996,-0.034842351679335914,-0.019380748184286256,-0.09798505372384225
2017,9.3,28,0.1472916596916286,0.13957977494906915,0.08446508461863422,0.14667366791813585,0.15610442664920965,0.09306369177692664,0.14488478008708205,0.11321997889667101,0.026484833759061077,0.14095054873475588,0.10715782193400225,0.11694052180755954,0.11611297084264316,0.04862087737594045,-0.0077118847425594605,-0.06282657507299438,0.009430758731073796,-0.053609976141209215,-0.03166480119041104,-0.11839994632802098,-0.006341110956872731,-0.040133837757626356,-0.029733146110576314,-0.028771809244438895,-0.0962639027111416
2018,8.3,28,0.1493145797670078,0.14329013810353153,0.08548497732325033,0.1472279901176291,0.15610442664920965,0.09306369177692664,0.13681302744313384,0.12770952694195636,0.029725124587346885,0.14482169873031892,0.10977863995637482,0.11694052180755954,0.12973196129747833,0.05346368203669272,-0.006024441663476265,-0.06382960244375746,0.008876436531580545,-0.054164298340702466,-0.009103500501177475,-0.10708790285578695,-0.004492881036688878,-0.03953593981063297,-0.030287468310069565,-0.007081066145655512,-0.08334934540644112
2019,7.3,22,0.1530005448435957,0.14378441123161811,0.08439470423769391,0.1550592176478488,0.16579603088903172,0.09386391304057107,0.167627640736971,0.11249969966798523,0.02964743193730035,0.14577837366093493,0.1105919773536489,0.12220051917937902,0.1160863916621313,0.054626180659518075,-0.009216133611977595,-0.0686058406059018,0.010736813241182919,-0.061195304607277734,-0.055127941068985775,-0.13798020879967066,-0.007222171182660775,-0.04240856748994681,-0.03285869846846978,-0.0515412490748397,-0.11300146007745293
2020,6.3,20,0.1533447866955816,0.13599819530064516,0.07932953134095333,0.148686847433236,0.17048509084480157,0.09172771734564844,0.14220690948730352,0.10899229980506941,0.03096239580469229,0.13858324276864542,0.10790479697232958,0.12277949581434766,0.11112734581051043,0.056796278871977135,-0.01734659139493644,-0.07401525535462827,0.021798243411565554,-0.05695913008758757,-0.03321460968223411,-0.11124451368261123,-0.014761543926936183,-0.04543998972325203,-0.025907351618888352,-0.0310795636767931,-0.08541063061532639
2021,5.3,19,0.15038450861543884,0.14280129181498846,0.08169151748293879,0.1533521758090194,0.1657598193879476,0.09082714322308483,0.13499394099822482,0.1011808144197297,0.02866136009652398,0.14664196524186546,0.11365660275728684,0.1234128666787967,0.10387191884063562,0.05878477217393718,-0.007583216800450376,-0.06869299113250005,0.012407643578928207,-0.06252503258593456,-0.03381312657849511,-0.10633258090170083,-0.0037425433735733815,-0.036727905858152,-0.02993930913022269,-0.03112202215758919,-0.07620916882428763
