date,base_start_et,base_end_et,base_bars,pdc,atr_14,base_mid,base_atr,base_width_atr,zone,break_dir,pump_mfe_atr,flush_mfe_atr,net_close_atr,cont_atr,bars_after
2008-01-03,14:27,15:00,12,1447.16,21.6033,1450.635,0.1609,0.1254,"trigger box [-.236,+.236]",flush,-0.0354,0.3196,-0.1752,0.2569,19
2008-01-11,14:30,15:03,12,1420.33,24.5919,1403.155,-0.6984,0.2859,.618 -> .786,flush,0.1112,0.3385,-0.0982,0.1956,18
2008-01-15,14:18,15:00,15,1416.25,24.1006,1385.0,-1.2966,0.2797,below -1 ATR,flush,0.3112,0.1826,-0.1826,0.0427,19
2008-01-16,13:48,14:21,12,1380.95,24.9256,1377.58,-0.1352,0.3619,"trigger box [-.236,+.236]",pump,0.5781,0.2062,-0.1785,0.3972,32
2008-01-18,14:06,14:39,12,1332.69,26.6912,1321.2,-0.4305,0.4069,.382 -> .618 (GG),flush,0.2327,0.2282,0.1525,0.0247,26
2008-01-22,12:18,13:00,15,1325.19,27.4826,1309.35,-0.5764,0.4337,.382 -> .618 (GG),pump,0.4636,0.2496,0.0684,0.2467,59
2008-01-25,14:27,15:12,16,1352.07,31.2067,1331.915,-0.6459,0.2631,.618 -> .786,pump,0.2815,0.1389,-0.0377,0.15,15
2008-01-31,12:45,13:33,17,1355.81,30.8307,1362.695,0.2233,0.2384,"trigger box [-.236,+.236]",pump,0.7436,-0.0842,0.3764,0.6244,48
2008-02-01,12:12,12:39,10,1378.55,32.3099,1382.63,0.1263,0.1139,"trigger box [-.236,+.236]",flush,0.4039,0.0792,0.3739,0.0223,66
2008-02-08,12:48,13:15,10,1336.91,30.9971,1328.95,-0.2568,0.2065,put-trig -> .382,flush,0.2394,0.2545,0.0565,0.1513,54
2008-02-11,13:42,14:24,15,1331.29,30.223,1338.25,0.2303,0.135,"trigger box [-.236,+.236]",flush,0.1042,0.1376,0.0149,0.0701,31
2008-02-15,14:39,15:06,10,1348.86,27.9304,1343.73,-0.1837,0.159,"trigger box [-.236,+.236]",pump,0.2245,-0.0326,0.2245,0.145,17
2008-02-20,14:03,14:45,15,1348.78,26.458,1353.37,0.1735,0.322,"trigger box [-.236,+.236]",pump,0.3908,-0.0737,0.2377,0.2298,24
2008-02-22,14:18,15:15,20,1342.53,26.6576,1330.755,-0.4417,0.2787,.382 -> .618 (GG),pump,0.8829,0.1356,0.8829,0.7435,14
2008-02-29,12:45,13:30,16,1367.68,25.2404,1343.255,-0.9677,0.1914,.786 -> -1 ATR,flush,-0.0945,0.7066,-0.518,0.6109,49
2008-03-14,13:51,14:21,11,1315.48,28.1211,1284.38,-1.1059,0.2695,below -1 ATR,flush,0.5217,0.3385,0.1568,0.2038,32
2008-03-24,13:27,14:03,13,1329.51,32.3955,1356.685,0.8388,0.1158,above +trigger,flush,0.0113,0.282,-0.2323,0.2241,38
2008-03-25,13:03,13:30,10,1349.88,32.2366,1352.18,0.0713,0.1328,"trigger box [-.236,+.236]",pump,0.1641,0.045,0.0177,0.0977,49
2008-04-03,14:30,15:21,18,1367.53,28.353,1371.15,0.1277,0.1827,"trigger box [-.236,+.236]",flush,-0.0198,0.1908,-0.0684,0.0995,12
2008-04-08,12:36,13:12,13,1372.54,26.2117,1366.365,-0.2356,0.1019,"trigger box [-.236,+.236]",flush,0.041,0.2192,-0.0387,0.1682,55
2008-04-10,12:12,12:48,13,1354.49,24.7072,1364.55,0.4072,0.153,above +trigger,flush,0.0886,0.3286,-0.1688,0.2522,63
2008-04-16,13:12,13:39,10,1334.43,22.7394,1354.92,0.9011,0.1055,above +trigger,flush,0.4648,0.1139,0.3874,0.0611,46
2008-04-17,12:18,12:54,13,1364.71,23.3338,1359.51,-0.2229,0.1791,"trigger box [-.236,+.236]",pump,0.3896,-0.048,0.2597,0.3,61
2008-04-21,12:30,13:03,12,1390.33,23.0394,1384.34,-0.26,0.1172,put-trig -> .382,pump,0.2556,0.102,0.1602,0.1971,58
2008-04-22,14:06,14:42,13,1388.17,22.1851,1373.585,-0.6574,0.1997,.618 -> .786,flush,0.1494,0.1688,0.1494,0.069,25
2008-04-23,14:03,14:30,10,1375.94,21.9098,1377.875,0.0883,0.141,"trigger box [-.236,+.236]",pump,0.1801,0.0577,0.1043,0.1095,29
2008-04-25,12:39,13:54,26,1388.82,21.8304,1386.135,-0.123,0.2093,"trigger box [-.236,+.236]",pump,0.5944,-0.0208,0.5485,0.4897,41
2008-04-28,13:00,13:33,12,1397.84,21.6375,1400.935,0.143,0.1243,"trigger box [-.236,+.236]",pump,0.0908,0.2826,-0.2193,0.0287,48
2008-04-29,14:12,14:45,12,1396.37,20.6991,1393.64,-0.1319,0.2416,"trigger box [-.236,+.236]",pump,0.1329,0.1643,-0.0971,0.0121,24
2008-05-05,12:18,12:57,14,1413.9,20.1969,1407.28,-0.3278,0.1634,put-trig -> .382,flush,0.0881,0.1441,0.0238,0.0624,60
2008-05-07,12:27,13:03,13,1418.26,19.914,1411.14,-0.3575,0.1085,put-trig -> .382,flush,-0.0422,1.0033,-0.936,0.9491,58
2008-05-09,12:30,13:00,11,1397.68,19.9788,1387.065,-0.5313,0.1376,.382 -> .618 (GG),flush,0.2755,0.1479,0.0548,0.0791,59
2008-05-13,14:24,14:54,11,1403.58,19.4024,1403.0,-0.0299,0.1392,"trigger box [-.236,+.236]",pump,0.1701,0.0938,0.0026,0.1005,21
2008-05-15,13:18,14:09,18,1408.66,18.6205,1415.78,0.3824,0.2148,above +trigger,pump,0.4629,0.0687,0.3931,0.3555,36
2008-05-27,13:09,13:48,14,1375.93,18.3704,1377.625,0.0923,0.1889,"trigger box [-.236,+.236]",pump,0.5321,-0.0406,0.427,0.4377,43
2008-05-29,13:45,14:18,12,1390.84,17.7252,1403.99,0.7419,0.202,above +trigger,pump,0.1315,0.3836,-0.3278,0.0305,33
2008-06-02,13:33,14:12,14,1400.38,16.9152,1381.39,-1.1227,0.2034,below -1 ATR,pump,0.363,0.0952,0.2489,0.2613,35
2008-06-05,13:21,14:03,15,1377.2,17.6343,1396.62,1.1013,0.2291,above +trigger,flush,0.4208,0.3754,0.3816,0.2609,38
2008-06-11,13:45,14:21,13,1358.44,19.7839,1343.5,-0.7552,0.281,.618 -> .786,pump,0.181,0.4013,-0.3988,0.0404,32
2008-06-12,12:30,13:00,11,1335.49,20.0114,1348.87,0.6686,0.1719,above +trigger,flush,-0.0245,0.8785,-0.4298,0.7925,59
2008-06-16,14:27,15:33,23,1360.03,20.1367,1362.25,0.1102,0.1877,"trigger box [-.236,+.236]",flush,-0.0109,0.1624,-0.1073,0.0685,8
2008-06-19,13:06,13:51,16,1337.81,19.2171,1338.115,0.0159,0.2711,"trigger box [-.236,+.236]",flush,0.4967,0.1454,0.2386,0.0099,42
2008-06-20,12:42,13:21,14,1342.83,19.0702,1326.665,-0.8477,0.2858,.786 -> -1 ATR,flush,-0.092,0.64,-0.4554,0.4971,52
2008-06-24,13:24,13:51,10,1318.0,18.9298,1321.82,0.2018,0.2293,"trigger box [-.236,+.236]",pump,0.2219,0.5188,-0.373,0.1072,42
2008-06-25,12:24,13:15,18,1314.29,19.1206,1326.05,0.615,0.1391,above +trigger,pump,0.501,0.3216,-0.1909,0.4315,54
2008-06-30,12:06,12:36,11,1278.38,20.4445,1287.89,0.4652,0.1878,above +trigger,pump,0.1184,0.4524,-0.449,0.0245,67
2008-07-07,13:54,14:57,22,1262.9,21.0246,1243.895,-0.9039,0.3058,.786 -> -1 ATR,pump,0.9577,-0.0454,0.3903,0.8048,20
2008-07-11,12:03,12:36,12,1253.39,23.1304,1231.81,-0.933,0.2412,.786 -> -1 ATR,flush,1.1007,0.2793,0.3627,0.1587,67
