date,case,t_first,t_second,second_dir,revert_dir,before_noon_ct,both_before_noon_ct,neither_close_ever,second_completes,second_ext,second_full,first_recompletes,pdc_revert,trig_revert,first_resolution,after_complete,close_atr,reversal_min,complete_min,complete_hhmm,cont_min,cont_hhmm
2008-01-08,up_first,09:30,15:00,down,up,False,False,False,True,True,True,False,False,False,second_completes,continuation,-1.1924670413345206,320.0,9.0,15:00,10.0,15:00
2008-01-09,up_first,10:00,14:00,down,up,False,False,False,False,False,False,True,True,True,first_completes,,0.8016394809525105,244.0,,,,
2008-01-10,down_first,09:30,12:00,up,down,True,True,False,True,True,False,False,True,True,second_completes,continuation,0.4546756804126408,173.0,156.0,14:30,11.0,15:00
2008-01-16,down_first,10:00,14:30,up,down,False,False,False,False,False,False,False,True,True,neither,,-0.31373428121909697,263.0,,,,
2008-01-18,up_first,09:30,11:30,down,up,True,True,False,True,False,False,False,False,True,second_completes,mean_reversion,-0.27799408522956914,127.0,13.0,11:30,,
2008-01-23,down_first,09:30,15:00,up,down,False,False,False,True,True,False,False,False,False,second_completes,continuation,0.9463138678116948,353.0,6.0,15:00,7.0,15:30
2008-01-25,up_first,09:30,12:30,down,up,True,True,False,True,True,False,False,False,False,second_completes,continuation,-0.6835069619525347,205.0,39.0,13:30,17.0,13:30
2008-01-31,down_first,09:30,11:30,up,down,True,True,False,True,True,False,False,False,True,second_completes,continuation,0.599727014591585,140.0,179.0,14:30,35.0,15:00
2008-02-06,up_first,11:00,15:30,down,up,False,False,True,False,False,False,False,False,False,neither,,-0.334126691197981,292.0,,,,
2008-02-20,down_first,09:30,14:30,up,down,False,False,True,False,False,False,False,False,False,neither,,0.41121784217968027,315.0,,,,
2008-02-22,down_first,10:30,15:30,up,down,False,False,True,False,False,False,False,False,False,neither,,0.4411506905767072,322.0,,,,
2008-03-12,up_first,11:00,15:30,down,up,False,False,True,False,False,False,False,False,False,neither,,-0.44299196941379404,263.0,,,,
2008-03-13,down_first,09:30,13:30,up,down,False,False,False,False,False,False,False,False,True,neither,,0.2250332759765165,265.0,,,,
2008-04-24,down_first,10:00,12:00,up,down,True,True,False,True,True,False,False,False,False,second_completes,continuation,0.41470162806776895,117.0,36.0,12:30,96.0,14:00
2008-04-25,down_first,11:00,15:00,up,down,False,False,True,False,False,False,False,False,False,neither,,0.4255531202232972,233.0,,,,
2008-05-06,down_first,09:30,12:30,up,down,True,True,False,True,False,False,False,False,False,second_completes,sideways,0.5827165672050512,198.0,147.0,15:00,,
2008-06-03,up_first,10:00,13:30,down,up,False,False,False,True,True,False,False,False,True,second_completes,continuation,-0.4549514013174261,222.0,8.0,13:30,26.0,14:00
2008-06-09,up_first,10:00,14:00,down,up,False,False,True,False,False,False,False,True,True,neither,,0.07894911380482503,250.0,,,,
2008-06-24,down_first,09:30,12:30,up,down,True,True,False,False,False,False,False,True,True,neither,,-0.17115826009845103,165.0,,,,
2008-07-03,up_first,09:30,10:00,down,up,True,True,True,False,False,False,False,True,True,neither,,0.06526609555082971,30.0,,,,
2008-07-07,up_first,09:30,12:00,down,up,True,True,False,True,True,True,False,True,True,second_completes,continuation,-0.5136834047977894,176.0,28.0,12:30,3.0,13:00
2008-07-08,down_first,10:30,14:30,up,down,False,False,False,True,True,False,False,False,False,second_completes,continuation,0.9817668580091727,245.0,21.0,15:00,6.0,15:00
2008-07-14,up_first,09:30,11:30,down,up,True,True,True,False,False,False,False,False,True,neither,,-0.48741063902795234,147.0,,,,
2008-07-22,down_first,09:30,15:30,up,down,False,False,False,True,False,False,False,False,False,second_completes,sideways,0.718741302149124,362.0,10.0,15:30,,
2008-08-14,down_first,09:30,11:00,up,down,True,True,False,True,False,False,False,False,True,second_completes,mean_reversion,0.31392616652097644,89.0,90.0,12:30,,
2008-09-02,up_first,09:30,14:30,down,up,False,False,False,False,False,False,False,False,False,neither,,-0.2718711254982939,321.0,,,,
2008-09-11,down_first,09:30,15:00,up,down,False,False,False,True,False,False,False,True,True,second_completes,sideways,0.7310230643523583,337.0,50.0,15:30,,
2008-09-16,down_first,09:30,11:00,up,down,True,True,False,True,False,False,False,True,True,second_completes,sideways,0.7576960640383333,92.0,263.0,15:00,,
2008-09-18,up_first,09:30,12:30,down,up,True,True,False,True,False,False,True,True,True,second_completes,mean_reversion,1.4330458895982552,187.0,11.0,12:30,,
2008-10-03,up_first,09:30,15:30,down,up,False,False,False,False,False,False,False,False,False,neither,,-0.3716130376244942,377.0,,,,
2008-10-08,down_first,09:30,09:30,up,down,True,True,True,False,False,False,False,True,True,neither,,-0.2508651788034648,20.0,,,,
2008-10-09,up_first,09:30,11:00,down,up,True,True,False,True,True,True,False,True,True,second_completes,continuation,-1.3976651617406308,82.0,237.0,15:00,3.0,15:00
2008-10-10,down_first,09:30,15:30,up,down,False,False,False,False,False,False,False,True,True,neither,,-0.10292955915922489,364.0,,,,
2008-10-14,up_first,09:30,14:00,down,up,False,False,False,False,False,False,False,True,True,neither,,-0.09313059835272638,287.0,,,,
2008-10-16,down_first,10:30,15:00,up,down,False,False,False,True,False,False,False,False,True,second_completes,sideways,0.6312920554816112,281.0,44.0,15:30,,
2008-10-17,down_first,09:30,13:00,up,down,False,False,True,False,False,False,False,True,True,neither,,-0.09509942630343284,208.0,,,,
2008-10-23,up_first,10:30,14:00,down,up,False,False,False,True,False,False,False,True,True,second_completes,mean_reversion,0.19433315934810705,182.0,20.0,14:00,,
2008-11-10,up_first,09:30,15:00,down,up,False,False,True,False,False,False,False,False,True,neither,,-0.21820607555949492,328.0,,,,
2008-11-13,down_first,12:30,14:30,up,down,False,False,False,True,True,True,False,False,True,second_completes,continuation,1.2032483141153874,104.0,49.0,15:00,8.0,15:30
2008-12-03,down_first,09:30,15:30,up,down,False,False,True,False,False,False,False,False,False,neither,,0.42822290365284926,379.0,,,,
2008-12-05,down_first,10:00,14:30,up,down,False,False,False,True,False,False,False,False,True,second_completes,sideways,0.6638115830239394,282.0,51.0,15:30,,
2009-01-16,up_first,09:30,12:00,down,up,True,True,True,False,False,False,False,True,True,neither,,0.21368293411876907,168.0,,,,
2009-02-05,down_first,09:30,12:00,up,down,True,True,False,True,False,False,False,False,False,second_completes,mean_reversion,0.4629646435480454,128.0,11.0,12:00,,
2009-02-26,up_first,09:30,15:00,down,up,False,False,True,False,False,False,False,False,True,neither,,-0.4465897463660713,340.0,,,,
2009-03-06,up_first,09:30,13:00,down,up,False,False,True,False,False,False,False,True,True,neither,,0.0505737646885507,215.0,,,,
2009-03-09,up_first,10:00,15:00,down,up,False,False,True,False,False,False,False,False,True,neither,,-0.24325098587328653,303.0,,,,
2009-03-18,down_first,10:30,14:00,up,down,False,False,False,True,True,False,False,False,True,second_completes,continuation,0.576757161803191,226.0,5.0,14:00,26.0,14:30
2009-03-25,up_first,09:30,14:30,down,up,False,False,False,False,False,False,False,True,True,neither,,0.2777270140235862,292.0,,,,
2009-04-01,down_first,09:30,12:00,up,down,True,True,True,False,False,False,False,False,True,neither,,0.44816200627154446,166.0,,,,
2009-04-22,down_first,09:30,11:30,up,down,True,True,True,False,False,False,False,True,True,neither,,-0.2754640590688309,128.0,,,,
