date,pdc,atr_14,dn_open_t,up_open_t,up_open_hhmm,reversal_min,dn_closed_first_leg,dn_close_ever,up_close_ever,neither_close_ever,up_close_after,dn_close_after,dn_reopen_after,pdc_revert_after,up_trig_revert_after,first_resolution_after_up,close,close_zone,close_minus_pdc_atr
2008-01-10,1409.13,23.885156976383495,2008-01-10 09:30:00,2008-01-10 12:23:00,12:00,173.0,False,False,True,False,True,False,False,True,True,up_close,1419.99,in_up_gate(+38.2..61.8),0.4546756804126408
2008-01-31,1355.81,30.830693882602116,2008-01-31 09:31:00,2008-01-31 11:51:00,11:30,140.0,True,True,True,False,True,False,False,False,True,up_close,1374.3,in_up_gate(+38.2..61.8),0.599727014591585
2008-04-24,1379.93,21.46121306894281,2008-04-24 10:09:00,2008-04-24 12:06:00,12:00,117.0,False,False,True,False,True,False,False,False,False,up_close,1388.83,in_up_gate(+38.2..61.8),0.41470162806776895
2008-05-06,1407.49,19.56354193717057,2008-05-06 09:32:00,2008-05-06 12:50:00,12:30,198.0,False,False,True,False,True,False,False,False,False,up_close,1418.89,in_up_gate(+38.2..61.8),0.5827165672050512
2008-06-24,1318.0,18.92984889035648,2008-06-24 09:46:00,2008-06-24 12:31:00,12:30,165.0,True,True,False,False,False,False,False,True,True,neither,1314.76,-38.2_to_pdc,-0.17115826009845103
2008-07-03,1261.52,21.144209537176238,2008-07-03 10:02:00,2008-07-03 11:07:00,11:00,65.0,False,False,False,True,False,False,False,True,True,neither,1262.9,pdc_to_+38.2,0.06526609555082971
2008-08-14,1285.83,22.74420153989619,2008-08-14 09:49:00,2008-08-14 11:18:00,11:00,89.0,False,False,True,False,True,False,False,False,True,up_close,1292.97,pdc_to_+38.2,0.31392616652097644
2008-09-16,1192.7,27.412046842768323,2008-09-16 09:30:00,2008-09-16 11:02:00,11:00,92.0,True,True,True,False,True,False,True,True,True,up_close,1213.47,above_up_gate(+61.8),0.7576960640383333
2008-10-08,996.23,47.79459651270824,2008-10-08 09:31:00,2008-10-08 09:51:00,09:30,20.0,False,False,False,True,False,False,True,True,True,neither,984.24,-38.2_to_pdc,-0.2508651788034648
2009-02-05,832.23,27.345500734088223,2009-02-05 09:52:00,2009-02-05 12:00:00,12:00,128.0,False,False,True,False,True,False,False,False,False,up_close,844.89,in_up_gate(+38.2..61.8),0.4629646435480454
2009-04-01,797.87,27.668565890181085,2009-04-01 09:31:00,2009-04-01 12:17:00,12:00,166.0,False,False,False,True,False,False,False,False,True,neither,810.27,in_up_gate(+38.2..61.8),0.44816200627154446
2009-04-22,850.08,24.540406551951854,2009-04-22 09:32:00,2009-04-22 11:40:00,11:30,128.0,False,False,False,True,False,False,False,True,True,neither,843.32,-38.2_to_pdc,-0.2754640590688309
2009-08-19,989.67,15.656783629619868,2009-08-19 09:30:00,2009-08-19 12:08:00,12:00,158.0,False,False,True,False,True,False,False,False,True,up_close,996.29,in_up_gate(+38.2..61.8),0.4228199198893018
2010-01-26,1096.78,13.779488668339235,2010-01-26 09:31:00,2010-01-26 12:37:00,12:30,186.0,False,False,False,True,False,False,True,True,True,neither,1092.19,-38.2_to_pdc,-0.3331037972799556
2010-02-11,1068.13,16.875405038649646,2010-02-11 09:45:00,2010-02-11 11:44:00,11:30,119.0,False,False,True,False,True,False,False,False,False,up_close,1078.33,in_up_gate(+38.2..61.8),0.6044299367415962
2010-03-22,1159.9,11.324868962113397,2010-03-22 09:30:00,2010-03-22 10:51:00,10:30,81.0,True,True,True,False,True,False,False,False,True,up_close,1165.9,in_up_gate(+38.2..61.8),0.529807454732819
2010-05-21,1071.59,26.58339148586848,2010-05-21 09:31:00,2010-05-21 11:23:00,11:00,112.0,False,False,True,False,True,False,False,True,True,up_close,1087.66,in_up_gate(+38.2..61.8),0.6045127841774007
2010-08-27,1047.22,17.06663470873796,2010-08-27 10:03:00,2010-08-27 10:32:00,10:30,29.0,False,False,True,False,True,False,False,False,True,up_close,1064.54,above_up_gate(+61.8),1.0148456503338794
2011-01-05,1270.2,9.532154839842688,2011-01-05 09:31:00,2011-01-05 11:28:00,11:00,117.0,False,False,True,False,True,False,False,False,False,up_close,1276.47,above_up_gate(+61.8),0.6577736204821718
2011-02-11,1321.87,11.158978815384827,2011-02-11 09:30:00,2011-02-11 11:02:00,11:00,92.0,False,False,True,False,True,False,False,False,True,up_close,1329.2,above_up_gate(+61.8),0.6568701420863279
2011-05-16,1337.77,14.344818349417228,2011-05-16 09:31:00,2011-05-16 11:06:00,11:00,95.0,False,True,False,False,False,True,True,True,True,dn_close,1329.62,in_dn_gate(-38.2..61.8),-0.5681494042990927
2011-08-05,1200.07,22.46288170627119,2011-08-05 09:54:00,2011-08-05 12:49:00,12:30,175.0,True,True,True,False,True,False,True,True,True,up_close,1199.66,-38.2_to_pdc,-0.018252333131656508
2011-08-26,1159.27,33.33696570368786,2011-08-26 10:00:00,2011-08-26 11:16:00,11:00,76.0,True,True,True,False,True,False,False,False,True,up_close,1176.84,in_up_gate(+38.2..61.8),0.5270425675860559
2012-02-23,1357.66,12.51434486330132,2012-02-23 09:44:00,2012-02-23 12:32:00,12:30,168.0,False,False,False,True,False,False,False,False,True,neither,1363.36,in_up_gate(+38.2..61.8),0.45547729923243796
2012-02-27,1365.74,11.973695315805736,2012-02-27 09:30:00,2012-02-27 12:50:00,12:30,200.0,True,True,False,False,False,False,False,False,True,neither,1367.91,pdc_to_+38.2,0.18123060114412545
2012-03-23,1392.78,11.746841984389839,2012-03-23 10:08:00,2012-03-23 12:59:00,12:30,171.0,False,False,False,True,False,False,False,False,False,neither,1397.47,in_up_gate(+38.2..61.8),0.39925624318710584
2012-05-11,1357.99,15.353039856951058,2012-05-11 09:30:00,2012-05-11 10:41:00,10:30,71.0,False,False,False,True,False,False,False,True,True,neither,1353.57,-38.2_to_pdc,-0.28789086989824536
2012-07-17,1353.64,17.07756800190981,2012-07-17 10:40:00,2012-07-17 12:30:00,12:30,110.0,False,False,True,False,True,False,False,False,False,up_close,1363.3,in_up_gate(+38.2..61.8),0.5656543132441084
