week_end,direction,open_dow,open_dow_name,remaining_sessions,completes,same_day_complete,comp_dow,comp_dow_name,days_to_complete,cont_786,cont_100,atr_14,pwc
2001-03-09,up,1,Tue,4,False,False,,,,False,False,61.94,1234.18
2001-03-16,down,0,Mon,5,True,True,0.0,Mon,0.0,True,True,60.3,1233.42
2001-03-23,up,1,Tue,4,False,False,,,,False,False,62.05,1150.53
2001-03-23,down,2,Wed,3,True,False,3.0,Thu,1.0,True,True,62.05,1150.53
2001-03-30,up,1,Tue,4,True,True,1.0,Tue,0.0,False,False,64.72,1139.83
2001-04-06,down,1,Tue,4,True,True,1.0,Tue,0.0,True,True,63.46,1160.33
2001-04-13,up,1,Tue,3,True,True,1.0,Tue,0.0,True,False,64.46,1128.43
2001-04-20,up,2,Wed,3,True,True,2.0,Wed,0.0,True,True,63.94,1183.5
2001-04-27,down,0,Mon,5,False,False,,,,False,False,65.54,1242.98
2001-05-11,down,4,Fri,1,False,False,,,,False,False,62.46,1266.61
2001-05-18,up,2,Wed,3,True,True,2.0,Wed,0.0,True,False,60.09,1245.67
2001-05-25,up,1,Tue,4,False,False,,,,False,False,59.76,1291.96
2001-06-01,down,2,Wed,3,False,False,,,,False,False,58.31,1277.89
2001-06-08,up,1,Tue,4,False,False,,,,False,False,56.46,1260.67
2001-06-15,down,1,Tue,4,True,False,3.0,Thu,2.0,True,True,54.59,1264.96
2001-06-22,up,3,Thu,2,False,False,,,,False,False,55.12,1214.36
2001-06-29,down,1,Tue,4,False,False,,,,False,False,53.5,1225.35
2001-07-06,down,4,Fri,1,True,True,4.0,Fri,0.0,False,False,52.01,1224.38
2001-07-13,up,4,Fri,1,False,False,,,,False,False,51.94,1190.59
2001-07-13,down,2,Wed,3,False,False,,,,False,False,51.94,1190.59
2001-07-27,down,0,Mon,5,True,False,1.0,Tue,1.0,True,False,50.17,1210.85
2001-08-03,up,3,Thu,2,False,False,,,,False,False,50.14,1205.82
2001-08-10,down,1,Tue,4,True,False,2.0,Wed,1.0,True,False,48.41,1214.35
2001-08-17,down,3,Thu,2,True,False,4.0,Fri,1.0,False,False,48.15,1190.16
2001-08-24,up,4,Fri,1,False,False,,,,False,False,47.76,1161.97
2001-08-31,down,1,Tue,4,True,False,2.0,Wed,1.0,True,True,46.62,1184.93
2001-09-07,up,1,Tue,4,False,False,,,,False,False,47.72,1133.58
2001-09-07,down,2,Wed,3,True,False,4.0,Fri,2.0,True,True,47.72,1133.58
2001-09-21,down,0,Mon,5,True,True,0.0,Mon,0.0,True,True,47.7,1092.54
2001-09-28,up,0,Mon,5,True,True,0.0,Mon,0.0,True,True,54.85,965.8
2001-10-05,up,2,Wed,3,True,False,3.0,Thu,1.0,False,False,56.3,1040.94
2001-10-12,up,3,Thu,2,False,False,,,,False,False,56.38,1071.38
2001-10-19,down,3,Thu,2,True,False,4.0,Fri,1.0,False,False,55.67,1091.65
2001-10-26,up,1,Tue,4,True,False,4.0,Fri,3.0,False,False,55.26,1073.48
2001-11-02,down,0,Mon,5,True,False,1.0,Tue,1.0,True,False,54.52,1104.61
2001-11-09,up,1,Tue,4,True,False,2.0,Wed,1.0,True,False,54.27,1087.2
2001-11-16,up,2,Wed,3,False,False,,,,False,False,53.86,1120.31
2001-11-16,down,0,Mon,5,False,False,,,,False,False,53.86,1120.31
2001-11-30,down,2,Wed,3,False,False,,,,False,False,51.37,1150.34
2001-12-07,up,2,Wed,3,True,True,2.0,Wed,0.0,False,False,50.41,1139.45
2001-12-14,down,1,Tue,4,True,False,2.0,Wed,1.0,True,False,50.23,1158.31
2001-12-21,up,1,Tue,4,False,False,,,,False,False,49.77,1123.07
2001-12-28,up,4,Fri,1,False,False,,,,False,False,48.36,1144.89
2002-01-04,down,2,Wed,3,False,False,,,,False,False,46.34,1161.02
2002-01-11,down,2,Wed,3,False,False,,,,False,False,45.91,1172.51
2002-01-18,down,2,Wed,3,False,False,,,,False,False,44.88,1145.6
2002-02-01,down,1,Tue,4,True,True,1.0,Tue,0.0,True,True,41.89,1133.28
2002-02-08,down,0,Mon,5,True,True,0.0,Mon,0.0,True,True,42.97,1122.2
2002-02-15,up,1,Tue,4,True,False,3.0,Thu,2.0,False,False,43.07,1096.22
2002-02-22,down,1,Tue,4,True,False,2.0,Wed,1.0,False,False,42.14,1104.18
2002-03-01,up,0,Mon,5,True,False,2.0,Wed,2.0,True,True,41.26,1089.84
2002-03-08,up,0,Mon,5,True,False,1.0,Tue,1.0,True,False,41.31,1131.78
2002-03-22,down,3,Thu,2,True,True,3.0,Thu,0.0,False,False,39.97,1166.16
2002-03-29,down,0,Mon,4,False,False,,,,False,False,39.57,1148.7
2002-04-05,down,2,Wed,3,True,True,2.0,Wed,0.0,False,False,38.38,1147.39
2002-04-12,down,3,Thu,2,False,False,,,,False,False,37.66,1122.73
2002-04-19,up,1,Tue,4,False,False,,,,False,False,37.07,1111.01
2002-04-26,down,0,Mon,5,True,False,1.0,Tue,1.0,True,True,36.82,1125.17
