month_end,direction,open_dom,open_wom,open_wom_name,remaining_sessions,completes,complete_5d,days_to_complete,cont_786,cont_100,retrace,atr_14,pmc
2002-01-31,down,29,5,Week 5,3,True,True,1.0,False,False,trigger,97.61,1148.08
2002-02-28,down,4,1,Week 1,18,False,False,,False,False,trigger,97.45,1130.2
2002-03-31,up,4,1,Week 1,19,True,True,2.0,False,False,none,94.48,1106.73
2002-04-30,down,8,2,Week 2,17,True,False,13.0,True,False,trigger,92.53,1147.39
2002-06-30,down,4,1,Week 1,19,True,False,6.0,True,True,trigger,89.5,1067.14
2002-07-31,down,2,1,Week 1,21,True,False,5.0,True,True,pivot,91.52,989.82
2002-08-31,up,19,3,Week 3,10,False,False,,False,False,pivot,100.61,911.62
2002-08-31,down,2,1,Week 1,21,True,True,1.0,False,False,none,100.61,911.62
2002-09-30,down,4,1,Week 1,19,True,False,11.0,True,True,pivot,102.82,916.07
2002-10-31,up,15,3,Week 3,13,True,True,0.0,True,False,same_day_complete,104.32,815.28
2002-10-31,down,10,2,Week 2,16,False,False,,False,False,opposite,104.32,815.28
2002-11-30,up,21,3,Week 3,6,False,False,,False,False,none,106.78,885.76
2002-12-31,down,6,1,Week 1,17,True,False,15.0,False,False,trigger,104.14,936.31
2003-01-31,up,6,1,Week 1,19,False,False,,False,False,opposite,102.76,879.82
2003-01-31,down,31,5,Week 5,1,False,False,,False,False,trigger,102.76,879.82
2003-02-28,down,13,2,Week 2,11,False,False,,False,False,trigger,102.18,855.7
2003-03-31,up,20,3,Week 3,8,False,False,,False,False,trigger,99.05,841.15
2003-03-31,down,11,2,Week 2,15,False,False,,False,False,opposite,99.05,841.15
2003-04-30,up,7,1,Week 1,17,True,False,10.0,False,False,trigger,99.62,848.18
2003-05-31,up,28,4,Week 4,3,False,True,,False,False,none,97.96,916.92
2003-06-30,up,6,1,Week 1,17,False,False,,False,False,trigger,95.43,963.59
2003-07-31,up,9,2,Week 2,17,False,False,,False,False,trigger,92.31,974.5
2003-10-31,up,3,1,Week 1,21,True,True,4.0,False,False,none,84.09,995.97
2003-12-31,up,18,3,Week 3,9,True,False,6.0,False,False,trigger,78.66,1058.2
2004-01-31,up,20,3,Week 3,9,False,False,,False,False,trigger,77.26,1111.92
2004-03-31,down,11,2,Week 2,15,True,False,7.0,True,False,none,72.42,1144.94
2004-05-31,down,10,2,Week 2,15,False,False,,False,False,pivot,70.59,1107.3
2004-07-31,down,6,1,Week 1,19,True,False,9.0,True,False,trigger,66.64,1140.84
2004-08-31,down,6,1,Week 1,18,True,False,5.0,False,False,none,66.31,1101.72
2004-09-30,up,13,2,Week 2,14,False,False,,False,False,pivot,65.07,1104.24
2004-10-31,up,4,1,Week 1,20,False,False,,False,False,opposite,62.74,1114.58
2004-10-31,down,25,4,Week 4,5,False,False,,False,False,opposite,62.74,1114.58
2004-11-30,up,4,1,Week 1,18,True,True,1.0,True,False,trigger,61.96,1130.2
2004-12-31,up,13,2,Week 2,14,True,False,8.0,False,False,trigger,61.89,1173.82
2005-01-31,down,4,1,Week 1,19,True,False,11.0,True,False,trigger,60.58,1211.92
2005-02-28,up,8,2,Week 2,14,False,False,,False,False,trigger,60.12,1181.27
2005-03-31,up,7,1,Week 1,18,False,False,,False,False,opposite,58.08,1203.6
2005-03-31,down,21,3,Week 3,8,True,False,5.0,False,False,none,58.08,1203.6
2005-04-30,down,15,3,Week 3,11,True,True,0.0,False,False,same_day_complete,58.6,1180.59
2005-05-31,up,18,3,Week 3,9,True,True,3.0,False,False,none,58.4,1156.85
2005-06-30,up,17,3,Week 3,10,False,False,,False,False,pivot,58.04,1191.5
2005-07-31,up,11,2,Week 2,15,True,True,3.0,True,False,none,56.13,1191.33
2005-08-31,down,24,4,Week 4,6,False,False,,False,False,trigger,56.52,1234.18
2005-09-30,up,9,2,Week 2,16,False,False,,False,False,opposite,55.68,1220.33
2005-10-31,down,5,1,Week 1,19,True,True,1.0,True,True,none,54.4,1228.81
