month_end,direction,open_dom,open_wom,completes,days_to_complete,days_trig_to_open,d_ema21_slope,d_px_minus_ema21,d_po,d_po_slope,d_zone,w_ema21_slope,w_po,w_po_slope,w_zone,atr_14,pmc
2002-01-31,down,29,5,True,1.0,6,-0.1038,-6.37,-19.7,3.77,neutral,-0.0537,-2.3,-2.53,neutral,97.61,1148.08
2002-02-28,down,4,1,False,,0,-0.1347,-10.31,-23.7,2.26,neutral_down,-0.1391,-7.2,-4.9,neutral,97.45,1130.2
2002-03-31,up,4,1,True,2.0,1,0.0557,22.66,21.1,20.99,neutral,0.034,-11.0,14.13,neutral,94.48,1106.73
2002-04-30,down,8,2,True,13.0,3,-0.0974,-16.7,-33.2,-4.94,neutral_down,-0.1137,0.2,-11.47,neutral,92.53,1147.39
2002-06-30,down,4,1,True,6.0,1,-0.1996,-37.94,-54.1,-21.11,neutral_down,-0.3873,-31.4,-5.47,neutral_down,89.5,1067.14
2002-07-31,down,2,1,True,5.0,1,-0.3992,-42.75,-59.2,-8.61,neutral_down,-0.8575,-67.4,0.15,accumulation,91.52,989.82
2002-08-31,up,19,3,False,,1,0.1986,28.72,30.2,3.68,neutral_up,-0.6549,-56.3,19.09,neutral_down,100.61,911.62
2002-08-31,down,2,1,True,1.0,1,-0.1218,-15.66,-10.3,-7.09,neutral,-1.9413,-104.7,-2.26,extended_down,100.61,911.62
2002-09-30,down,4,1,True,11.0,1,-0.0894,-39.09,-26.4,-24.5,neutral_down,-0.6857,-40.7,1.34,neutral_down,102.82,916.07
2002-10-31,up,15,3,True,0.0,10,-0.2772,8.35,-7.2,18.15,neutral,-1.017,-62.7,10.4,accumulation,104.32,815.28
2002-10-31,down,10,2,False,,3,-0.6343,-57.99,-72.1,-7.78,accumulation,-1.6011,-73.1,-8.23,accumulation,104.32,815.28
2002-11-30,up,21,3,False,,13,0.1633,21.15,24.4,10.17,neutral_up,-0.0237,-7.9,6.49,neutral,106.78,885.76
2002-12-31,down,6,1,True,15.0,2,0.1233,-5.98,3.6,-14.31,neutral,0.2198,8.1,6.3,neutral,104.14,936.31
2003-01-31,up,6,1,False,,2,-0.068,11.25,10.0,14.04,neutral,0.0039,-8.3,8.57,neutral,102.76,879.82
2003-01-31,down,31,5,False,,4,-0.4441,-41.05,-72.1,-8.93,accumulation,-0.505,-17.8,-16.17,neutral,102.76,879.82
2003-02-28,down,13,2,False,,4,-0.4188,-38.97,-72.2,-7.48,accumulation,-0.7751,-39.3,-12.49,neutral_down,102.18,855.7
2003-03-31,up,20,3,False,,2,0.2282,34.45,54.6,13.41,neutral_up,-0.4687,-35.1,2.62,neutral_down,99.05,841.15
2003-03-31,down,11,2,False,,2,-0.209,-27.8,-42.0,-16.3,neutral_down,-0.5711,-37.7,-2.62,neutral_down,99.05,841.15
2003-04-30,up,7,1,True,10.0,3,0.1265,17.91,32.9,3.36,neutral_up,0.0557,-2.3,6.22,neutral,99.62,848.18
2003-05-31,up,28,4,False,,11,0.0863,24.85,38.6,20.26,neutral_up,0.4008,37.1,-3.06,neutral_up,97.96,916.92
2003-06-30,up,6,1,False,,2,0.3535,41.72,93.0,7.55,distribution,0.6394,46.5,9.41,neutral_up,95.43,963.59
2003-07-31,up,9,2,False,,2,0.1212,21.85,41.0,11.02,neutral_up,0.5244,52.0,-2.54,neutral_up,92.31,974.5
2003-10-31,up,3,1,True,4.0,2,-0.0599,6.54,2.9,14.72,neutral,0.1495,36.4,-19.89,neutral_up,84.09,995.97
2003-12-31,up,18,3,True,6.0,3,0.117,13.56,41.8,3.74,neutral_up,0.4432,53.9,7.09,neutral_up,78.66,1058.2
2004-01-31,up,20,3,False,,7,0.196,27.25,87.6,9.34,distribution,0.7051,97.8,10.93,distribution,77.26,1111.92
2004-03-31,down,11,2,True,7.0,1,-0.0078,-19.99,-30.5,-30.39,neutral_down,0.4823,78.6,2.53,distribution,72.42,1144.94
2004-05-31,down,10,2,False,,0,-0.0998,-23.68,-41.3,-18.41,neutral_down,-0.1292,-2.9,-14.79,neutral,70.59,1107.3
2004-07-31,down,6,1,True,9.0,2,0.0218,-5.09,-3.3,-12.92,neutral,0.0627,15.7,-6.17,neutral,66.64,1140.84
2004-08-31,down,6,1,True,5.0,1,-0.0624,-21.31,-38.5,-24.28,neutral_down,-0.0979,-18.8,4.07,neutral,66.31,1101.72
2004-09-30,up,13,2,False,,5,0.1407,17.84,55.1,5.6,neutral_up,0.154,12.0,11.49,neutral,65.07,1104.24
2004-10-31,up,4,1,False,,1,0.0116,16.52,29.9,30.19,neutral_up,0.1828,19.8,8.83,neutral,62.74,1114.58
2004-10-31,down,25,4,False,,3,-0.0998,-17.22,-42.9,-11.75,neutral_down,-0.1309,-6.9,-13.1,neutral,62.74,1114.58
2004-11-30,up,4,1,True,1.0,1,0.1355,22.88,54.0,14.8,neutral_up,0.1618,8.7,15.53,neutral,61.96,1130.2
2004-12-31,up,13,2,True,8.0,8,0.0836,10.49,34.9,-0.34,neutral_up,0.3853,64.0,-2.21,distribution,61.89,1173.82
2005-01-31,down,4,1,True,11.0,0,0.1063,2.12,31.1,-23.15,neutral_up,0.4442,74.6,2.65,distribution,60.58,1211.92
2005-02-28,up,8,2,False,,2,0.0934,14.8,45.8,5.95,neutral_up,0.2949,33.4,15.9,neutral_up,60.12,1181.27
2005-03-31,up,7,1,False,,1,0.0946,19.54,47.2,14.75,neutral_up,0.3343,51.5,6.53,neutral_up,58.08,1203.6
2005-03-31,down,21,3,True,5.0,3,-0.0769,-11.58,-36.1,-1.52,neutral_down,0.051,23.0,-14.64,neutral,58.08,1203.6
2005-04-30,down,15,3,True,0.0,1,-0.059,-19.85,-36.4,-21.71,neutral_down,-0.0032,-2.3,1.78,neutral,58.6,1180.59
2005-05-31,up,18,3,True,3.0,10,-0.0072,8.03,6.8,13.33,neutral,-0.155,-18.4,-4.47,neutral,58.4,1156.85
2005-06-30,up,17,3,False,,12,0.0927,15.48,45.3,7.59,neutral_up,0.1553,22.4,2.74,neutral,58.04,1191.5
2005-07-31,up,11,2,True,3.0,4,0.0139,11.88,16.7,21.02,neutral,0.2039,25.7,7.79,neutral_up,56.13,1191.33
2005-08-31,down,24,4,False,,6,-0.0584,-7.84,-23.4,-3.74,neutral,0.1203,31.3,-9.72,neutral_up,56.52,1234.18
2005-09-30,up,9,2,False,,3,0.0581,8.61,30.5,-1.52,neutral_up,0.0969,16.4,0.68,neutral,55.68,1220.33
2005-10-31,down,5,1,True,1.0,1,0.0013,-8.16,-8.4,-18.04,neutral,0.122,20.5,1.11,neutral,54.4,1228.81
2005-11-30,up,10,2,True,5.0,5,0.1391,14.13,41.6,-1.35,neutral_up,0.103,-0.8,17.24,neutral,55.17,1207.01
2005-12-31,up,6,1,False,,3,0.1421,16.55,60.5,-5.44,neutral_up,0.3348,53.2,4.39,neutral_up,56.2,1249.48
2006-01-31,up,3,1,True,3.0,0,-0.0139,-9.53,-21.2,-14.6,neutral,0.1089,35.0,-15.65,neutral_up,54.27,1248.29
2006-02-28,down,7,1,False,,2,-0.0163,-8.23,-21.8,-6.98,neutral,0.1095,31.2,-12.28,neutral_up,53.9,1280.08
2006-03-31,up,15,3,False,,8,0.0141,15.23,25.1,22.75,neutral_up,0.1479,32.9,-5.65,neutral_up,53.19,1280.66
2006-04-30,up,20,3,False,,12,-0.0005,12.64,20.7,16.6,neutral,0.1041,27.9,-7.7,neutral_up,52.43,1294.83
2006-05-31,down,12,2,True,3.0,0,0.0879,-4.73,14.1,-28.83,neutral,0.3014,48.7,9.23,neutral_up,51.36,1310.61
2006-06-30,up,2,1,False,,1,-0.0761,3.62,-14.1,23.02,neutral,-0.0312,-1.4,-3.72,neutral,53.5,1270.09
2006-06-30,down,8,2,True,0.0,2,-0.0692,-21.23,-38.5,-10.76,neutral_down,0.0287,1.6,3.05,neutral,53.5,1270.09
2006-07-31,down,13,2,True,1.0,0,0.0481,-3.59,6.3,-15.15,neutral,-0.0701,-14.2,3.79,neutral,54.78,1270.2
2006-08-31,up,17,3,False,,9,0.0686,23.86,40.1,18.8,neutral_up,-0.0233,-1.4,-1.88,neutral,54.86,1276.66
2006-09-30,up,15,3,True,8.0,2,0.0904,15.84,51.7,2.78,neutral_up,0.1464,25.9,-3.21,neutral_up,54.18,1303.82
2006-10-31,up,12,2,True,2.0,6,0.1544,15.71,65.5,-8.94,distribution,0.3955,54.3,10.1,neutral_up,53.84,1335.85
2006-11-30,up,15,3,False,,1,0.0934,18.93,49.6,12.03,neutral_up,0.4056,69.1,2.89,distribution,54.45,1377.94
2006-12-31,up,14,2,False,,7,0.0843,11.73,40.8,-0.17,neutral_up,0.4282,78.9,2.39,distribution,53.91,1400.63
2007-01-31,up,24,4,False,,7,0.0512,6.45,20.7,1.27,neutral,0.3463,70.1,0.54,distribution,53.33,1418.3
2007-02-28,up,20,3,False,,8,0.0774,14.67,50.4,1.25,neutral_up,0.3792,71.6,5.56,distribution,52.21,1438.24
2007-02-28,down,27,4,True,0.0,0,0.0704,3.39,22.1,-10.36,neutral,0.3185,69.2,-2.43,distribution,52.21,1438.24
2007-03-31,up,21,3,False,,0,-0.0843,4.21,-8.1,17.16,neutral,-0.1072,-2.6,-14.61,neutral,53.64,1406.82
2007-03-31,down,1,1,True,9.0,0,-0.077,-31.72,-60.2,-17.38,neutral_down,0.3185,69.2,-2.43,distribution,53.64,1406.82
2007-04-30,up,5,1,True,6.0,2,0.0677,17.36,33.4,7.66,neutral_up,0.1019,15.8,0.07,neutral,55.16,1420.86
2007-05-31,up,4,1,True,10.0,2,0.1603,29.29,77.1,9.09,distribution,0.45,65.3,11.39,distribution,57.05,1482.37
2007-06-30,down,7,1,True,0.0,1,0.1105,0.87,28.0,-25.56,neutral_up,0.4862,81.4,5.29,distribution,57.18,1530.62
2007-07-31,up,3,1,True,6.0,1,-0.0406,7.88,-0.0,16.17,neutral,0.1732,36.8,-9.72,neutral_up,57.12,1503.35
2007-07-31,down,26,4,True,0.0,0,0.0051,-11.1,-15.2,-7.4,neutral,0.27,48.2,-5.87,neutral_up,57.12,1503.35
2007-08-31,up,7,1,True,1.0,3,-0.2903,-25.89,-56.2,19.91,neutral_down,-0.3587,-17.5,-27.66,neutral,60.3,1455.27
2007-08-31,down,6,1,True,7.0,3,-0.3184,-63.08,-76.1,-17.3,accumulation,-0.3587,-17.5,-27.66,neutral,60.3,1455.27
2007-09-30,up,18,3,True,0.0,10,0.0727,7.45,15.3,-3.85,neutral,0.0514,-3.0,8.6,neutral,65.52,1473.99
2007-09-30,down,10,2,False,,1,0.0628,-11.5,0.1,-15.73,neutral,-0.1535,-11.7,-4.74,neutral,65.52,1473.99
2007-10-31,up,5,1,True,4.0,4,0.2105,28.44,59.2,-1.55,neutral_up,0.2719,22.2,8.0,neutral,67.94,1526.75
2007-10-31,down,19,3,False,,0,0.069,3.65,12.5,-5.04,neutral,0.4073,41.9,6.42,neutral_up,67.94,1526.75
2007-11-30,down,1,1,True,1.0,0,0.0341,18.27,19.4,13.75,neutral,0.2184,23.2,1.42,neutral,69.27,1549.38
2007-12-31,up,7,1,False,,1,0.0942,35.91,31.2,18.68,neutral_up,-0.0518,-15.0,10.0,neutral,74.55,1481.14
2007-12-31,down,17,3,False,,9,0.0582,-10.77,-0.2,-14.28,neutral,-0.1381,-8.0,-5.23,neutral,74.55,1481.14
2008-01-31,down,4,1,True,0.0,2,-0.0769,-23.73,-29.5,-8.2,neutral_down,-0.0578,-5.5,-0.33,neutral,75.51,1468.36
2008-02-29,down,5,1,True,1.0,0,-0.0459,-0.39,-0.4,-0.04,neutral,-0.3414,-45.2,18.24,neutral_down,84.52,1378.55
2008-03-31,down,7,1,True,1.0,3,-0.2244,-43.98,-42.1,-14.78,neutral_down,-0.6023,-43.9,-1.81,neutral_down,84.15,1330.63
2008-04-30,up,1,1,True,1.0,0,0.0308,-3.92,-4.1,-0.64,neutral,-0.4784,-38.9,3.71,neutral_down,85.47,1322.7
2008-05-31,up,2,1,True,11.0,1,0.1879,34.74,44.4,12.1,neutral_up,0.149,2.6,9.31,neutral,85.22,1385.59
2008-06-30,down,6,1,True,3.0,4,-0.0371,10.73,-2.2,21.74,neutral,0.1046,7.3,1.75,neutral,83.93,1400.38
2008-07-31,down,7,1,True,4.0,1,-0.4344,-54.61,-87.6,1.06,accumulation,-0.7474,-49.8,-10.64,neutral_down,87.36,1280.0
2008-08-31,up,11,2,False,,3,0.0626,24.46,20.4,14.46,neutral,-0.2007,-31.4,14.68,neutral_down,87.68,1267.38
2008-09-30,down,4,1,True,1.0,0,0.0292,-4.79,-2.5,-5.43,neutral,-0.2464,-20.7,-0.77,neutral,86.11,1282.83
2008-10-31,down,2,1,True,1.0,1,-0.3987,-45.17,-41.8,4.45,neutral_down,-0.6382,-35.9,-7.52,neutral_down,94.0,1164.74
2008-11-30,down,6,1,True,0.0,0,-0.0505,-21.27,-4.1,-8.9,neutral,-1.9978,-90.5,20.18,accumulation,110.66,968.75
2008-12-31,down,1,1,True,0.0,0,-0.2887,12.14,-2.4,10.57,neutral,-1.946,-74.7,15.81,accumulation,121.79,896.24
2009-01-31,down,14,2,True,1.0,2,-0.053,-19.67,-17.1,-7.08,neutral,-1.1484,-40.0,0.13,neutral_down,120.46,903.25
2009-02-28,up,9,2,False,,1,-0.1081,16.97,3.6,17.08,neutral,-0.8882,-42.2,9.43,neutral_down,121.82,825.88
2009-02-28,down,19,3,True,2.0,2,-0.3737,-47.76,-51.4,-9.5,neutral_down,-1.3073,-44.4,-2.11,neutral_down,121.82,825.88
2009-03-31,up,18,3,True,3.0,2,0.0585,27.52,17.7,16.27,neutral,-1.5214,-64.0,13.03,accumulation,123.16,735.09
2009-03-31,down,5,1,False,,3,-0.9786,-61.69,-88.0,10.38,accumulation,-2.2861,-64.7,-10.11,accumulation,123.16,735.09
2009-04-30,up,9,2,True,13.0,5,0.4043,22.74,31.5,-1.8,neutral_up,-0.168,-21.4,14.86,neutral,126.23,797.87
2009-05-31,up,7,1,False,,3,0.4629,55.94,76.4,10.95,distribution,0.1962,4.8,4.09,neutral,124.74,872.81
2009-07-31,up,23,4,True,5.0,3,0.34,31.69,67.3,-0.01,distribution,0.4746,15.3,13.42,neutral,116.62,919.32
