direction,zone,slope,state,total_buggy,completed_buggy,rate_buggy_pct,total_fixed,completed_fixed,rate_fixed_pct,delta_total,delta_completed,delta_rate_pct
bear,mid,falling,compression,1325,844,63.7,1228,753,61.3,-97,-91,-2.4
bear,mid,falling,bear_exp,651,455,69.9,487,322,66.1,-164,-133,-3.8
bear,mid,falling,bull_exp,214,112,52.3,388,213,54.9,174,101,2.6
bear,mid,rising,compression,318,143,45.0,352,238,67.6,34,95,22.6
bear,mid,rising,bear_exp,274,185,67.5,346,251,72.5,72,66,5.0
bear,low,rising,bear_exp,103,93,90.3,148,128,86.5,45,35,-3.8
bear,low,falling,bear_exp,263,235,89.4,139,118,84.9,-124,-117,-4.5
bear,mid,rising,bull_exp,34,13,38.2,75,49,65.3,41,36,27.1
bear,high,falling,bull_exp,9,5,55.6,20,9,45.0,11,4,-10.6
bear,high,rising,bull_exp,0,0,,10,6,60.0,10,6,
bear,low,falling,compression,5,5,100.0,2,2,100.0,-3,-3,0.0
bear,low,rising,compression,0,0,,1,1,100.0,1,1,
bull,mid,rising,compression,1266,747,59.0,1207,693,57.4,-59,-54,-1.6
bull,mid,rising,bull_exp,684,471,68.9,540,343,63.5,-144,-128,-5.4
bull,mid,rising,bear_exp,295,194,65.8,448,293,65.4,153,99,-0.4
bull,mid,falling,compression,334,156,46.7,374,227,60.7,40,71,14.0
bull,mid,falling,bull_exp,268,148,55.2,363,234,64.5,95,86,9.3
bull,high,rising,bull_exp,361,272,75.3,183,132,72.1,-178,-140,-3.2
bull,high,falling,bull_exp,107,87,81.3,167,123,73.7,60,36,-7.6
bull,mid,falling,bear_exp,70,38,54.3,80,54,67.5,10,16,13.2
bull,low,rising,bear_exp,11,7,63.6,33,21,63.6,22,14,0.0
bull,low,falling,bear_exp,2,1,50.0,15,13,86.7,13,12,36.7
bull,high,rising,compression,20,17,85.0,10,5,50.0,-10,-12,-35.0
bull,high,falling,compression,3,1,33.3,1,1,100.0,-2,0,66.7
