date,open,prev_close,atr_14,call_trigger,put_trigger,call_time,pdc_cross_time,put_time,put_halfhour,opened_above_call,call_to_put_min,pdc_cross_to_put_min,pdc_return,pdc_return_time,pdc_return_min,call_return,call_return_time,call_return_min,bull_gg_return,bull_gg_return_time,down_0382,down_050,down_0618,down_0786,down_100,down_1236,down_1382,down_150,down_1618,down_1786,down_200,down_0382_time,down_0618_time,down_100_time,first_resolution,close,close_zone,lowest_atr_after_put,rebound_atr_after_put,h1_bar_start,h1_close,h1_ema21,h1_phase_oscillator,h1_phase_zone,h1_compression,h1_po_compression,h1_completed_time,h1_po_state
2000-01-24,145.6562,144.125,3.4602259503951394,144.94161332429326,143.30838667570674,2000-01-24 09:31:00,2000-01-24 10:28:00,2000-01-24 11:36:00,11:30,True,125.0,68.0,True,2000-01-24 12:13:00,37.0,False,,,False,,True,True,True,True,True,True,False,False,False,False,False,2000-01-24 13:48:00,2000-01-24 14:22:00,2000-01-24 15:25:00,pdc_first,140.0625,below_put_trigger,1.3637259727102866,0.0,2000-01-24 10:00:00,143.5938,144.8264579337101,-28.93770463160078,neutral_down,1,1,2000-01-24 11:00:00,compression
2000-02-17,140.4375,139.0938,2.810658377703944,139.75711537713812,138.43048462286185,2000-02-17 09:32:00,2000-02-17 10:03:00,2000-02-17 10:07:00,10:00,True,35.0,4.0,True,2000-02-17 10:11:00,4.0,True,2000-02-17 13:31:00,204.0,False,,False,False,False,False,False,False,False,False,False,False,False,,,,pdc_only,139.0625,put_to_pdc,0.31131495984752033,0.3668891275368764,2000-02-17 09:00:00,139.9375,139.70353539252147,-6.758740572406729,neutral,1,1,2000-02-17 10:00:00,compression
2000-02-22,135.1875,135.1875,2.918699825673297,135.8763131588589,134.4986868411411,2000-02-22 09:43:00,2000-02-22 09:57:00,2000-02-22 10:11:00,10:00,False,28.0,14.0,True,2000-02-22 15:03:00,292.0,True,2000-02-22 15:16:00,305.0,True,2000-02-22 15:29:00,True,True,False,False,False,False,False,False,False,False,False,2000-02-22 10:20:00,,,gg_first,135.4062,pdc_to_call,0.5674787059056016,0.3961695511915987,2000-02-22 09:00:00,135.125,137.50409141137533,-81.9710100898754,accumulation,0,0,2000-02-22 10:00:00,bearish_expansion
2000-02-25,135.1875,135.625,3.0375737306866744,136.34186740044206,134.90813259955794,2000-02-25 10:05:00,2000-02-25 10:41:00,2000-02-25 11:40:00,11:30,False,95.0,59.0,True,2000-02-25 12:34:00,54.0,False,,,False,,True,True,True,True,False,False,False,False,False,False,False,2000-02-25 13:32:00,2000-02-25 14:13:00,,pdc_first,133.75,below_put_trigger,0.8230252898041918,0.08230252898041918,2000-02-25 10:00:00,135.375,135.29742675498846,-0.6344497350800178,neutral,1,1,2000-02-25 11:00:00,compression
2000-03-07,140.0,139.375,3.0212251222219724,140.0880091288444,138.6619908711556,2000-03-07 09:31:00,2000-03-07 09:47:00,2000-03-07 09:59:00,09:30,False,28.0,12.0,False,,,False,,,False,,True,True,True,True,True,True,False,False,False,False,False,2000-03-07 10:13:00,2000-03-07 10:16:00,2000-03-07 15:29:00,gg_only,136.0312,below_put_trigger,1.3756670992273883,-0.07242095214641606,2000-03-06 17:00:00,139.75,139.85511741770978,-3.6733460509377833,neutral,0,0,2000-03-06 18:00:00,bearish_expansion
2000-03-29,151.5625,151.0,3.2936490563236585,151.77730117729237,150.22269882270763,2000-03-29 09:37:00,2000-03-29 09:59:00,2000-03-29 11:21:00,11:00,False,104.0,82.0,True,2000-03-29 12:13:00,52.0,True,2000-03-29 14:40:00,199.0,True,2000-03-29 15:16:00,True,False,False,False,False,False,False,False,False,False,False,2000-03-29 11:37:00,,,gg_first,151.0312,pdc_to_call,0.40799732364319496,0.4459491508908508,2000-03-29 10:00:00,151.375,151.84843199376792,-23.31726835892674,neutral,1,1,2000-03-29 11:00:00,compression
2000-04-04,151.75,150.75,3.9466161156200563,151.68140140328634,149.81859859671366,2000-04-04 09:32:00,2000-04-04 10:53:00,2000-04-04 11:53:00,11:30,True,141.0,60.0,True,2000-04-04 15:30:00,217.0,False,,,False,,True,True,True,True,True,True,True,True,True,True,True,2000-04-04 11:54:00,2000-04-04 11:56:00,2000-04-04 12:40:00,gg_first,150.0,put_to_pdc,2.3754527233837854,0.1266908119138019,2000-04-04 10:00:00,151.25,150.69121265432943,21.89487602255572,neutral,1,1,2000-04-04 11:00:00,compression
2000-04-12,150.375,150.0625,3.6551520962938397,150.92511589472534,149.19988410527466,2000-04-12 09:34:00,2000-04-12 10:06:00,2000-04-12 10:59:00,10:30,False,85.0,53.0,True,2000-04-12 12:43:00,104.0,False,,,False,,True,True,True,True,False,False,False,False,False,False,False,2000-04-12 11:11:00,2000-04-12 15:38:00,,gg_first,146.625,below_put_trigger,0.9575524924253749,0.16242826135798774,2000-04-12 09:00:00,150.5938,150.7613748348652,-7.801014960191578,neutral,1,1,2000-04-12 10:00:00,compression
2000-04-13,147.4688,146.625,3.7065698037014227,147.49975047367354,145.75024952632646,2000-04-13 09:35:00,2000-04-13 09:37:00,2000-04-13 09:45:00,09:30,False,10.0,8.0,True,2000-04-13 09:58:00,13.0,True,2000-04-13 10:08:00,23.0,True,2000-04-13 12:36:00,True,True,True,False,False,False,False,False,False,False,False,2000-04-13 09:50:00,2000-04-13 15:57:00,,gg_first,144.0,below_put_trigger,0.7672322796025954,0.4131043204611819,2000-04-12 16:00:00,146.2812,149.71243560555052,-68.93910993134897,accumulation,0,0,2000-04-12 17:00:00,bearish_expansion
2000-04-28,147.0,146.5,3.839072916303947,147.40602120824772,145.59397879175228,2000-04-28 09:36:00,2000-04-28 09:54:00,2000-04-28 10:42:00,10:30,False,66.0,48.0,False,,,False,,,False,,False,False,False,False,False,False,False,False,False,False,False,,,,neither,145.2188,below_put_trigger,0.37443935849594323,-0.07324685051065317,2000-04-28 09:00:00,146.625,145.96714627156604,10.335818293392036,neutral,1,1,2000-04-28 10:00:00,compression
2000-05-09,143.0625,142.5312,3.4305849791003813,143.3408180550677,141.72158194493232,2000-05-09 09:36:00,2000-05-09 10:21:00,2000-05-09 10:40:00,10:30,False,64.0,19.0,False,,,False,,,False,,True,True,True,False,False,False,False,False,False,False,False,2000-05-09 12:26:00,2000-05-09 14:05:00,,gg_only,141.625,below_put_trigger,0.6649594788927872,-0.04553159328557826,2000-05-09 09:00:00,142.9688,142.75088636663435,-1.0588795607694301,neutral,1,1,2000-05-09 10:00:00,compression
2000-05-26,138.8125,138.875,3.3465452827402644,139.6647846867267,138.0852153132733,2000-05-26 09:41:00,2000-05-26 09:48:00,2000-05-26 10:07:00,10:00,False,26.0,19.0,True,2000-05-26 10:46:00,39.0,False,,,False,,True,False,False,False,False,False,False,False,False,False,False,2000-05-26 10:10:00,,,gg_first,138.3125,put_to_pdc,0.46689940460646395,0.16808378565832702,2000-05-26 09:00:00,138.375,139.49504489694314,-28.85370195166175,neutral_down,0,0,2000-05-26 10:00:00,bearish_expansion
2000-06-15,148.125,147.5,2.6891477921634874,148.1346388789506,146.8653611210494,2000-06-15 09:40:00,2000-06-15 09:50:00,2000-06-15 10:45:00,10:30,False,65.0,55.0,True,2000-06-15 11:17:00,32.0,True,2000-06-15 13:26:00,161.0,True,2000-06-15 13:32:00,False,False,False,False,False,False,False,False,False,False,False,,,,pdc_only,148.25,above_call_trigger,0.24401782673018615,0.4648312761547194,2000-06-15 09:00:00,147.5,147.21839202987505,18.527130073604237,neutral,0,0,2000-06-15 10:00:00,bullish_expansion
2000-07-27,145.9375,146.1562,1.9585328930899082,146.61841376276922,145.6939862372308,2000-07-27 09:51:00,2000-07-27 10:01:00,2000-07-27 10:06:00,10:00,False,15.0,5.0,True,2000-07-27 15:32:00,326.0,False,,,False,,True,True,True,False,False,False,False,False,False,False,False,2000-07-27 10:08:00,2000-07-27 10:10:00,,gg_first,145.5,below_put_trigger,0.749898051333157,0.11171627536711647,2000-07-27 09:00:00,146.3438,146.9070409013801,-35.66079468564037,neutral_down,1,1,2000-07-27 10:00:00,compression
2000-08-09,149.125,148.5625,2.0178279223558713,149.03870738967598,148.08629261032402,2000-08-09 09:31:00,2000-08-09 10:52:00,2000-08-09 11:14:00,11:00,True,103.0,22.0,True,2000-08-09 13:15:00,121.0,False,,,False,,True,True,False,False,False,False,False,False,False,False,False,2000-08-09 15:24:00,,,pdc_first,147.6875,below_put_trigger,0.5885040973234031,0.1548694992956324,2000-08-09 10:00:00,148.3125,147.77590061714216,48.271936135223946,neutral_up,0,0,2000-08-09 11:00:00,bullish_expansion
