signal_date,sig_time,peak_po,d_po_zone,d_po_rising,w_po_zone,h_po_zone,h_compression,h_recent_compression,hour_of_day,day_of_week,d_atr_pos,d_above_ema21,ema8_above_21,max_drop_5d,hit_05_5d,hit_10_5d,hit_15_5d,hit_20_5d
2000-03-20,2000-03-20 12:00:00,100.02388522637996,mid,True,mid,mid,False,False,12,0,-0.21042516493369307,True,True,-1.0062424298891184,True,True,False,False
2000-03-22,2000-03-22 08:00:00,80.42950329570215,high,True,mid,high,True,True,8,2,-0.19050054647972664,True,True,0.0628595387840755,False,False,False,False
2000-03-27,2000-03-27 08:00:00,107.29686595638607,high,True,mid,mid,False,False,8,0,-0.19195104564884952,True,True,-3.6036036036036037,True,True,True,True
2000-06-05,2000-06-05 08:00:00,87.46397950006249,mid,True,mid,high,False,False,8,0,-0.24479327760458566,True,True,-1.4849384811200679,True,True,False,False
2001-04-20,2001-04-20 08:00:00,99.64058077543223,mid,True,mid,mid,False,False,8,4,-0.6006007191968868,True,True,-2.3415421881307967,True,True,True,True
2001-05-22,2001-05-22 08:00:00,82.70688961834294,high,True,mid,high,False,False,8,1,-0.19373173958240553,True,True,-4.8271661336988,True,True,True,True
2002-03-05,2002-03-05 12:00:00,89.27189248870394,mid,True,mid,mid,False,False,12,1,-0.37170242089430133,True,True,-0.12151722940717002,False,False,False,False
2002-03-06,2002-03-06 16:00:00,81.66335795522727,mid,True,mid,high,True,True,16,2,0.662474320436236,True,True,-0.798283261802581,True,False,False,False
2003-01-07,2003-01-07 12:00:00,93.42626353087846,mid,True,mid,mid,False,False,12,1,-0.3366454910838989,True,True,-1.6313742437338,True,True,True,False
2003-03-19,2003-03-19 08:00:00,88.12789201651458,mid,True,mid,mid,True,True,8,2,-0.25676923076470465,True,True,-0.4381413582382217,False,False,False,False
2003-03-20,2003-03-20 08:00:00,85.52077917817977,mid,True,mid,mid,False,True,8,3,-0.22483885866703743,True,True,-1.7706191455334832,True,True,True,False
2003-03-24,2003-03-24 08:00:00,89.12415921999033,high,True,mid,high,False,False,8,0,-1.4456164135272243,True,True,-2.910387668238814,True,True,True,True
2003-06-02,2003-06-02 12:00:00,83.29017198446354,mid,True,mid,high,False,False,12,0,0.17281714583149127,True,True,-0.3395760444536041,False,False,False,False
2003-06-06,2003-06-06 12:00:00,91.16672572029114,high,True,mid,high,False,False,12,4,-0.20213115672241513,True,True,-1.4613989115097792,True,True,False,False
2003-09-04,2003-09-04 08:00:00,89.9561703784762,mid,True,mid,mid,False,False,8,3,-0.09480792692526444,True,True,-1.4747259144270846,True,True,False,False
2003-09-05,2003-09-05 08:00:00,80.69006445842663,high,True,mid,mid,True,True,8,4,0.015906090138616318,True,True,-2.0299661672305547,True,True,True,True
