trading_week_end,weekly_bar_ts,cohort,outcome,open,prev_close,prev_atr14,put_trigger,pivot,call_trigger,dgg_open,ugg_open,week_low,week_high,tap_time,tap_price,pivot_time,call_time,ugg_time,dgg_time,mae_atr,mfe_atr,po_weekly_prev,po_weekly_zone,po_weekly_slope,po_weekly_bilbo,q_band_at_trigger,q_band_at_tap
2000-04-21,2000-04-23,non_tap,no_tap,135.1875,135.8125,8.67636428571428,133.76487802857142,135.8125,137.86012197142858,132.49812884285714,139.12687115714286,134.6875,145.125,,,,,,,,,,,,,,
2000-04-28,2000-04-30,intraweek_cross,full_rotation,141.5,143.375,8.802159693877545,141.2976903122449,143.375,145.4523096877551,140.01257499693878,146.73742500306122,140.5,148.75,2000-04-24 09:33:00,141.2976903122449,2000-04-25 09:31:00,2000-04-25 10:32:00,2000-04-25 14:01:00,,0.09062438537666383,0.8466455900520248,,,,,,
2000-05-05,2000-05-07,intraweek_cross,breakdown,146.5625,145.2188,8.762719715743435,143.15079814708454,145.2188,147.28680185291543,141.871441068586,148.56615893141398,139.7812,148.4688,2000-05-03 09:39:00,143.15079814708454,,,,2000-05-03 11:18:00,0.38453793529771163,0.09691076292098537,,,,,,
2000-05-12,2000-05-14,intraweek_cross,breakdown,142.75,143.3438,8.75735402176176,141.2770644508642,143.3438,145.41053554913577,139.998490763687,146.689109236313,137.75,143.4688,2000-05-09 12:26:00,141.2770644508642,2000-05-12 11:32:00,,,2000-05-10 10:03:00,0.4027545811325606,0.2502737178021339,,,,,,
2000-05-19,2000-05-21,non_tap,no_tap,142.75,142.4062,8.540314448778776,140.3906857900882,142.4062,144.4217142099118,139.14379988056652,145.6686001194335,140.4062,147.7188,,,,,,,,,,,,,,
2000-05-26,2000-05-28,intraweek_cross,breakdown,141.25,140.875,8.452620559580291,138.88018154793906,140.875,142.86981845206094,137.64609894624033,144.10390105375967,136.5,141.8125,2000-05-22 10:26:00,138.88018154793906,2000-05-25 09:42:00,,,2000-05-22 10:39:00,0.28159096118911153,0.34691234882623695,,,,,,
2000-06-02,2000-06-04,non_tap,no_tap,140.0,138.3125,8.228326233895984,136.37061500880054,138.3125,140.25438499119946,135.16927937865174,141.45572062134826,139.4688,149.0938,,,,,,,,,,,,,,
2000-06-09,2000-06-11,intraweek_cross,no_resolution,147.4688,148.0938,8.410681502903413,146.1088791653148,148.0938,150.07872083468519,144.88091966589087,151.3066803341091,145.625,148.2188,2000-06-06 15:05:00,146.1088791653148,,,,,0.057531505044835146,0.22484751491688104,,,,,,
2000-06-16,2000-06-18,non_tap,no_tap,146.9688,146.3438,7.99518996698174,144.4569351677923,146.3438,148.23066483220768,143.28963743261295,149.39796256738703,144.625,148.875,,,,,,,,,5.632672092591307,,,,,
2000-06-23,2000-06-25,intraweek_cross,breakdown,146.4688,146.875,7.727676397911616,145.05126837009286,146.875,148.69873162990714,143.92302761599777,149.82697238400223,143.875,149.1562,2000-06-22 15:35:00,145.05126837009286,,,,2000-06-23 15:40:00,0.15221501387024172,0.13894624653243978,9.140801428415697,mid,rising,mid_rising,,
